date,..,..,stock,index,*beta,ASR,profit,,,,
"2016-01-04,一",21.9,3296.26,0.006392694,-0.002593849,-0.00260384,0.008996534,0.006392694,,,,
"2016-01-05,二",22.04,3287.71,0.012704174,0.022547609,0.022634463,-0.009930289,0.012704174,,,,
"2016-01-06,三",22.32,3361.84,-0.069892473,-0.070449516,-0.070720888,0.000828415,-0.069892473,,,,
"2016-01-07,四",20.76,3125,0.011078998,0.0196512,0.019726897,-0.008647899,0.011078998,,,,
"2016-01-08,五",20.99,3186.41,-0.049070986,-0.053260566,-0.053465726,0.00439474,-0.049070986,,,,
"2016-01-11,一",19.96,3016.7,0.003507014,0.002041966,0.002049832,0.001457182,0.003507014,,,,1.003852013
"2016-01-12,二",20.03,3022.86,-0.016475287,-0.024235327,-0.024328682,0.007853395,-0.016475287,,,,
"2016-01-13,三",19.7,2949.6,0.022335025,0.019680635,0.019756445,0.002578581,0.022335025,,,,
"2016-01-14,四",20.14,3007.65,-0.0183714,-0.035469553,-0.035606182,0.017234782,-0.0183714,,,,
"2016-01-15,五",19.77,2900.97,-0.031360647,0.004436447,0.004453536,-0.035814184,-0.031360647,,,,
"2016-01-18,一",19.15,2913.84,0.028720627,0.032225517,0.03234965,-0.003629023,0.028720627,,,,
"2016-01-19,二",19.7,3007.74,-0.024873096,-0.010323366,-0.010363131,-0.014509965,-0.024873096,,,,
"2016-01-20,三",19.21,2976.69,-0.02602811,-0.032321135,-0.032445637,0.006417526,-0.02602811,,,,
"2016-01-21,四",18.71,2880.48,-0.013896312,0.01252569,0.012573939,-0.026470251,-0.013896312,,,,
"2016-01-22,五",18.45,2916.56,0.011924119,0.00752599,0.00755498,0.00436914,0.011924119,,,,
"2016-01-25,一",18.67,2938.51,-0.054097483,-0.064223025,-0.064470413,0.01037293,-0.054097483,,,,
"2016-01-26,二",17.66,2749.79,-0.019252548,-0.005174941,-0.005194875,-0.014057674,-0.019252548,,,,
"2016-01-27,三",17.32,2735.56,0.009237875,-0.029207914,-0.029320423,0.038558298,0.009237875,,,,
