date,stock,index,*Beta,ASR,profit
"2016-01-04,一",-0.0447 ,-0.0026 ,-0.00238877,-0.0423 ,-0.0447 
"2016-01-05,二",0.0126 ,0.0225 ,0.020764916,-0.0082 ,0.0126 
"2016-01-06,三",-0.1001 ,-0.0704 ,-0.06487953,-0.0352 ,-0.1001 
"2016-01-07,四",-0.0213 ,0.0197 ,0.018097507,-0.0394 ,-0.0213 
"2016-01-08,五",-0.0922 ,-0.0533 ,-0.049049599,-0.0431 ,-0.0922 
"2016-01-11,一",0.0411 ,0.0020 ,0.001880521,0.0392 ,0.0411 
"2016-01-12,二",-0.0320 ,-0.0242 ,-0.022319197,-0.0097 ,-0.0320 
"2016-01-13,三",0.0712 ,0.0197 ,0.018124615,0.0530 ,0.0712 
"2016-01-14,四",-0.0413 ,-0.0355 ,-0.032665206,-0.0086 ,-0.0413 
"2016-01-15,五",0.0367 ,0.0044 ,0.004085686,0.0326 ,0.0367 
"2016-01-18,一",0.0285 ,0.0322 ,0.029677655,-0.0011 ,0.0285 
"2016-01-19,二",-0.0288 ,-0.0103 ,-0.009507164,-0.0193 ,-0.0288 
"2016-01-20,三",-0.0524 ,-0.0323 ,-0.029765713,-0.0227 ,-0.0524 
"2016-01-21,四",0.0179 ,0.0125 ,0.011535365,0.0064 ,0.0179 
"2016-01-22,五",0.0206 ,0.0075 ,0.006930958,0.0137 ,0.0206 
"2016-01-25,一",-0.0852 ,-0.0642 ,-0.059145327,-0.0261 ,-0.0852 
"2016-01-26,二",0.0197 ,-0.0052 ,-0.004765792,0.0244 ,0.0197 
"2016-01-27,三",-0.0473 ,-0.0292 ,-0.026898634,-0.0204 ,-0.0473 
"2016-01-28,四",0.0459 ,0.0309 ,0.028415361,0.0175 ,0.0459 
"2016-01-29,五",-0.0174 ,-0.0178 ,-0.01639964,-0.0010 ,-0.0174 
"2016-02-01,一",0.0455 ,0.0226 ,0.020796721,0.0247 ,0.0455 
"2016-02-02,二",0.0139 ,-0.0038 ,-0.003456564,0.0173 ,0.0139 
"2016-02-03,三",0.0319 ,0.0152 ,0.014043084,0.0178 ,0.0319 
"2016-02-04,四",-0.0151 ,-0.0063 ,-0.00580507,-0.0093 ,-0.0151 
"2016-02-05,五",0.1001 ,-0.0063 ,-0.005761914,0.1058 ,0.1001 
"2016-02-15,一",0.0193 ,0.0329 ,0.030305525,-0.0110 ,0.0193 
"2016-02-16,二",0.0263 ,0.0108 ,0.009989958,0.0163 ,0.0263 
"2016-02-17,三",-0.0152 ,-0.0016 ,-0.001429258,-0.0138 ,-0.0152 
"2016-02-18,四",-0.0036 ,-0.0010 ,-0.000923224,-0.0027 ,-0.0036 
"2016-02-19,五",0.0106 ,0.0235 ,0.021625756,-0.0110 ,0.0106 
"2016-02-22,一",0.0239 ,-0.0081 ,-0.007503582,0.0314 ,0.0239 
"2016-02-23,二",-0.0393 ,0.0088 ,0.008110806,-0.0474 ,-0.0393 
"2016-02-24,三",-0.0945 ,-0.0641 ,-0.059002948,-0.0355 ,-0.0945 
"2016-02-25,四",0.0004 ,0.0095 ,0.00872139,-0.0084 ,0.0004 
"2016-02-26,五",-0.0705 ,-0.0286 ,-0.026368002,-0.0441 ,-0.0705 
"2016-02-29,一",0.0510 ,0.0168 ,0.015482675,0.0355 ,0.0510 
"2016-03-01,二",0.0417 ,0.0426 ,0.039257826,0.0025 ,0.0417 
"2016-03-02,三",-0.0115 ,0.0035 ,0.003257573,-0.0148 ,-0.0115 
"2016-03-03,四",-0.0471 ,0.0050 ,0.004634052,-0.0517 ,-0.0471 
"2016-03-04,五",0.0215 ,0.0081 ,0.007430551,0.0140 ,0.0215 
"2016-03-07,一",0.0499 ,0.0014 ,0.001287316,0.0486 ,0.0499 
"2016-03-08,二",-0.0229 ,-0.0134 ,-0.012325115,-0.0105 ,-0.0229 
"2016-03-09,三",0.0029 ,-0.0202 ,-0.01860494,0.0215 ,0.0029 
"2016-03-10,四",-0.0230 ,0.0020 ,0.0018322,-0.0248 ,-0.0230 
