date,-,stock,-,index,*beta,ASR,profit,,,
"2016-01-04,一",6,0.005,3296.26,-0.002593849,-0.003054597,0.008054597,0.005,,,
"2016-01-05,二",6.03,0.03814262,3287.71,0.022547609,0.026552763,0.011589857,0.03814262,,,
"2016-01-06,三",6.26,-0.075079872,3361.84,-0.070449516,-0.082963534,0.007883661,-0.075079872,,,
"2016-01-07,四",5.79,0.03626943,3125,0.0196512,0.023141862,0.013127568,0.03626943,,,
"2016-01-08,五",6,-0.028333333,3186.41,-0.053260566,-0.062721294,0.03438796,-0.028333333,,,
"2016-01-11,一",5.83,0.010291595,3016.7,0.002041966,0.002404683,0.007886912,0.010291595,,,
"2016-01-12,二",5.89,-0.022071307,3022.86,-0.024235327,-0.028540272,0.006468965,-0.022071307,,,
"2016-01-13,三",5.76,0.008680556,2949.6,0.019680635,0.023176525,-0.01449597,0.008680556,,,
"2016-01-14,四",5.81,-0.049913941,3007.65,-0.035469553,-0.041770045,-0.008143897,-0.049913941,,,
"2016-01-15,五",5.52,-0.007246377,2900.97,0.004436447,0.005224498,-0.012470874,-0.007246377,,,
"2016-01-18,一",5.48,0.02919708,2913.84,0.032225517,0.037949768,-0.008752687,0.02919708,,,
"2016-01-19,二",5.64,-0.021276596,3007.74,-0.010323366,-0.012157115,-0.00911948,-0.021276596,,,
"2016-01-20,三",5.52,-0.023550725,2976.69,-0.032321135,-0.038062371,0.014511646,-0.023550725,,,
"2016-01-21,四",5.39,0.005565863,2880.48,0.01252569,0.014750641,-0.009184778,0.005565863,,,
"2016-01-22,五",5.42,0.003690037,2916.56,0.00752599,0.008862839,-0.005172802,0.003690037,,,
"2016-01-25,一",5.44,-0.079044118,2938.51,-0.064223025,-0.075631025,-0.003413093,-0.079044118,,,
"2016-01-26,二",5.01,-0.015968064,2749.79,-0.005174941,-0.006094171,-0.009873893,-0.015968064,,,
"2016-01-27,三",4.93,-0.048681542,2735.56,-0.029207914,-0.034396144,-0.014285397,-0.048681542,,,
"2016-01-28,四",4.69,0.025586354,2655.66,0.030854853,0.036335632,-0.010749278,0.025586354,,,
"2016-01-29,五",4.81,-0.037422037,2737.6,-0.017807569,-0.020970745,-0.016451293,-0.037422037,,,
"2016-02-01,一",4.63,0.021598272,2688.85,0.022582145,0.026593434,-0.004995162,0.021598272,,,
"2016-02-02,二",4.73,0.002114165,2749.57,-0.003753314,-0.004420019,0.006534184,0.002114165,,,
"2016-02-03,三",4.74,0.010548523,2739.25,0.015248699,0.017957341,-0.007408818,0.010548523,,,
"2016-02-04,四",4.79,-0.006263048,2781.02,-0.006303443,-0.007423129,0.001160081,-0.006263048,,,
"2016-02-05,五",4.76,-0.014705882,2763.49,-0.006256581,-0.007367944,-0.007337938,-0.014705882,,,
"2016-02-15,一",4.69,0.036247335,2746.2,0.03290729,0.038752645,-0.00250531,0.036247335,,,
"2016-02-16,二",4.86,0.010288066,2836.57,0.010847608,0.01277448,-0.002486414,0.010288066,,,
"2016-02-17,三",4.91,0.099796334,2867.34,-0.001551961,-0.001827637,0.101623971,0.099796334,,,
"2016-02-18,四",5.4,0.005555556,2862.89,-0.001002484,-0.001180556,0.006736111,0.005555556,,,
"2016-02-19,五",5.43,0.005524862,2860.02,0.023482353,0.027653547,-0.022128685,0.005524862,,,
"2016-02-22,一",5.46,-0.016483516,2927.18,-0.008147774,-0.009595071,-0.006888446,-0.016483516,,,
"2016-02-23,二",5.37,0,2903.33,0.008807128,0.010371547,-0.010371547,0,,,
"2016-02-24,三",5.37,-0.083798883,2928.9,-0.064068422,-0.075448959,-0.008349923,-0.083798883,,,
"2016-02-25,四",4.92,0.012195122,2741.25,0.009470132,0.011152321,0.001042801,0.012195122,,,
"2016-02-26,五",4.98,-0.018072289,2767.21,-0.028631727,-0.033717609,0.01564532,-0.018072289,,,
"2016-02-29,一",4.89,0.022494888,2687.98,0.016811881,0.019798192,0.002696695,0.022494888,,,
"2016-03-01,二",5,0.06,2733.17,0.042628157,0.050200239,0.009799761,0.06,,,
"2016-03-02,三",5.3,0.01509434,2849.68,0.003537239,0.004165563,0.010928777,0.01509434,,,
"2016-03-03,四",5.38,0.027881041,2859.76,0.005031891,0.005925711,0.02195533,0.027881041,,,
"2016-03-04,五",5.53,0.001808318,2874.15,0.008068472,0.009501683,-0.007693365,0.001808318,,,
"2016-03-07,一",5.54,-0.010830325,2897.34,0.001397834,0.001646133,-0.012476457,-0.010830325,,,
"2016-03-08,二",5.48,-0.01459854,2901.39,-0.01338324,-0.015760519,0.001161979,-0.01459854,,,
"2016-03-09,三",5.4,-0.014814815,2862.56,-0.020202197,-0.023790733,0.008975918,-0.014814815,,,
"2016-03-10,四",5.32,-0.007518797,2804.73,0.001989496,0.002342893,-0.00986169,-0.007518797,,,
"2016-03-11,五",5.28,0.03219697,2810.31,0.017503407,0.020612555,0.011584415,0.03219697,,,
"2016-03-14,一",5.45,-0.00733945,2859.5,0.001703095,0.002005617,-0.009345067,-0.00733945,,,
"2016-03-15,二",5.41,0.009242144,2864.37,0.002115648,0.002491453,0.006750691,0.009242144,,,
"2016-03-16,三",5.46,0.009157509,2870.43,0.011984267,0.014113045,-0.004955535,0.009157509,,,
"2016-03-17,四",5.51,0.00907441,2904.83,0.017322873,0.020399952,-0.011325542,0.00907441,,,
"2016-03-18,五",5.56,0.035971223,2955.15,0.02153867,0.025364605,0.010606618,0.035971223,,,
"2016-03-21,一",5.76,-0.015625,3018.8,-0.006439645,-0.007583525,-0.008041475,-0.015625,,,
"2016-03-22,二",5.67,0.02292769,2999.36,0.003534087,0.004161851,0.018765839,0.02292769,,,
"2016-03-23,三",5.8,-0.027586207,3009.96,-0.016275964,-0.01916708,-0.008419127,-0.027586207,,,
"2016-03-24,四",5.64,0.005319149,2960.97,0.006234443,0.007341874,-0.002022725,0.005319149,,,
"2016-03-25,五",5.67,-0.003527337,2979.43,-0.007253065,-0.008541434,0.005014098,-0.003527337,,,
"2016-03-28,一",5.65,-0.019469027,2957.82,-0.012843919,-0.015125397,-0.00434363,-0.019469027,,,
"2016-03-29,二",5.54,0.023465704,2919.83,0.027676269,0.032592432,-0.009126728,0.023465704,,,
"2016-03-30,三",5.67,0.003527337,3000.64,0.0010931,0.001287269,0.002240068,0.003527337,,,
"2016-03-31,四",5.69,-0.007029877,3003.92,0.00186756,0.002199296,-0.009229173,-0.007029877,,,
"2016-04-01,五",5.65,0.008849558,3009.53,0.014467375,0.01703723,-0.008187672,0.008849558,,,
"2016-04-05,二",5.7,-0.007017544,3053.07,-0.000812297,-0.000956586,-0.006060958,-0.007017544,,,
"2016-04-06,三",5.66,-0.012367491,3050.59,-0.013823555,-0.016279047,0.003911556,-0.012367491,,,
"2016-04-07,四",5.59,-0.021466905,3008.42,-0.007798113,-0.0091833,-0.012283605,-0.021466905,,,
"2016-04-08,五",5.47,0.056672761,2984.96,0.01641563,0.019331555,0.037341205,0.056672761,,,
"2016-04-11,一",5.78,-0.010380623,3033.96,-0.003398199,-0.004001825,-0.006378798,-0.010380623,,,
"2016-04-12,二",5.72,0.026223776,3023.65,0.014217915,0.016743458,0.009480318,0.026223776,,,
"2016-04-13,三",5.87,0.01362862,3066.64,0.005126132,0.006036691,0.007591929,0.01362862,,,
"2016-04-14,四",5.95,0.021848739,3082.36,-0.001375569,-0.001619913,0.023468653,0.021848739,,,
"2016-04-15,五",6.08,-0.039473684,3078.12,-0.014443881,-0.017009562,-0.022464122,-0.039473684,,,
"2016-04-18,一",5.84,-0.001712329,3033.66,0.003019455,0.003555804,-0.005268133,-0.001712329,,,
"2016-04-19,二",5.83,-0.027444254,3042.82,-0.02308385,-0.027184257,-0.000259997,-0.027444254,,,
"2016-04-20,三",5.67,-0.017636684,2972.58,-0.006623876,-0.007800481,-0.009836203,-0.017636684,,,
"2016-04-21,四",5.57,-0.007181329,2952.89,0.002150436,0.00253242,-0.009713748,-0.007181329,,,
"2016-04-22,五",5.53,-0.009041591,2959.24,-0.004247712,-0.005002238,-0.004039354,-0.009041591,,,
"2016-04-25,一",5.48,0.009124088,2946.67,0.006118771,0.007205655,0.001918433,0.009124088,,,
"2016-04-26,二",5.53,-0.012658228,2964.7,-0.003720444,-0.00438131,-0.008276918,-0.012658228,,,
"2016-04-27,三",5.46,-0.009157509,2953.67,-0.00273558,-0.003221504,-0.005936006,-0.009157509,,,
"2016-04-28,四",5.41,-0.001848429,2945.59,-0.002468096,-0.002906507,0.001058078,-0.001848429,,,
"2016-04-29,五",5.4,0.024074074,2938.32,0.018486754,0.021770575,0.002303499,0.024074074,,,
"2016-05-03,二",5.53,-0.001808318,2992.64,-0.00045779,-0.000539107,-0.001269211,-0.001808318,,,
"2016-05-04,三",5.52,0,2991.27,0.002196391,0.002586539,-0.002586539,0,,,
"2016-05-05,四",5.52,-0.030797101,2997.84,-0.028216983,-0.033229194,0.002432092,-0.030797101,,,
"2016-05-06,五",5.35,-0.059813084,2913.25,-0.027852055,-0.032799444,-0.02701364,-0.059813084,,,
"2016-05-09,一",5.03,-0.003976143,2832.11,0.000169485,0.000199591,-0.004175734,-0.003976143,,,
"2016-05-10,二",5.01,-0.001996008,2832.59,0.001571,0.001850059,-0.003846067,-0.001996008,,,
"2016-05-11,三",5,0.002,2837.04,-0.000415926,-0.000489808,0.002489808,0.002,,,
"2016-05-12,四",5.01,0,2835.86,-0.003085484,-0.003633561,0.003633561,0,,,
"2016-05-13,五",5.01,0.003992016,2827.11,0.008400805,0.009893048,-0.005901032,0.003992016,,,
"2016-05-16,一",5.03,-0.003976143,2850.86,-0.002518538,-0.002965909,-0.001010234,-0.003976143,,,
"2016-05-17,二",5.01,-0.015968064,2843.68,-0.012719434,-0.0149788,-0.000989264,-0.015968064,,,
"2016-05-18,三",4.93,-0.004056795,2807.51,-0.000213713,-0.000251674,-0.003805121,-0.004056795,,,
"2016-05-19,四",4.91,0.00814664,2806.91,0.006615816,0.00779099,0.00035565,0.00814664,,,
"2016-05-20,五",4.95,0.006060606,2825.48,0.006430766,0.007573069,-0.001512463,0.006060606,,,
"2016-05-23,一",4.98,-0.014056225,2843.65,-0.007729503,-0.009102502,-0.004953723,-0.014056225,,,
"2016-05-24,二",4.91,0,2821.67,-0.002331952,-0.002746179,0.002746179,0,,,
"2016-05-25,三",4.91,0.00610998,2815.09,0.002610929,0.003074711,0.003035269,0.00610998,,,
"2016-05-26,四",4.94,-0.004048583,2822.44,-0.000492482,-0.000579962,-0.003468621,-0.004048583,,,
"2016-05-27,五",4.92,0,2821.05,0.000496269,0.000584422,-0.000584422,0,,,
