date,.,.,stock,index,*beta,ASR,profit,,,
"2016-01-04,一",9.2,3296.26,-0.001086957,-0.002593849,-0.002538893,0.001451936,-0.001086957,,,
"2016-01-05,二",9.19,3287.71,0.026115343,0.022547609,0.022069893,0.00404545,0.026115343,,,
"2016-01-06,三",9.43,3361.84,-0.062566278,-0.070449516,-0.068956902,0.006390624,-0.062566278,,,
"2016-01-07,四",8.84,3125,0.028280543,0.0196512,0.01923485,0.009045693,0.028280543,,,0.978813107
"2016-01-08,五",9.09,3186.41,-0.04510451,-0.053260566,-0.052132134,0.007027624,-0.04510451,,,
"2016-01-11,一",8.68,3016.7,-0.008064516,0.002041966,0.001998703,-0.010063219,-0.008064516,,,
"2016-01-12,二",8.61,3022.86,-0.042973287,-0.024235327,-0.023721853,-0.019251434,-0.042973287,,,
"2016-01-13,三",8.24,2949.6,0.019417476,0.019680635,0.019263661,0.000153815,0.019417476,,,
"2016-01-14,四",8.4,3007.65,-0.035714286,-0.035469553,-0.034718059,-0.000996226,-0.035714286,,,
"2016-01-15,五",8.1,2900.97,0.008641975,0.004436447,0.004342452,0.004299523,0.008641975,,,
"2016-01-18,一",8.17,2913.84,0.031823745,0.032225517,0.031542755,0.000280991,0.031823745,,,
"2016-01-19,二",8.43,3007.74,-0.021352313,-0.010323366,-0.010104645,-0.011247669,-0.021352313,,,
"2016-01-20,三",8.25,2976.69,-0.025454545,-0.032321135,-0.031636347,0.006181802,-0.025454545,,,
"2016-01-21,四",8.04,2880.48,0.023631841,0.01252569,0.012260308,0.011371532,0.023631841,,,
"2016-01-22,五",8.23,2916.56,0.013365735,0.00752599,0.007366536,0.005999199,0.013365735,,,
"2016-01-25,一",8.34,2938.51,-0.081534772,-0.064223025,-0.062862331,-0.018672441,-0.081534772,,,
"2016-01-26,二",7.66,2749.79,0.009138381,-0.005174941,-0.005065299,0.01420368,0.009138381,,,
"2016-01-27,三",7.73,2735.56,-0.032341527,-0.029207914,-0.028589085,-0.003752441,-0.032341527,,,
"2016-01-28,四",7.48,2655.66,0.038770053,0.030854853,0.030201132,0.008568922,0.038770053,,,
"2016-01-29,五",7.77,2737.6,-0.012870013,-0.017807569,-0.01743028,0.004560267,-0.012870013,,,
"2016-02-01,一",7.67,2688.85,0.016949153,0.022582145,0.022103697,-0.005154544,0.016949153,,,
"2016-02-02,二",7.8,2749.57,-0.008974359,-0.003753314,-0.003673793,-0.005300566,-0.008974359,,,
"2016-02-03,三",7.73,2739.25,0.038809832,0.015248699,0.014925625,0.023884207,0.038809832,,,
"2016-02-04,四",8.03,2781.02,-0.02366127,-0.006303443,-0.006169892,-0.017491379,-0.02366127,,,
"2016-02-05,五",7.84,2763.49,-0.011479592,-0.006256581,-0.006124023,-0.005355569,-0.011479592,,,
"2016-02-15,一",7.75,2746.2,0.091612903,0.03290729,0.032210083,0.05940282,0.091612903,,,
"2016-02-16,二",8.46,2836.57,0,0.010847608,0.01061778,-0.01061778,0,,,
"2016-02-17,三",8.46,2867.34,-0.01536643,-0.001551961,-0.00151908,-0.013847351,-0.01536643,,,
"2016-02-18,四",8.33,2862.89,0.019207683,-0.001002484,-0.000981244,0.020188927,0.019207683,,,
"2016-02-19,五",8.49,2860.02,-0.001177856,0.023482353,0.022984833,-0.024162689,-0.001177856,,,
"2016-02-22,一",8.48,2927.18,-0.028301887,-0.008147774,-0.007975147,-0.02032674,-0.028301887,,,
"2016-02-23,二",8.24,2903.33,-0.001213592,0.008807128,0.008620532,-0.009834124,-0.001213592,,,
"2016-02-24,三",8.23,2928.9,-0.070473876,-0.064068422,-0.062711004,-0.007762872,-0.070473876,,,
"2016-02-25,四",7.65,2741.25,0.047058824,0.009470132,0.009269489,0.037789335,0.047058824,,,
"2016-02-26,五",8.01,2767.21,-0.007490637,-0.028631727,-0.028025106,0.020534469,-0.007490637,,,
"2016-02-29,一",7.95,2687.98,0.025157233,0.016811881,0.016455688,0.008701545,0.025157233,,,
"2016-03-01,二",8.15,2733.17,0.023312883,0.042628157,0.041724994,-0.018412111,0.023312883,,,
"2016-03-02,三",8.34,2849.68,-0.009592326,0.003537239,0.003462296,-0.013054622,-0.009592326,,,
"2016-03-03,四",8.26,2859.76,-0.030266344,0.005031891,0.00492528,-0.035191624,-0.030266344,,,
"2016-03-04,五",8.01,2874.15,0.004993758,0.008068472,0.007897526,-0.002903768,0.004993758,,,
"2016-03-07,一",8.05,2897.34,0.004968944,0.001397834,0.001368218,0.003600726,0.004968944,,,
"2016-03-08,二",8.09,2901.39,-0.012360939,-0.01338324,-0.01309969,0.00073875,-0.012360939,,,
"2016-03-09,三",7.99,2862.56,-0.006257822,-0.020202197,-0.019774173,0.01351635,-0.006257822,,,
"2016-03-10,四",7.94,2804.73,0.006297229,0.001989496,0.001947345,0.004349884,0.006297229,,,
"2016-03-11,五",7.99,2810.31,0.017521902,0.017503407,0.017132562,0.00038934,0.017521902,,,
"2016-03-14,一",8.13,2859.5,0.017220172,0.001703095,0.001667011,0.015553161,0.017220172,,,
"2016-03-15,二",8.27,2864.37,-0.014510278,0.002115648,0.002070824,-0.016581102,-0.014510278,,,
"2016-03-16,三",8.15,2870.43,0.02208589,0.011984267,0.011730356,0.010355533,0.02208589,,,
"2016-03-17,四",8.33,2904.83,0.025210084,0.017322873,0.016955853,0.008254231,0.025210084,,,
"2016-03-18,五",8.54,2955.15,0.012880562,0.02153867,0.02108233,-0.008201768,0.012880562,,,
"2016-03-21,一",8.65,3018.8,-0.012716763,-0.006439645,-0.006303208,-0.006413555,-0.012716763,,,
