600016 民生银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/12/19	20.00	21.00	18.50	18.56	156352400	3058872064.00
2000/12/20	18.47	18.47	17.91	18.10	29046700	526016576.00
2000/12/21	18.18	18.48	18.00	18.09	11362900	206705744.00
2000/12/22	18.10	18.17	17.60	17.66	13026400	231272608.00
2000/12/25	17.60	17.62	17.01	17.20	10113100	174453024.00
2000/12/26	17.20	17.50	17.18	17.32	6539000	113179160.00
2000/12/27	17.35	17.38	17.05	17.11	6814000	116840536.00
2000/12/28	17.10	17.19	17.02	17.08	6921400	118199560.00
2000/12/29	17.10	17.38	17.05	17.22	3985200	68457752.00
2001/01/02	17.25	17.55	17.10	17.39	5440000	94143232.00
2001/01/03	17.45	17.47	17.22	17.30	4322300	74715216.00
2001/01/04	17.34	17.39	17.10	17.16	5205100	89541752.00
2001/01/05	17.13	17.15	16.78	16.92	9318500	157555680.00
2001/01/08	16.88	16.89	16.51	16.59	6452400	107107760.00
2001/01/09	16.58	17.08	16.51	17.03	5336400	89826848.00
2001/01/10	17.06	17.16	16.80	17.03	3901100	66339296.00
2001/01/11	17.03	17.70	17.00	17.38	13053900	228192672.00
2001/01/12	17.39	17.60	17.20	17.53	6113100	106765776.00
2001/01/15	17.53	17.55	16.60	16.75	7478100	127174472.00
2001/01/16	16.75	17.09	16.66	17.02	4824700	81394432.00
2001/01/17	17.05	17.48	17.00	17.19	3432900	59231396.00
2001/01/18	17.20	17.55	17.09	17.41	4883700	84924144.00
2001/01/19	17.45	17.60	17.20	17.55	6183600	108410904.00
2001/02/05	17.63	17.65	16.98	17.00	3121100	53615816.00
2001/02/06	17.00	17.03	16.61	17.02	2902100	48864616.00
2001/02/07	17.02	17.05	16.80	16.85	1293700	21839972.00
2001/02/08	16.85	16.89	16.52	16.55	3091100	51492744.00
2001/02/09	16.57	16.99	16.52	16.85	2211200	37064468.00
2001/02/12	16.85	17.18	16.68	17.03	2558200	43340392.00
2001/02/13	17.05	17.10	16.85	16.91	1146900	19476376.00
2001/02/14	16.91	17.00	16.80	16.86	1198400	20191834.00
2001/02/15	16.80	16.90	16.65	16.70	1250200	20906948.00
2001/02/16	16.69	16.70	16.35	16.52	3395500	56122872.00
2001/02/19	16.50	16.80	16.50	16.75	975900	16253685.00
2001/02/20	16.90	16.96	16.58	16.62	1738100	29093432.00
2001/02/21	16.62	16.67	16.21	16.30	3196200	52348616.00
2001/02/22	16.20	16.38	16.10	16.16	1694900	27521630.00
2001/02/23	16.16	16.60	16.15	16.58	1516800	24631630.00
2001/02/26	16.60	16.80	16.50	16.64	1771400	29424620.00
2001/02/27	16.65	16.69	16.47	16.52	1225600	20255998.00
2001/02/28	16.53	16.56	16.38	16.40	1346600	22138560.00
2001/03/01	16.40	16.70	16.38	16.49	1030100	16994048.00
2001/03/02	16.60	17.46	16.48	17.10	12850700	220527936.00
2001/03/05	17.12	17.35	17.00	17.02	4245500	72816192.00
2001/03/06	17.02	17.35	16.86	17.21	3646400	62317628.00
2001/03/07	17.20	17.55	17.06	17.33	6274800	109299384.00
2001/03/08	17.31	17.98	17.28	17.71	15669000	277433664.00
2001/03/09	17.84	17.85	17.41	17.60	5155000	90769744.00
2001/03/12	17.60	17.67	17.30	17.37	2329200	40631384.00
2001/03/13	17.30	17.46	17.10	17.20	3061500	52771152.00
2001/03/14	17.18	17.74	17.12	17.54	4752000	83491696.00
2001/03/15	17.40	17.55	17.30	17.36	2681900	46708412.00
2001/03/16	17.36	17.60	17.20	17.30	2577400	44755680.00
2001/03/19	17.30	17.39	17.15	17.35	2308100	39829376.00
2001/03/20	17.36	17.50	17.23	17.42	1674600	29082724.00
2001/03/21	17.42	17.98	17.40	17.76	9207900	163563744.00
2001/03/22	17.86	17.98	17.75	17.85	7989500	142600816.00
2001/03/23	17.85	17.90	17.38	17.39	5048200	88937144.00
2001/03/26	17.38	17.81	17.36	17.60	3847100	67998936.00
2001/03/27	17.69	17.85	17.50	17.69	2306000	40622708.00
2001/03/28	17.69	17.80	17.58	17.72	4105300	72528136.00
2001/03/29	17.79	18.34	17.79	18.06	12606800	228702944.00
2001/03/30	18.10	18.28	18.08	18.16	5821400	105771352.00
2001/04/02	18.67	18.95	18.48	18.68	15147800	283220128.00
2001/04/03	18.68	18.82	18.55	18.81	6876600	128292560.00
2001/04/04	18.82	19.15	18.51	18.60	13785000	260210304.00
2001/04/05	18.58	18.95	18.51	18.93	5124300	95928208.00
2001/04/06	18.99	19.08	18.80	18.87	3888500	73435664.00
2001/04/09	18.85	18.96	18.75	18.87	2970400	55840072.00
2001/04/10	18.91	19.21	18.91	19.15	6154400	117671032.00
2001/04/11	19.18	19.35	19.08	19.24	7283700	140281488.00
2001/04/12	19.28	19.30	19.04	19.05	5170200	99149208.00
2001/04/13	19.06	19.25	18.80	19.08	6018900	114123504.00
2001/04/16	19.08	19.15	18.97	19.02	5483100	104306512.00
2001/04/17	19.02	19.02	18.83	18.88	4005600	75651808.00
2001/04/18	18.88	18.98	18.77	18.88	4014700	75688456.00
2001/04/19	18.86	18.90	18.50	18.70	5351100	99842048.00
2001/04/20	18.68	18.99	18.55	18.57	4858600	91125688.00
2001/04/23	18.40	18.55	18.27	18.49	4179400	76915312.00
2001/04/24	18.50	18.65	18.47	18.58	2116200	39203856.00
2001/04/25	18.58	18.68	17.98	18.15	6572400	119565168.00
2001/04/26	18.12	18.40	18.03	18.26	2791500	50925536.00
2001/04/27	18.26	18.58	18.20	18.45	3071900	56699088.00
2001/04/30	18.45	18.68	18.45	18.62	3170700	58878348.00
2001/05/08	18.62	18.72	18.58	18.69	2115500	39491112.00
2001/05/09	18.75	19.00	18.70	18.86	3262100	61565036.00
2001/05/10	18.85	18.97	18.80	18.85	2426700	45853556.00
2001/05/11	18.86	18.92	18.69	18.79	2085600	39124076.00
2001/05/14	19.00	19.45	18.96	19.21	11813200	227296608.00
2001/05/15	19.30	19.40	19.10	19.16	5044800	97205872.00
2001/05/16	19.20	19.68	19.20	19.53	10833200	211189472.00
2001/05/17	19.58	19.65	19.36	19.50	6028600	117702776.00
2001/05/18	19.50	19.56	19.38	19.50	4259500	83019344.00
2001/05/21	19.63	20.02	19.63	19.94	12250000	244319808.00
2001/05/23	19.50	19.93	19.38	19.83	4595900	90707224.00
2001/05/24	19.91	20.31	19.88	20.11	6577600	132308800.00
2001/05/25	20.18	20.24	19.70	19.91	4299300	85713088.00
2001/05/28	20.03	20.20	19.71	19.82	3790000	75574904.00
2001/05/29	19.85	19.99	19.75	19.86	3972900	78969984.00
2001/05/30	19.90	20.10	19.86	20.08	7309200	146219376.00
2001/05/31	15.50	15.65	15.35	15.60	10565700	164464560.00
2001/06/01	15.60	16.29	15.60	16.14	16226500	260177744.00
2001/06/04	16.25	16.66	16.01	16.06	16045100	261957536.00
2001/06/05	16.09	16.23	15.92	16.00	7932200	127116400.00
2001/06/06	16.00	16.04	15.75	15.90	6922800	109736720.00
2001/06/07	15.90	16.08	15.75	15.98	4780800	75954328.00
2001/06/08	16.00	16.00	15.82	15.89	2984800	47399728.00
2001/06/11	15.90	15.95	15.60	15.63	5097800	80207016.00
2001/06/12	15.62	15.82	15.56	15.73	3550800	55814840.00
2001/06/13	15.75	15.80	15.63	15.70	3236600	50806744.00
2001/06/14	15.70	15.80	15.48	15.54	4867100	76009320.00
2001/06/15	15.50	15.57	15.35	15.43	4694400	72375264.00
2001/06/18	15.42	15.42	14.82	14.91	6292100	94419352.00
2001/06/19	14.88	14.96	14.76	14.90	2654600	39398248.00
2001/06/20	14.90	15.12	14.90	14.94	1969500	29519876.00
2001/06/21	14.99	15.00	14.88	14.96	2366700	35334452.00
2001/06/22	15.00	15.18	14.98	15.16	3315300	49976732.00
2001/06/25	15.20	15.29	15.06	15.21	2487400	37682812.00
2001/06/26	15.22	15.30	15.00	15.11	2617900	39596352.00
2001/06/27	15.10	15.16	15.00	15.00	1874300	28195168.00
2001/06/28	15.00	15.05	14.89	14.94	2370300	35453604.00
2001/06/29	14.93	15.05	14.91	14.92	1443100	21585908.00
