600019 宝钢股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/12/12	4.96	7.36	4.88	6.09	312239700	1818469760.00
2000/12/13	5.81	5.94	5.69	5.70	96102000	554640640.00
2000/12/14	5.68	5.70	5.50	5.58	47045700	261534160.00
2000/12/15	5.58	5.65	5.52	5.53	16202200	90166640.00
2000/12/18	5.53	5.54	5.28	5.34	23154900	123828272.00
2000/12/19	5.34	5.45	5.32	5.35	11773900	63241080.00
2000/12/20	5.35	5.36	5.26	5.29	14936600	78994672.00
2000/12/21	5.30	5.43	5.28	5.36	13957900	74357136.00
2000/12/22	5.36	5.44	5.35	5.38	10208400	54985128.00
2000/12/25	5.40	5.45	5.39	5.40	10286100	55703040.00
2000/12/26	5.40	5.42	5.30	5.32	9146500	48731828.00
2000/12/27	5.34	5.37	5.30	5.33	5563100	29663142.00
2000/12/28	5.33	5.41	5.30	5.38	9737300	51996844.00
2000/12/29	5.40	5.43	5.38	5.42	6507700	35241328.00
2001/01/02	5.45	5.59	5.45	5.59	14936800	82921312.00
2001/01/03	5.60	5.80	5.60	5.72	22813200	129938032.00
2001/01/04	5.72	5.74	5.60	5.62	13037400	73829328.00
2001/01/05	5.61	5.61	5.55	5.58	7416900	41325808.00
2001/01/08	5.58	5.86	5.54	5.81	21305500	121900856.00
2001/01/09	5.81	5.88	5.75	5.80	16940400	98473936.00
2001/01/10	5.80	5.87	5.80	5.81	12634000	73725992.00
2001/01/11	5.81	5.87	5.75	5.85	16139700	94064312.00
2001/01/12	5.86	6.05	5.86	6.02	30834200	184560848.00
2001/01/15	6.05	6.08	5.81	5.85	22659300	135536608.00
2001/01/16	5.78	6.25	5.75	6.20	33215100	201993888.00
2001/01/17	6.22	6.28	6.12	6.20	19864200	123491448.00
2001/01/18	6.20	6.45	6.20	6.40	31558100	201448736.00
2001/01/19	6.45	6.50	6.39	6.44	32646400	210730688.00
2001/02/05	6.45	6.50	6.18	6.20	23212500	146457312.00
2001/02/06	6.18	6.45	6.00	6.40	21869700	135194368.00
2001/02/07	6.40	6.46	6.29	6.32	13958400	89228264.00
2001/02/08	6.30	6.37	6.12	6.17	10594100	65978592.00
2001/02/09	6.17	6.30	6.08	6.19	10897000	67287680.00
2001/02/12	6.19	6.25	6.05	6.20	7076300	43533444.00
2001/02/13	6.20	6.28	6.18	6.25	6589300	40988336.00
2001/02/14	6.24	6.24	6.13	6.17	4401100	27220078.00
2001/02/15	6.17	6.22	6.09	6.12	5212500	31990820.00
2001/02/16	6.10	6.12	6.06	6.12	6867100	41831424.00
2001/02/19	6.13	6.19	6.07	6.18	4680200	28654398.00
2001/02/20	6.17	6.24	6.12	6.19	5368800	33204318.00
2001/02/21	6.17	6.17	6.05	6.08	7293400	44396680.00
2001/02/22	6.06	6.12	6.02	6.08	3736800	22705294.00
2001/02/23	6.08	6.28	6.06	6.25	8953600	55408948.00
2001/02/26	6.22	6.26	6.11	6.15	14518300	89715744.00
2001/02/27	6.10	6.11	5.91	5.94	33415000	199896752.00
2001/03/01	5.98	5.98	5.35	5.53	375817900	2050733056.00
2001/03/02	5.49	5.65	5.46	5.63	115400600	644475840.00
2001/03/05	5.64	5.66	5.55	5.59	36705400	205314352.00
2001/03/06	5.59	5.61	5.56	5.61	24376500	136396752.00
2001/03/07	5.61	5.61	5.58	5.59	22946100	128380088.00
2001/03/08	5.59	5.60	5.51	5.55	31134700	172397184.00
2001/03/09	5.55	5.56	5.47	5.49	44409600	244237472.00
2001/03/12	5.49	5.55	5.46	5.52	20664100	113661384.00
2001/03/13	5.53	5.55	5.48	5.52	10990700	60611292.00
2001/03/14	5.51	5.58	5.50	5.57	11478200	63727904.00
2001/03/15	5.55	5.64	5.55	5.58	15846500	88494240.00
2001/03/16	5.58	5.59	5.54	5.56	12195500	67801752.00
2001/03/19	5.56	5.56	5.49	5.54	14436800	79572792.00
2001/03/20	5.54	5.57	5.51	5.52	16533600	91394952.00
2001/03/21	5.52	5.64	5.52	5.63	35628400	199041680.00
2001/03/22	5.65	5.85	5.64	5.80	77081600	445346560.00
2001/03/23	5.81	5.83	5.66	5.68	36374000	208826128.00
2001/03/26	5.67	5.75	5.65	5.72	23440300	133626208.00
2001/03/27	5.73	5.75	5.67	5.69	17943100	102150912.00
2001/03/28	5.69	5.70	5.65	5.66	17267100	97955528.00
2001/03/29	5.60	5.67	5.60	5.64	20792300	117183152.00
2001/03/30	5.64	5.71	5.64	5.70	14674700	83371008.00
2001/04/02	5.71	5.73	5.68	5.71	13829300	78797088.00
2001/04/03	5.71	5.72	5.68	5.70	11698300	66629740.00
2001/04/04	5.70	5.81	5.68	5.69	29237300	167569264.00
2001/04/05	5.68	5.76	5.67	5.75	11847300	67684800.00
2001/04/06	5.76	5.79	5.69	5.71	8826100	50558216.00
2001/04/09	5.71	5.72	5.67	5.70	9416500	53560648.00
2001/04/10	5.70	5.72	5.68	5.71	8158200	46492648.00
2001/04/11	5.71	5.72	5.64	5.66	16358400	92686408.00
2001/04/12	5.66	5.67	5.59	5.62	23737200	133462264.00
2001/04/13	5.62	5.64	5.57	5.63	12266600	68778328.00
2001/04/16	5.63	5.64	5.59	5.62	13586200	76157552.00
2001/04/17	5.62	5.63	5.59	5.61	16153400	90533856.00
2001/04/18	5.61	5.62	5.57	5.58	16606400	92807496.00
2001/04/19	5.59	5.61	5.55	5.57	13658100	76189368.00
2001/04/20	5.57	5.57	5.52	5.52	19524000	108054216.00
2001/04/23	5.52	5.52	5.44	5.46	28270600	154612784.00
2001/04/24	5.46	5.52	5.45	5.50	12555700	68869880.00
2001/04/25	5.50	5.53	5.37	5.41	25143600	136508192.00
2001/04/26	5.40	5.43	5.38	5.40	10765600	58178636.00
2001/04/27	5.40	5.54	5.40	5.51	15267600	83475760.00
2001/05/08	5.53	5.55	5.45	5.47	4476500	24547260.00
2001/05/09	5.47	5.49	5.40	5.42	8338600	45189064.00
2001/05/10	5.42	5.43	5.39	5.41	7350400	39756776.00
2001/05/11	5.41	5.43	5.39	5.42	5543600	29981660.00
2001/05/14	5.42	5.44	5.38	5.42	13682300	73938032.00
2001/05/15	5.45	5.64	5.45	5.57	26154800	145781056.00
2001/05/16	5.60	5.62	5.51	5.54	9961200	55374528.00
2001/05/17	5.55	5.57	5.47	5.49	11426300	62771192.00
2001/05/18	5.50	5.50	5.45	5.48	8295100	45409024.00
2001/05/21	5.50	5.61	5.48	5.54	12725800	70685192.00
2001/05/22	5.56	5.58	5.50	5.51	4849700	26801184.00
2001/05/23	5.50	5.51	5.40	5.44	9188500	50016332.00
2001/05/24	5.43	5.45	5.40	5.43	14468900	78305984.00
2001/05/25	5.42	5.45	5.40	5.41	8208700	44414056.00
2001/05/28	5.41	5.41	5.34	5.37	13868100	74416392.00
2001/05/29	5.31	5.54	5.30	5.42	29062300	157487680.00
2001/05/30	5.41	5.49	5.39	5.42	14980500	81266552.00
2001/05/31	5.42	5.45	5.37	5.38	12854000	69229592.00
2001/06/01	5.38	5.44	5.38	5.40	12296800	66435928.00
2001/06/04	5.40	5.42	5.36	5.37	12267500	65933548.00
2001/06/05	5.38	5.43	5.36	5.41	14553500	78400136.00
2001/06/06	5.42	5.51	5.41	5.48	19590300	107022992.00
2001/06/07	5.49	5.49	5.42	5.44	7952800	43304912.00
2001/06/08	5.44	5.45	5.42	5.42	5815000	31564624.00
2001/06/11	5.43	5.44	5.38	5.39	7694500	41619696.00
2001/06/12	5.41	5.42	5.35	5.38	6340400	34068200.00
2001/06/13	5.39	5.41	5.35	5.41	11932300	64073000.00
2001/06/14	5.42	5.43	5.35	5.37	13708300	73749776.00
2001/06/15	5.36	5.40	5.35	5.37	7538200	40412916.00
2001/06/18	5.37	5.58	5.33	5.37	11458300	61569840.00
2001/06/19	5.37	5.38	5.33	5.35	6225100	33279748.00
2001/06/20	5.35	5.36	5.31	5.33	4986000	26588032.00
2001/06/21	5.40	5.42	5.33	5.36	5204700	27951110.00
2001/06/22	5.36	5.49	5.36	5.46	22573100	122711776.00
2001/06/25	5.49	5.58	5.40	5.53	45296700	250402064.00
2001/06/26	5.53	5.55	5.46	5.50	20014400	110091296.00
2001/06/27	5.50	5.51	5.42	5.44	8706600	47447904.00
2001/06/28	5.45	5.52	5.41	5.44	11594800	63395796.00
2001/06/29	5.44	5.47	5.39	5.41	7301500	39521700.00
2001/07/02	5.41	5.46	5.39	5.42	4285000	23186628.00
2001/07/03	5.42	5.45	5.39	5.42	5706400	30901906.00
2001/07/04	5.42	5.44	5.37	5.41	9998900	54060504.00
2001/07/05	5.43	5.45	5.39	5.40	8466100	45864672.00
2001/07/06	5.40	5.41	5.30	5.35	12627300	67438168.00
2001/07/09	5.35	5.35	5.31	5.32	6165700	32862554.00
2001/07/10	5.33	5.35	5.32	5.35	2987800	15943521.00
2001/07/11	5.34	5.43	5.32	5.36	8697900	46820660.00
2001/07/12	5.37	5.39	5.33	5.35	5432100	29092440.00
2001/07/13	5.36	5.39	5.32	5.35	3627600	19438432.00
2001/07/16	5.35	5.38	5.29	5.30	8879300	47138968.00
2001/07/17	5.29	5.30	5.21	5.23	9195600	48187048.00
2001/07/18	5.25	5.35	5.20	5.32	6768300	35669940.00
2001/07/19	5.27	5.33	5.27	5.30	3131500	16595468.00
2001/07/20	5.30	5.37	5.28	5.34	4120200	21976348.00
2001/07/23	5.34	5.34	5.22	5.24	8645300	45456420.00
2001/07/24	5.24	5.27	5.19	5.21	11695700	60954992.00
2001/07/25	5.21	5.22	5.10	5.13	12474400	64319632.00
2001/07/26	5.12	5.14	4.99	5.01	22490800	113296120.00
2001/07/27	5.02	5.05	4.98	5.00	11029300	55178628.00
2001/07/30	5.00	5.00	4.63	4.63	23929600	113948320.00
2001/07/31	4.61	4.79	4.58	4.65	13091800	61280256.00
2001/08/01	4.70	4.82	4.70	4.82	10490900	50115744.00
2001/08/02	4.83	4.84	4.60	4.80	10341900	49150492.00
2001/08/03	4.80	4.85	4.75	4.83	4503800	21647116.00
2001/08/06	4.84	4.85	4.59	4.64	11189100	52111536.00
2001/08/07	4.61	4.68	4.57	4.65	19848100	91506744.00
2001/08/08	4.67	4.70	4.45	4.50	16314400	74180960.00
2001/08/09	4.51	4.54	4.40	4.53	9347500	41643536.00
2001/08/10	4.54	4.59	4.52	4.55	6149300	28063468.00
2001/08/13	4.56	4.61	4.55	4.58	5313400	24302132.00
2001/08/14	4.59	4.60	4.51	4.54	2951800	13440943.00
2001/08/15	4.54	4.55	4.50	4.54	3584600	16194391.00
2001/08/16	4.54	4.56	4.49	4.51	3990200	18003000.00
2001/08/21	4.55	4.59	4.50	4.51	2704300	12212044.00
2001/08/22	4.50	4.50	4.31	4.34	10411000	45553648.00
2001/08/23	4.31	4.31	4.21	4.27	5594100	23811840.00
2001/08/24	4.29	4.32	4.27	4.27	3017100	12948254.00
2001/08/27	4.26	4.26	4.14	4.15	8802600	36844504.00
2001/08/28	4.13	4.23	4.09	4.23	5703100	23602528.00
2001/08/29	4.24	4.29	4.20	4.25	3586500	15242414.00
2001/08/30	4.25	4.31	4.22	4.28	10564600	45007128.00
2001/08/31	4.27	4.30	4.25	4.26	1869300	7990000.00
2001/09/03	4.26	4.26	4.20	4.23	2237500	9453047.00
2001/09/04	4.23	4.27	4.20	4.27	9266300	39233136.00
2001/09/05	4.28	4.32	4.23	4.28	5498200	23458584.00
2001/09/06	4.29	4.30	4.21	4.23	3390100	14353329.00
2001/09/07	4.24	4.24	4.15	4.16	6545000	27275318.00
2001/09/10	4.13	4.30	4.10	4.22	3666900	15377987.00
2001/09/11	4.22	4.28	4.18	4.25	4709900	19878216.00
2001/09/12	4.18	4.29	4.11	4.24	9597700	40604808.00
2001/09/13	4.24	4.24	4.17	4.18	3084700	12914342.00
2001/09/14	4.18	4.18	4.08	4.10	11459900	47079180.00
2001/09/17	4.10	4.13	4.05	4.09	4585800	18743048.00
2001/09/18	4.08	4.12	4.05	4.07	3852600	15708226.00
2001/09/19	4.08	4.12	4.06	4.11	2822600	11517770.00
2001/09/20	4.11	4.18	4.09	4.13	4467500	18448396.00
2001/09/21	4.13	4.20	4.11	4.14	2791700	11616972.00
2001/09/24	4.15	4.18	4.12	4.12	1429000	5911450.00
2001/09/25	4.15	4.15	4.10	4.12	1166400	4806502.00
2001/09/26	4.12	4.13	4.09	4.09	2544200	10459749.00
2001/09/27	4.10	4.12	4.08	4.08	2361700	9667626.00
2001/09/28	4.08	4.11	4.08	4.10	2989500	12223370.00
2001/10/08	4.10	4.15	4.06	4.07	2190400	8936155.00
2001/10/09	4.07	4.10	4.06	4.09	1387100	5664963.00
2001/10/10	4.08	4.09	4.00	4.01	5543700	22342516.00
2001/10/11	4.00	4.02	3.91	3.92	4785900	18909240.00
2001/10/12	3.92	4.09	3.85	4.02	5487300	21635114.00
2001/10/15	4.02	4.02	3.94	3.98	1968000	7841734.00
2001/10/16	4.00	4.00	3.92	3.94	1953900	7716779.00
2001/10/17	3.94	3.95	3.86	3.90	2221200	8656757.00
2001/10/18	3.90	3.93	3.86	3.88	2440200	9480656.00
