600028 中国石化 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/08/08	4.60	4.70	4.31	4.36	677553200	3015767040.00
2001/08/09	4.34	4.35	4.23	4.27	156809700	671175296.00
2001/08/10	4.27	4.40	4.25	4.34	80839200	349732800.00
2001/08/13	4.33	4.36	4.27	4.30	38012700	163570912.00
2001/08/14	4.30	4.35	4.27	4.28	28286800	121521160.00
2001/08/15	4.27	4.30	4.26	4.27	19902600	85130728.00
2001/08/16	4.28	4.29	4.24	4.24	23650500	100679000.00
2001/08/17	4.25	4.34	4.24	4.31	30386800	129895760.00
2001/08/20	4.30	4.30	4.25	4.26	10645000	45411352.00
2001/08/21	4.27	4.28	4.24	4.24	21154800	89907744.00
2001/08/22	4.24	4.25	4.13	4.14	78141500	324714656.00
2001/08/23	4.12	4.13	4.02	4.11	35309400	143967616.00
2001/08/27	4.05	4.06	3.91	3.96	33867300	134824672.00
2001/08/28	3.93	4.01	3.91	4.00	26103800	103591256.00
2001/08/29	4.01	4.03	3.97	3.97	12700500	50647584.00
2001/08/30	3.97	4.04	3.94	4.03	14503100	57842672.00
2001/08/31	4.02	4.02	3.99	3.99	5425900	21702000.00
2001/09/03	3.99	3.99	3.92	3.93	11589700	45782128.00
2001/09/04	3.93	4.01	3.93	3.98	12026600	47732668.00
2001/09/05	4.00	4.01	3.96	3.98	8398400	33481830.00
2001/09/06	3.98	3.98	3.94	3.95	7806600	30859504.00
2001/09/07	3.95	3.95	3.85	3.85	24770400	96419712.00
2001/09/10	3.81	4.02	3.76	3.89	19470300	75948528.00
2001/09/11	3.90	3.99	3.86	3.96	15392500	60395192.00
2001/09/12	3.99	4.36	3.97	4.14	127953100	527594816.00
2001/09/13	4.13	4.13	3.97	3.99	30487300	122275344.00
2001/09/14	3.98	4.04	3.91	3.97	17368500	68711488.00
2001/09/17	3.97	3.97	3.89	3.90	15349300	60128328.00
2001/09/18	3.93	3.98	3.90	3.93	6411600	25127796.00
2001/09/19	3.94	3.96	3.90	3.95	5588300	21932510.00
2001/09/20	3.96	3.98	3.92	3.94	5577000	22017244.00
2001/09/21	3.94	3.96	3.89	3.92	7015300	27476060.00
2001/09/24	3.92	3.93	3.90	3.91	4078500	15947075.00
2001/09/25	3.92	3.95	3.89	3.92	7242700	28304494.00
2001/09/26	3.91	3.91	3.85	3.86	10379800	40155936.00
2001/09/27	3.86	3.88	3.84	3.86	6692000	25834220.00
2001/09/28	3.86	3.90	3.85	3.89	5709000	22098188.00
2001/10/08	3.90	3.96	3.85	3.86	5674000	22026946.00
2001/10/09	3.86	3.91	3.86	3.90	4509500	17493134.00
2001/10/10	3.90	3.90	3.80	3.81	11281600	43263248.00
2001/10/11	3.81	3.84	3.74	3.74	12217100	46029960.00
2001/10/12	3.74	3.90	3.64	3.84	18752700	70684992.00
2001/10/15	3.83	3.83	3.74	3.77	10330500	38959176.00
2001/10/16	3.77	3.79	3.66	3.69	12381100	45845364.00
2001/10/17	3.72	3.83	3.70	3.71	8465900	31687640.00
2001/10/18	3.72	3.76	3.68	3.70	6554900	24331216.00
2001/10/19	3.70	3.80	3.65	3.68	15643600	57841968.00
2001/10/22	3.65	3.68	3.58	3.60	12179800	44100184.00
2001/10/23	3.85	3.96	3.77	3.96	78028800	305348448.00
2001/10/24	4.00	4.05	3.85	3.90	53275300	209849056.00
2001/10/25	3.88	3.90	3.80	3.81	17896600	68701536.00
2001/10/26	3.80	3.84	3.69	3.82	18577200	69879640.00
2001/10/29	3.81	3.86	3.80	3.82	6928700	26531276.00
2001/10/30	3.83	3.84	3.76	3.77	8025600	30391956.00
2001/10/31	3.77	3.77	3.71	3.76	8823700	32865766.00
2001/11/01	3.78	3.82	3.76	3.80	7934000	30086854.00
2001/11/02	3.79	3.84	3.76	3.76	6417300	24338706.00
2001/11/05	3.74	3.78	3.72	3.77	6039700	22657234.00
2001/11/06	3.77	3.78	3.72	3.73	6748800	25239916.00
2001/11/07	3.73	3.74	3.64	3.65	13452500	49516896.00
2001/11/08	3.49	3.61	3.41	3.59	32251000	113993080.00
2001/11/09	3.58	3.61	3.53	3.59	8802100	31444190.00
2001/11/12	3.60	3.67	3.56	3.62	10180300	36901168.00
2001/11/13	3.60	3.67	3.55	3.65	6736000	24455178.00
2001/11/14	3.65	3.66	3.61	3.61	3249600	11788681.00
2001/11/15	3.60	3.64	3.59	3.63	6060000	21929852.00
2001/11/16	3.78	3.85	3.64	3.66	23614300	87835776.00
2001/11/19	3.64	3.70	3.62	3.68	6941500	25405136.00
2001/11/20	3.68	3.72	3.65	3.69	11371800	41963200.00
2001/11/21	3.70	3.71	3.67	3.68	5547700	20435940.00
2001/11/22	3.68	3.69	3.63	3.66	9922000	36278704.00
2001/11/23	3.67	3.77	3.67	3.69	14389200	53479992.00
2001/11/26	3.68	3.68	3.62	3.66	6332500	23115400.00
2001/11/27	3.66	3.67	3.63	3.66	5833600	21264256.00
2001/11/28	3.66	3.68	3.66	3.67	8792600	32244912.00
2001/11/29	3.67	3.67	3.63	3.65	11861100	43213988.00
2001/11/30	3.65	3.66	3.62	3.66	11900400	43289176.00
2001/12/03	3.65	3.70	3.64	3.69	18090400	66326472.00
2001/12/04	3.68	3.70	3.67	3.69	8385000	30873222.00
2001/12/05	3.68	3.73	3.65	3.68	21642600	80015176.00
2001/12/06	3.68	3.69	3.61	3.63	17443600	63515652.00
2001/12/07	3.62	3.64	3.61	3.62	14641300	53038172.00
2001/12/10	3.59	3.63	3.55	3.60	50828800	182197840.00
2001/12/11	3.60	3.62	3.56	3.58	16848300	60327624.00
2001/12/12	3.57	3.59	3.54	3.56	21710800	77225936.00
2001/12/13	3.56	3.57	3.50	3.51	26133100	92243712.00
2001/12/14	3.51	3.52	3.49	3.50	11907900	41722896.00
2001/12/17	3.50	3.53	3.47	3.48	14387900	50181336.00
2001/12/18	3.49	3.50	3.44	3.47	23722300	82108728.00
2001/12/19	3.47	3.49	3.47	3.47	10196700	35473500.00
