600029 南方航空 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/07/25	3.91	4.03	3.75	3.88	588100167	2285586176.00
2003/07/28	3.84	3.97	3.79	3.92	103590240	402268832.00
2003/07/29	3.91	3.97	3.89	3.92	50648940	198670896.00
2003/07/30	3.92	4.11	3.90	4.08	130837082	524793248.00
2003/07/31	4.05	4.11	4.03	4.05	76104439	309954464.00
2003/08/01	4.05	4.05	3.99	4.02	48447094	194422608.00
2003/08/04	3.99	4.08	3.96	4.03	40218038	162249168.00
2003/08/05	4.03	4.03	3.98	4.01	24909656	99593680.00
2003/08/06	4.00	4.01	3.98	3.98	17821526	71137672.00
2003/08/07	3.98	4.08	3.98	4.00	32313362	130295720.00
2003/08/08	4.00	4.01	3.90	3.92	53276340	209684640.00
2003/08/11	3.90	3.94	3.88	3.93	17734477	69240152.00
2003/08/12	3.93	3.99	3.91	3.96	22567066	89349976.00
2003/08/13	3.96	3.98	3.91	3.91	16331589	64327276.00
2003/08/14	3.91	3.96	3.87	3.89	23888816	93337248.00
2003/08/15	3.88	3.93	3.87	3.88	29884373	116385480.00
2003/08/18	3.88	3.97	3.87	3.93	39758566	156457152.00
2003/08/19	3.93	3.99	3.91	3.96	19575210	77464288.00
2003/08/20	3.95	3.97	3.92	3.95	15871140	62534232.00
2003/08/21	3.98	4.06	3.96	4.03	63059566	252678560.00
2003/08/22	4.03	4.06	4.00	4.02	21994287	88580160.00
2003/08/25	4.00	4.02	3.98	4.01	15149548	60554792.00
2003/08/26	4.00	4.03	3.97	3.98	26502434	105969768.00
2003/08/27	3.98	3.99	3.93	3.95	21165608	83749280.00
2003/08/28	3.95	3.96	3.93	3.94	9440552	37242064.00
2003/08/29	3.92	3.98	3.92	3.98	12547840	49687616.00
2003/09/01	3.98	4.15	3.95	4.09	52407634	213576448.00
2003/09/02	4.09	4.11	4.03	4.05	32329712	131527792.00
2003/09/03	4.06	4.08	3.99	4.03	15789109	63482704.00
2003/09/04	4.03	4.08	4.02	4.03	10158688	41048584.00
2003/09/05	4.03	4.04	3.95	3.99	19278623	76715416.00
2003/09/08	3.98	4.01	3.95	4.01	7311437	29074712.00
2003/09/09	4.00	4.00	3.90	3.92	56575667	222133040.00
2003/09/10	3.90	3.93	3.87	3.91	16031897	62390900.00
2003/09/11	3.90	3.93	3.89	3.91	7031731	27487166.00
2003/09/12	3.93	3.93	3.87	3.88	9754937	37877028.00
2003/09/15	3.87	3.91	3.87	3.88	5944988	23113852.00
2003/09/16	3.87	3.88	3.78	3.84	27176255	103803736.00
2003/09/17	3.84	3.85	3.75	3.78	20479569	77507696.00
2003/09/18	3.78	3.84	3.77	3.81	6974537	26550132.00
2003/09/19	3.80	3.84	3.80	3.83	4806501	18321764.00
2003/09/22	3.85	3.86	3.79	3.83	4290553	16393518.00
2003/09/23	3.83	3.88	3.79	3.87	4963487	19077428.00
