600030 中信证券 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/01/06	5.53	5.58	4.97	5.01	194288556	998892608.00
2003/01/07	4.96	5.05	4.82	4.85	58977717	290622432.00
2003/01/08	4.83	5.34	4.81	5.34	72064078	368411104.00
2003/01/09	5.65	5.87	5.61	5.87	110086868	636358016.00
2003/01/10	6.19	6.46	6.11	6.21	206393422	1300495488.00
2003/01/13	6.30	6.49	6.10	6.30	109178302	685740352.00
2003/01/14	6.27	6.90	6.18	6.54	149481283	977541632.00
2003/01/15	6.50	6.88	6.41	6.82	138174975	919559360.00
2003/01/16	6.82	6.98	6.65	6.81	65483154	444285056.00
2003/01/17	6.81	6.84	6.53	6.55	65358762	434861792.00
2003/01/20	6.48	6.99	6.43	6.82	69181845	468747488.00
2003/01/21	6.86	6.89	6.52	6.58	42863113	284742624.00
2003/01/22	6.57	6.65	6.44	6.49	32035252	209619840.00
2003/01/23	6.49	6.75	6.46	6.50	31538563	207919168.00
2003/01/24	6.50	7.14	6.49	6.97	92707075	637719040.00
2003/01/27	6.94	7.05	6.81	6.96	39473854	274235040.00
2003/01/28	6.97	7.09	6.88	7.04	25966421	181092736.00
2003/01/29	7.05	7.08	6.89	6.91	29621035	207060768.00
2003/02/10	6.90	6.90	6.73	6.76	21876077	148955168.00
2003/02/11	6.73	6.83	6.72	6.82	10495713	71109712.00
2003/02/12	6.80	6.99	6.73	6.97	20137979	138916464.00
2003/02/13	6.99	7.19	6.91	6.92	39872166	281763296.00
2003/02/14	6.90	7.02	6.85	6.94	15996400	110958112.00
2003/02/17	6.94	6.98	6.75	6.80	20410160	139692304.00
2003/02/18	6.81	6.94	6.77	6.87	11018398	75383480.00
2003/02/19	6.85	7.03	6.84	6.93	19591574	136072928.00
2003/02/20	6.95	7.03	6.85	6.87	13589081	94154320.00
2003/02/21	6.88	6.90	6.67	6.70	25195497	170253536.00
2003/02/24	6.70	6.79	6.69	6.69	10146333	68270224.00
2003/02/25	6.70	6.93	6.70	6.87	16671100	114282760.00
2003/02/26	6.89	6.98	6.83	6.87	13132247	90695872.00
2003/02/27	6.90	6.98	6.84	6.87	12605305	87028640.00
