600036 招商银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/04/09	10.51	10.88	10.51	10.66	414108800	4418821632.00
2002/04/10	10.66	10.70	10.39	10.60	67945400	716684288.00
2002/04/11	10.60	10.68	10.49	10.52	22788200	240963536.00
2002/04/12	10.50	10.64	10.48	10.57	21256400	224059904.00
2002/04/15	10.57	10.60	10.35	10.39	18531100	193306928.00
2002/04/16	10.35	10.39	10.14	10.16	24925400	254942368.00
2002/04/17	10.15	10.26	10.09	10.22	11459300	116550896.00
2002/04/18	10.20	10.20	10.10	10.12	8533200	86436776.00
2002/04/19	10.10	10.15	9.99	10.14	15722200	157784096.00
2002/04/22	10.10	10.10	9.99	10.01	6593800	66105564.00
2002/04/23	10.00	10.09	9.91	10.00	7376544	73759696.00
2002/04/24	10.00	10.00	9.70	9.77	17241356	169554784.00
2002/04/25	9.75	9.85	9.74	9.81	9960272	97420592.00
2002/04/26	9.82	9.89	9.80	9.84	8169213	80382992.00
2002/04/29	9.84	9.88	9.71	9.85	9036087	88537528.00
2002/04/30	9.89	10.15	9.80	10.02	18262505	182699168.00
2002/05/08	10.00	10.03	9.88	9.90	4228300	41990480.00
2002/05/09	9.89	10.08	9.88	9.94	4470394	44552492.00
2002/05/10	9.91	9.93	9.80	9.81	4638480	45667176.00
2002/05/13	9.80	9.80	9.58	9.62	12725497	122595408.00
2002/05/14	9.60	9.64	9.46	9.48	8239948	78665000.00
2002/05/15	9.46	9.55	9.28	9.29	9708385	91212160.00
2002/05/16	9.28	9.28	9.07	9.15	19517141	178313616.00
2002/05/17	9.18	9.30	9.05	9.25	10010112	91833344.00
2002/05/20	9.13	9.18	8.93	8.98	11297072	101667312.00
2002/05/21	9.18	9.25	9.03	9.18	12608352	115523920.00
2002/05/22	9.19	9.20	8.91	8.94	7338358	66043320.00
2002/05/23	8.95	9.13	8.94	8.98	7188925	64749340.00
2002/05/24	8.98	9.04	8.76	8.87	10526000	92941496.00
2002/05/27	8.89	8.95	8.78	8.91	5439444	48160844.00
2002/05/28	8.91	8.99	8.90	8.92	5607677	50176392.00
2002/05/29	8.92	8.94	8.62	8.67	7480150	65398180.00
2002/05/30	8.66	8.78	8.52	8.75	13179829	113645568.00
2002/05/31	8.73	8.86	8.66	8.70	4669199	40944136.00
2002/06/04	8.63	9.00	8.54	8.86	21315760	188202672.00
2002/06/05	9.22	9.22	8.72	8.74	9149476	80995384.00
2002/06/06	8.74	9.08	8.68	9.00	12530992	112008800.00
2002/06/07	9.01	9.06	8.90	8.98	11760656	105772504.00
2002/06/10	8.98	9.06	8.93	8.99	4910142	44206176.00
2002/06/11	8.99	9.01	8.92	8.94	2848153	25522714.00
2002/06/12	9.00	9.00	8.80	8.87	3036753	26911352.00
2002/06/13	8.87	8.87	8.75	8.76	2861462	25179530.00
2002/06/14	8.75	8.75	8.67	8.68	2939500	25580232.00
2002/06/17	8.65	8.66	8.58	8.66	3036700	26183428.00
2002/06/18	8.66	8.85	8.65	8.81	5317500	46624768.00
2002/06/19	8.81	8.82	8.65	8.68	2774500	24170100.00
2002/06/20	8.68	8.83	8.67	8.73	4108300	36035752.00
2002/06/21	8.75	9.09	8.72	8.97	14947300	133912680.00
2002/06/24	9.87	9.87	9.51	9.87	95065000	934303744.00
2002/06/25	9.99	10.85	9.81	10.45	149514900	1563269888.00
2002/06/26	10.35	10.60	10.15	10.23	41963600	436232320.00
2002/06/27	10.23	10.60	10.18	10.50	41442700	431029632.00
2002/06/28	10.51	11.55	10.51	11.55	156015300	1785124992.00
2002/07/01	11.70	11.84	11.40	11.58	90583600	1050421248.00
2002/07/02	11.55	11.56	11.18	11.44	37955200	431511872.00
