600048 保利地产 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/07/31	19.89	21.00	18.58	20.21	93617254	1846673408.00
2006/08/01	19.81	21.44	19.21	20.52	25865877	528773504.00
2006/08/02	20.30	21.90	20.20	21.37	21449920	456345120.00
2006/08/03	21.40	21.58	20.60	21.22	11632691	245761792.00
2006/08/04	21.10	22.12	20.76	21.63	14576344	314332896.00
2006/08/07	21.77	23.15	21.45	22.73	14323413	321071296.00
2006/08/08	22.78	23.40	22.33	22.95	9679870	220951072.00
2006/08/09	22.80	22.88	21.71	22.00	9328782	207184816.00
2006/08/10	21.88	22.30	21.58	22.28	8555872	187582272.00
2006/08/11	22.25	23.98	22.05	23.86	12181275	282284384.00
2006/08/14	24.08	24.47	23.34	23.79	11282717	269495616.00
2006/08/15	23.38	24.58	22.98	24.48	11575453	273770336.00
2006/08/16	24.50	24.68	23.90	24.10	7642225	185399648.00
2006/08/17	23.90	24.60	23.71	23.80	6462346	155574384.00
2006/08/18	23.80	24.09	23.50	23.61	4765777	113198272.00
2006/08/21	22.66	23.80	22.66	23.48	5687730	132309560.00
2006/08/22	23.45	24.05	23.31	23.54	3776118	89607216.00
2006/08/23	23.45	23.80	23.00	23.31	4716143	110003224.00
2006/08/24	23.31	24.31	23.22	24.25	6377857	153027200.00
2006/08/25	24.27	24.42	23.92	24.00	3786390	91328544.00
2006/08/28	24.10	26.40	23.91	26.40	9611396	245851920.00
2006/08/29	27.17	27.68	26.31	26.73	10993224	296459744.00
2006/08/30	26.50	29.40	26.31	28.92	10122071	284170112.00
2006/08/31	28.70	29.29	28.48	29.02	6868496	197908864.00
2006/09/01	28.95	30.99	28.83	29.03	8725988	260194240.00
2006/09/04	29.06	29.78	28.52	29.48	6911356	200658944.00
2006/09/05	29.30	30.38	28.60	28.73	6801913	198559696.00
2006/09/06	28.80	28.92	27.50	28.32	6910210	193934512.00
2006/09/07	28.28	28.78	28.00	28.59	3986985	113504040.00
2006/09/08	28.68	29.79	28.50	28.68	5120598	149630112.00
2006/09/11	28.90	29.19	27.70	28.72	4630661	131300048.00
2006/09/12	28.76	29.15	28.35	28.89	3626083	104334952.00
2006/09/13	28.98	29.13	27.92	28.01	3325057	94641760.00
2006/09/14	27.69	28.36	27.38	28.31	4887994	135815712.00
2006/09/15	28.18	28.69	27.83	28.41	3365652	95266408.00
2006/09/18	28.40	29.17	28.37	28.68	3189348	91568048.00
2006/09/19	28.66	28.67	28.05	28.09	3813322	107725480.00
2006/09/20	28.07	30.30	28.07	29.55	8643435	253955776.00
2006/09/22	29.82	30.10	29.04	29.54	4030055	118963688.00
2006/09/25	29.40	29.91	28.40	28.64	4053557	118034792.00
2006/09/26	28.50	28.65	26.98	27.44	6257932	172464208.00
2006/09/27	27.50	27.68	26.96	27.42	2123147	57882880.00
2006/09/28	27.38	28.45	27.13	27.81	4136554	115213416.00
2006/09/29	27.81	28.52	27.61	27.80	3136216	87822952.00
2006/10/09	27.92	28.18	27.25	27.86	5969175	164735904.00
2006/10/10	27.70	27.83	25.91	26.28	11108025	295139104.00
2006/10/11	26.01	26.37	25.70	26.20	5406733	140700976.00
2006/10/12	26.10	26.10	25.20	25.33	5404765	137874864.00
2006/10/13	25.20	25.88	25.10	25.66	2605932	66650288.00
2006/10/16	25.45	25.70	24.90	25.47	2825476	71311376.00
2006/10/17	25.36	26.45	25.26	25.87	3671618	95723136.00
2006/10/18	25.96	27.00	25.58	26.91	4796635	127023360.00
2006/10/19	26.90	26.99	26.35	26.45	3411349	90670824.00
2006/10/20	26.35	27.05	26.25	26.97	2962724	79394904.00
2006/10/23	26.96	26.98	26.25	26.34	2535240	67270576.00
2006/10/24	26.33	27.88	26.33	27.71	4734908	129492256.00
2006/10/25	27.66	28.12	27.35	27.50	2770996	76838088.00
2006/10/26	27.40	28.65	27.00	28.21	5889991	165433376.00
2006/10/27	28.23	29.01	27.90	28.20	3669167	104911648.00
2006/10/30	28.00	28.39	27.00	27.52	3252113	89935696.00
2006/10/31	26.98	28.10	26.90	27.18	6248897	171219072.00
2006/11/01	27.22	27.78	26.60	27.10	4555103	123238064.00
2006/11/02	26.98	27.12	26.53	26.96	3367056	89990584.00
2006/11/03	26.90	28.30	26.75	27.65	3646580	101442200.00
2006/11/06	27.22	27.98	27.22	27.70	2418366	66613456.00
2006/11/07	27.55	30.47	27.42	30.47	9339077	274434752.00
2006/11/08	30.38	30.86	29.51	30.58	5894600	177661664.00
2006/11/09	30.38	32.40	30.02	31.83	6219607	196788944.00
2006/11/10	31.60	32.00	30.60	30.90	4569295	143331904.00
2006/11/13	30.25	32.25	29.91	30.26	4694494	144962592.00
2006/11/14	30.26	31.37	29.85	31.12	3129544	96038616.00
2006/11/15	31.10	34.18	30.80	33.70	5374315	176971040.00
2006/11/16	33.68	35.00	33.15	33.33	5803524	198433472.00
2006/11/17	33.18	35.10	32.88	34.80	3426093	117206088.00
2006/11/20	34.75	36.28	34.18	35.00	4388144	154003904.00
2006/11/21	34.88	34.88	33.78	34.11	3989681	136555600.00
2006/11/22	34.11	34.97	33.41	34.61	3465019	118939072.00
2006/11/23	35.00	36.01	33.70	34.05	3566133	123669640.00
2006/11/24	34.05	34.61	33.25	33.63	3063819	103353224.00
