600050 中国联通 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/10/09	3.05	3.15	2.86	2.87	1304738321	3911240448.00
2002/10/10	2.83	2.89	2.79	2.83	202927101	576092992.00
2002/10/11	2.85	2.96	2.83	2.94	173135913	504271968.00
2002/10/14	2.96	3.02	2.94	3.01	178761083	534049632.00
2002/10/15	3.01	3.01	2.96	2.98	90834152	271086336.00
2002/10/16	2.99	3.05	2.98	2.99	111936407	337916512.00
2002/10/17	2.99	3.01	2.97	2.98	81004244	242238144.00
2002/10/18	2.98	3.03	2.97	3.01	60059481	180426816.00
2002/10/21	3.01	3.04	3.00	3.03	53577800	161786064.00
2002/10/22	3.04	3.07	3.03	3.05	92634896	282630432.00
2002/10/23	3.05	3.06	3.02	3.04	51837602	157496512.00
2002/10/24	3.05	3.05	3.02	3.04	43407924	131766824.00
2002/10/25	3.04	3.06	2.99	2.99	88674495	268069840.00
2002/10/28	2.98	3.00	2.93	2.94	96863324	286858208.00
2002/10/29	2.93	2.97	2.92	2.97	47253958	139364032.00
2002/10/30	2.97	2.97	2.95	2.96	42917829	127003032.00
2002/10/31	2.96	2.97	2.94	2.94	56153139	165986688.00
2002/11/01	2.94	2.99	2.93	2.96	46558034	137578816.00
2002/11/04	2.97	3.02	2.97	3.02	66981553	200595856.00
2002/11/05	3.02	3.09	3.02	3.07	179164985	547365376.00
2002/11/06	3.06	3.07	3.03	3.06	78191682	238204048.00
2002/11/07	3.06	3.08	3.04	3.05	104716347	320456032.00
2002/11/08	3.08	3.08	2.99	3.02	191440505	579721984.00
2002/11/11	3.03	3.03	2.99	3.00	58728797	176648224.00
2002/11/12	3.02	3.07	3.01	3.02	158733028	482846688.00
2002/11/13	3.02	3.02	2.96	3.01	88517586	264886352.00
2002/11/14	3.01	3.02	2.97	2.98	35543272	106258912.00
2002/11/15	2.97	3.02	2.97	2.99	61146580	183170944.00
2002/11/18	3.00	3.02	2.98	3.00	32454787	97110336.00
2002/11/19	3.00	3.00	2.98	3.00	31297952	93536080.00
2002/11/20	3.00	3.01	2.95	2.96	70282343	208812848.00
2002/11/21	2.95	2.96	2.90	2.91	66025732	192866816.00
2002/11/22	2.92	2.94	2.90	2.92	51161927	149501056.00
2002/11/25	2.92	2.94	2.90	2.91	29049891	84673064.00
2002/11/26	2.91	2.93	2.86	2.87	43376499	125699184.00
2002/11/27	2.86	2.92	2.85	2.91	49331960	142402368.00
2002/11/28	2.91	2.98	2.90	2.98	69704488	205363888.00
2002/11/29	2.98	3.01	2.95	2.97	131883015	393016128.00
2002/12/02	2.96	2.97	2.91	2.92	38110225	111869296.00
2002/12/03	2.92	2.95	2.91	2.93	20469369	60057608.00
2002/12/04	2.94	2.96	2.92	2.93	26128470	76830024.00
2002/12/05	2.93	2.94	2.90	2.92	26240991	76619104.00
2002/12/06	2.92	2.93	2.90	2.93	9515072	27740020.00
2002/12/09	2.92	2.93	2.89	2.90	19872043	57741700.00
2002/12/10	2.90	2.92	2.88	2.88	26011411	75435664.00
2002/12/11	2.88	2.90	2.87	2.89	32432870	93523512.00
2002/12/12	2.89	2.91	2.88	2.89	21076546	60937740.00
2002/12/13	2.87	2.91	2.86	2.90	17655690	50825068.00
2002/12/16	2.90	2.90	2.87	2.89	21275399	61380564.00
2002/12/17	2.89	2.91	2.88	2.89	26187607	75698176.00
2002/12/18	2.89	2.90	2.87	2.87	28919468	83318392.00
2002/12/19	2.87	2.88	2.84	2.86	29071800	83127168.00
2002/12/20	2.86	2.89	2.85	2.89	22588857	64850440.00
2002/12/24	2.89	2.90	2.86	2.88	26935347	77363312.00
2002/12/25	2.88	2.88	2.84	2.85	40899670	116699448.00
2002/12/26	2.85	2.85	2.79	2.80	58037108	163055104.00
2002/12/27	2.79	2.80	2.77	2.79	37370639	104085208.00
2002/12/30	2.79	2.79	2.71	2.73	42780245	117324976.00
2002/12/31	2.72	2.74	2.68	2.69	29311700	79446072.00
2003/01/02	2.68	2.69	2.63	2.64	36585366	97193256.00
2003/01/03	2.64	2.66	2.63	2.66	17660804	46715096.00
2003/01/06	2.66	2.67	2.62	2.66	20262089	53673908.00
2003/01/07	2.65	2.68	2.64	2.66	18887950	50222016.00
2003/01/08	2.65	2.87	2.64	2.82	83701629	233558752.00
2003/01/09	2.80	2.88	2.75	2.82	181109647	512344320.00
2003/01/10	2.82	2.86	2.78	2.78	84321116	237933360.00
2003/01/13	2.78	2.82	2.77	2.79	39387854	110098328.00
2003/01/14	2.79	3.07	2.78	3.07	196609153	589924736.00
2003/01/15	3.38	3.38	3.28	3.38	969183343	3265302016.00
2003/01/16	3.36	3.47	3.30	3.41	403742024	1366664832.00
2003/01/17	3.41	3.44	3.27	3.27	341648399	1135330688.00
2003/01/20	3.27	3.32	3.23	3.30	196918636	645440640.00
2003/01/21	3.30	3.30	3.16	3.16	184762404	591766080.00
2003/01/22	3.15	3.19	3.14	3.17	84701813	268823936.00
2003/01/23	3.16	3.25	3.16	3.18	112954635	362435616.00
2003/01/24	3.17	3.27	3.16	3.26	155203282	501776992.00
2003/01/27	3.26	3.29	3.23	3.24	73267347	238366416.00
2003/01/28	3.24	3.26	3.21	3.25	53988375	174476352.00
2003/01/29	3.24	3.28	3.22	3.23	59277851	192855568.00
2003/02/10	3.21	3.21	3.11	3.12	106756398	335174112.00
2003/02/11	3.10	3.16	3.10	3.16	37102320	116126000.00
2003/02/12	3.16	3.19	3.13	3.18	51984414	164608112.00
2003/02/13	3.19	3.21	3.14	3.14	62230288	197654384.00
2003/02/14	3.13	3.17	3.13	3.16	36196700	113983424.00
2003/02/17	3.16	3.16	3.09	3.10	58754012	182875504.00
2003/02/18	3.10	3.13	3.09	3.12	31568885	98224112.00
2003/02/19	3.12	3.16	3.10	3.15	51637285	161981680.00
2003/02/20	3.15	3.15	3.12	3.14	28506761	89415888.00
2003/02/21	3.13	3.14	3.08	3.09	59693832	184647200.00
2003/02/24	3.08	3.10	3.08	3.09	22554431	69699968.00
2003/02/25	3.09	3.16	3.08	3.15	65075400	204109440.00
2003/02/26	3.15	3.16	3.12	3.15	32258589	101249008.00
2003/02/27	3.15	3.17	3.13	3.14	40930472	128945320.00
2003/02/28	3.14	3.14	3.10	3.11	30879684	96256776.00
2003/03/03	3.11	3.12	3.08	3.11	50972488	158116416.00
2003/03/04	3.11	3.14	3.10	3.12	39101448	121915160.00
2003/03/05	3.12	3.12	3.08	3.10	33896885	104854608.00
