600104 上汽集团 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/11/25	13.50	14.18	12.80	12.90	126835800	1715134080.00
1997/11/26	13.00	13.25	12.68	12.98	26930600	349335008.00
1997/11/27	13.00	13.67	12.88	13.15	22259700	295525248.00
1997/11/28	13.20	14.40	13.15	14.35	47859100	668063872.00
1997/12/01	14.35	14.58	13.96	14.03	28441100	404628992.00
1997/12/02	13.98	14.12	13.48	13.60	18974900	260818272.00
1997/12/03	13.55	13.81	13.34	13.50	9943000	134598880.00
1997/12/04	13.55	13.89	13.45	13.59	7721400	105537776.00
1997/12/05	13.70	13.84	13.49	13.49	7766500	106072144.00
1997/12/08	13.58	13.68	13.35	13.40	6746100	90569480.00
1997/12/09	13.41	13.67	13.41	13.49	4093900	55459136.00
1997/12/10	13.60	13.85	13.50	13.75	5213200	71194304.00
1997/12/11	13.80	13.81	13.46	13.66	3613600	48990792.00
1997/12/12	13.65	13.87	13.56	13.57	5129500	70385536.00
1997/12/15	13.58	13.75	13.48	13.56	4868200	66085236.00
1997/12/16	13.60	14.08	13.60	13.83	7730900	107444920.00
1997/12/17	13.75	13.80	13.40	13.43	9394300	126815232.00
1997/12/18	13.40	13.58	13.35	13.45	5177500	69621608.00
1997/12/19	13.40	13.52	13.10	13.22	8988800	118944832.00
1997/12/22	13.10	13.42	12.88	13.41	8682900	112948136.00
1997/12/23	13.40	13.41	13.19	13.20	3471400	46110916.00
1997/12/24	13.20	13.37	13.15	13.20	3786500	50121744.00
1997/12/25	13.20	13.30	12.98	13.08	4824300	63163968.00
1997/12/26	13.28	13.53	13.07	13.31	6553200	87772720.00
1997/12/29	13.30	13.40	13.04	13.06	3994000	52776648.00
1997/12/30	13.06	13.22	12.96	13.02	3885200	50665672.00
1997/12/31	13.03	13.35	13.03	13.07	2592000	34083024.00
1998/01/05	13.25	13.69	13.10	13.60	7328700	98247008.00
1998/01/06	13.60	14.14	13.40	13.87	11318200	157054464.00
1998/01/07	13.98	14.02	13.68	13.68	6509400	89982872.00
1998/01/08	13.70	13.88	13.60	13.61	4547200	62431864.00
1998/01/09	13.60	14.30	13.50	14.01	14942700	209025568.00
1998/01/12	14.01	14.15	13.60	13.61	8078900	112598864.00
1998/01/13	13.49	13.57	12.25	13.10	13592400	177011296.00
1998/01/14	13.10	13.50	13.10	13.30	6074400	80903128.00
1998/01/15	14.50	14.55	13.71	14.10	27491300	387556896.00
1998/01/16	14.09	14.10	13.66	13.69	8600500	119063712.00
1998/01/19	13.85	14.00	13.30	13.50	3860600	52366408.00
1998/01/20	13.48	13.66	13.42	13.60	3442600	46553408.00
1998/01/21	13.59	13.84	13.52	13.63	2955100	40416196.00
1998/01/22	13.65	13.65	13.48	13.52	3381400	45792568.00
1998/01/23	13.50	13.61	13.49	13.58	3127300	42334724.00
1998/02/09	13.80	13.97	13.47	13.48	3698500	50501036.00
1998/02/10	13.58	13.58	13.26	13.36	2312100	30889782.00
1998/02/11	13.35	13.55	13.25	13.36	2524900	33726040.00
1998/02/12	13.39	13.60	13.23	13.53	3928100	52725868.00
1998/02/13	13.50	13.59	13.28	13.32	2731800	36545692.00
1998/02/16	13.48	13.50	13.00	13.12	4097200	53904784.00
1998/02/17	13.10	13.25	13.09	13.20	2218400	29205360.00
1998/02/18	13.30	13.30	12.93	13.04	4317100	56255812.00
1998/02/19	13.01	13.11	12.94	13.01	3430700	44577372.00
1998/02/20	13.08	13.31	13.06	13.10	2016500	26565024.00
1998/02/23	13.05	13.25	12.90	13.12	2803700	36386720.00
1998/02/24	13.15	13.30	13.05	13.05	1918200	25270048.00
1998/02/25	13.05	13.07	12.88	12.96	2027000	26287660.00
1998/02/26	12.95	13.04	12.80	12.95	1788600	23122980.00
1998/02/27	13.02	13.19	12.96	13.05	2230600	29140208.00
1998/03/02	12.95	13.01	12.81	12.83	2689800	34630220.00
1998/03/03	12.85	13.00	12.79	13.00	1509900	19400152.00
1998/03/04	12.90	13.38	12.86	13.23	3338600	44239880.00
1998/03/05	13.28	13.37	13.15	13.18	1636900	21699134.00
1998/03/06	13.20	13.68	13.19	13.34	2635100	35359212.00
1998/03/09	13.49	13.60	13.26	13.35	2271900	30522410.00
1998/03/10	13.31	13.48	13.30	13.40	2337800	31286942.00
1998/03/11	13.41	13.45	13.08	13.38	1900400	25198690.00
1998/03/12	13.28	13.28	13.10	13.15	1195300	15732584.00
