600111 北方稀土 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/09/24	7.38	8.00	7.02	7.97	43177000	318996832.00
1997/09/25	7.79	8.29	7.58	8.26	27061700	214516928.00
1997/09/26	8.28	8.37	7.95	8.25	18255900	149197120.00
1997/09/29	8.18	8.18	7.43	7.43	12995300	100832496.00
1997/09/30	7.42	7.88	7.37	7.68	8770100	67177096.00
1997/10/06	7.68	7.80	7.46	7.52	3902300	29625100.00
1997/10/07	7.48	7.80	7.43	7.79	3557600	27191524.00
1997/10/08	7.99	8.20	7.82	8.16	8757000	70561864.00
1997/10/09	8.15	8.25	7.83	7.91	5428800	43472048.00
1997/10/10	7.88	8.50	7.86	8.29	10560700	87705800.00
1997/10/13	8.35	8.48	8.20	8.36	6001900	50070460.00
1997/10/14	8.28	8.34	8.04	8.28	4962000	40438796.00
1997/10/15	8.36	8.38	8.13	8.14	3188300	26213632.00
1997/10/16	8.20	8.65	8.20	8.38	5839000	49123320.00
1997/10/17	8.40	8.87	8.31	8.66	9816900	84671344.00
1997/10/20	8.76	8.98	8.63	8.82	8047500	70815712.00
1997/10/21	8.90	8.92	8.60	8.85	6196000	54176560.00
1997/10/22	8.85	8.88	8.38	8.40	7725100	66147860.00
1997/10/23	8.40	8.67	8.32	8.47	5041600	42917572.00
1997/10/24	8.45	8.60	8.30	8.43	3423400	28751760.00
1997/10/27	8.45	9.27	8.30	9.27	7386200	65264272.00
1997/10/28	9.48	9.95	9.00	9.33	17096500	163330752.00
1997/10/29	9.20	9.68	9.08	9.58	8207900	77761392.00
1997/10/30	9.68	10.10	9.50	9.58	9159600	89635960.00
1997/10/31	9.38	9.58	9.10	9.40	4509400	42199520.00
1997/11/03	9.30	9.50	9.11	9.20	2427800	22476448.00
1997/11/04	9.16	9.50	9.16	9.46	2138400	19923028.00
1997/11/05	9.45	9.48	9.25	9.38	1900100	17745890.00
1997/11/06	9.42	9.55	9.05	9.15	2514200	23418396.00
1997/11/07	9.15	9.30	8.94	9.21	2351400	21452348.00
1997/11/10	9.22	9.71	9.10	9.26	3032500	28613948.00
1997/11/11	9.20	9.37	8.96	9.17	1895700	17306520.00
1997/11/12	9.20	9.46	9.00	9.24	2053900	18977596.00
