600309 万华化学 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/01/05	28.00	32.08	27.50	31.00	26431600	791353664.00
2001/01/08	30.72	32.50	30.03	30.90	5914500	184146880.00
2001/01/09	31.09	31.98	30.60	31.20	2327900	72867104.00
2001/01/10	31.13	31.58	31.00	31.10	1327800	41472552.00
2001/01/11	31.00	31.38	30.40	30.88	1830600	56469052.00
2001/01/12	30.79	31.04	29.80	30.00	1851100	56126408.00
2001/01/15	30.00	30.66	29.90	30.66	985100	29805818.00
2001/01/16	30.20	30.82	30.01	30.40	694300	21092712.00
2001/01/17	30.30	30.70	30.10	30.30	468200	14196954.00
2001/01/18	30.25	30.90	30.10	30.56	714900	21870504.00
2001/01/19	30.40	31.80	30.40	31.41	698100	21908548.00
2001/02/05	31.61	31.68	29.00	29.58	1391600	42002480.00
2001/02/06	29.40	29.81	28.91	29.28	1286200	37726388.00
2001/02/07	29.10	29.30	28.00	28.10	1123900	31908632.00
2001/02/08	28.10	28.91	28.02	28.50	524500	14925935.00
2001/02/09	28.35	29.79	28.30	29.65	638000	18602746.00
2001/02/12	29.65	30.00	29.00	30.00	262300	7776688.00
2001/02/13	30.00	30.38	29.21	29.95	524200	15753414.00
2001/02/14	30.00	30.23	29.66	29.90	247000	7396277.00
2001/02/15	29.70	30.38	29.40	29.55	218600	6498877.00
2001/02/16	29.70	30.13	29.03	29.98	158400	4702604.00
2001/02/19	29.99	30.05	29.71	29.76	169700	5085722.00
2001/02/20	29.40	29.99	29.40	29.60	228900	6827304.00
2001/02/21	29.45	29.45	29.00	29.05	175700	5133413.00
2001/02/22	29.01	29.83	29.00	29.50	184700	5450845.00
2001/02/23	29.30	29.98	29.30	29.95	111900	3338377.00
2001/02/26	30.10	30.30	29.70	30.20	207700	6245092.00
2001/02/27	30.38	30.60	30.00	30.39	286300	8703747.00
2001/02/28	30.40	30.56	30.26	30.40	206200	6284462.00
2001/03/01	30.31	31.00	30.31	30.99	316200	9726450.00
2001/03/02	31.30	31.40	31.00	31.01	587200	18324704.00
2001/03/05	30.85	31.66	30.85	31.56	366100	11513708.00
2001/03/06	31.70	32.55	31.51	32.52	861100	27620248.00
2001/03/07	32.52	35.25	32.50	34.40	1571700	53907316.00
2001/03/08	34.40	35.35	34.02	35.00	1069800	37314360.00
2001/03/09	35.00	35.60	34.66	35.29	619800	21815008.00
2001/03/12	35.50	38.82	35.20	38.05	1382800	51252576.00
2001/03/13	38.02	38.50	36.95	37.10	909400	34056120.00
2001/03/14	36.88	39.68	36.80	38.85	971900	37504416.00
2001/03/15	38.85	39.28	38.50	39.10	415900	16221588.00
2001/03/16	39.02	39.34	37.60	38.48	688500	26357500.00
2001/03/19	38.40	39.00	37.70	38.49	287700	11070155.00
2001/03/20	38.40	39.12	38.00	38.38	453000	17554054.00
2001/03/21	38.49	39.05	38.46	38.80	365500	14153373.00
2001/03/22	38.90	41.79	38.90	41.45	1169800	47199728.00
2001/03/23	41.45	42.16	40.28	40.92	1028400	42489412.00
2001/03/26	40.98	44.50	40.98	44.40	950400	41389128.00
2001/03/27	45.00	45.59	44.30	44.35	731500	32670900.00
2001/03/28	44.33	48.00	44.33	46.60	890100	40848196.00
2001/03/29	47.00	48.80	46.80	48.22	863200	41439012.00
2001/03/30	48.50	49.90	47.30	48.78	920000	44884252.00
2001/04/02	49.70	50.01	48.10	48.95	846600	41644516.00
2001/04/03	48.50	49.49	48.30	48.95	504000	24610746.00
2001/04/04	49.00	49.00	46.22	47.50	992600	47121924.00
2001/04/05	47.30	47.80	46.05	47.20	580700	27259784.00
2001/04/06	47.50	49.50	47.20	48.65	546600	26535900.00
2001/04/09	48.70	49.59	48.70	49.20	463600	22770266.00
2001/04/11	49.80	50.91	49.45	49.80	537500	26902252.00
2001/04/12	50.01	51.00	49.28	50.18	380100	19034396.00
2001/04/13	50.30	55.19	49.80	55.00	1233200	65092872.00
2001/04/16	55.38	58.18	55.30	58.10	1354900	77982352.00
2001/04/17	58.30	59.20	57.00	58.98	1091300	63304208.00
2001/04/18	59.20	63.15	58.61	62.70	1621400	99229968.00
2001/04/19	31.50	33.40	30.00	30.40	7265400	230361104.00
2001/04/20	30.00	30.05	27.82	28.20	5514600	158701952.00
2001/04/23	27.88	31.02	26.99	30.50	6085100	175907632.00
2001/04/24	30.40	30.88	29.62	29.90	3668700	111406240.00
2001/04/25	29.57	30.50	28.68	29.62	2151100	63449040.00
2001/04/26	29.65	30.80	29.08	30.25	2381400	72284056.00
2001/04/27	30.00	30.85	29.80	30.08	1245800	37719332.00
2001/04/30	30.10	30.40	29.00	29.03	1611300	47122324.00
2001/05/08	28.98	29.30	28.48	28.57	1225100	35146180.00
2001/05/09	28.55	28.86	27.50	27.91	1326300	37080724.00
2001/05/10	27.92	29.14	27.92	28.50	1014100	29005500.00
2001/05/11	28.60	29.25	28.60	28.91	687800	19915794.00
2001/05/14	28.57	29.10	28.30	28.45	1107200	31630320.00
2001/05/15	28.50	30.90	28.35	30.34	2229500	66220680.00
2001/05/16	30.64	32.86	30.35	32.20	5269000	168224000.00
2001/05/17	32.50	34.98	32.50	34.98	7463000	255538592.00
2001/05/18	35.40	35.80	33.58	34.88	4635800	160687200.00
2001/05/21	34.88	35.17	34.16	34.72	2160200	75183824.00
2001/05/22	34.72	34.87	33.30	33.38	2326100	78716832.00
2001/05/23	33.10	35.00	32.93	34.00	2996600	101823152.00
2001/05/24	34.20	34.63	33.55	34.00	1040000	35422740.00
2001/05/25	34.10	36.40	33.80	36.38	3953500	139445648.00
2001/05/28	36.80	39.38	36.00	38.96	5158300	196111184.00
2001/05/29	39.00	40.00	35.60	35.80	7750200	295051552.00
2001/05/30	35.00	36.47	33.10	35.70	4941900	172757840.00
2001/05/31	35.55	36.29	35.02	35.98	1636200	58435004.00
2001/06/01	36.00	36.10	34.40	34.90	2199600	76862496.00
2001/06/04	34.50	34.70	33.38	33.47	2631200	88904584.00
2001/06/05	33.50	34.68	33.50	33.80	1889800	64245620.00
2001/06/06	33.82	34.30	33.41	33.89	975000	32928624.00
2001/06/07	34.05	36.50	34.05	36.49	3544600	126517464.00
2001/06/08	36.50	37.59	34.50	35.05	3164800	112934704.00
2001/06/11	35.00	35.30	33.99	34.98	2000900	68750920.00
2001/06/12	34.88	35.00	33.85	34.48	2151500	73639944.00
2001/06/13	35.00	35.30	33.90	34.75	814000	27949080.00
2001/06/14	34.99	35.20	34.20	34.31	1130000	39317368.00
2001/06/15	34.15	34.80	33.83	34.40	587300	20075724.00
2001/06/18	34.20	34.30	32.01	32.20	2202200	72461600.00
2001/06/19	31.80	32.00	29.53	31.35	1744500	54273280.00
2001/06/20	31.00	31.30	30.08	30.75	1045400	32063088.00
2001/06/21	30.75	32.50	30.75	32.35	1130800	36232504.00
2001/06/22	32.10	32.80	31.20	31.60	923400	29271476.00
2001/06/25	31.19	31.40	30.80	31.05	750600	23296010.00
2001/06/26	31.05	32.25	31.05	31.72	787000	24944950.00
2001/06/27	31.80	32.10	31.21	31.40	618000	19505360.00
2001/06/28	31.45	31.94	31.21	31.59	354500	11192545.00
2001/06/29	31.59	31.90	31.55	31.69	316100	10025761.00
2001/07/02	31.80	32.10	31.60	32.00	399500	12760450.00
2001/07/03	31.98	32.15	31.50	31.90	843500	26865852.00
2001/07/04	31.88	31.99	31.57	31.80	248400	7888581.00
2001/07/05	31.81	31.99	31.00	31.55	451800	14122724.00
2001/07/06	31.55	31.75	31.20	31.70	371700	11708374.00
2001/07/09	31.70	31.75	30.80	31.01	427900	13303164.00
2001/07/10	31.02	31.25	30.35	31.10	474200	14585904.00
2001/07/11	31.15	31.15	30.55	30.92	238200	7306948.00
2001/07/12	30.89	30.89	30.20	30.60	327300	9950432.00
2001/07/13	30.90	31.00	30.26	30.39	324600	9864766.00
2001/07/16	30.31	30.33	28.55	29.69	1047800	30748750.00
2001/07/17	29.60	29.69	28.70	29.59	353400	10270533.00
2001/07/18	29.20	29.59	29.20	29.52	224500	6581348.00
2001/07/19	29.50	29.54	29.18	29.50	223400	6541634.00
2001/07/20	29.52	31.30	29.52	30.75	605200	18656724.00
2001/07/23	30.85	31.15	29.93	30.22	304900	9280454.00
2001/07/24	30.20	30.27	29.50	29.60	273800	8150802.00
2001/07/25	29.90	30.00	29.45	29.70	147600	4373057.00
2001/07/26	30.00	30.00	29.20	29.45	185300	5440050.00
2001/07/27	29.49	29.49	28.72	29.00	241100	6990728.00
2001/07/30	28.40	28.40	26.10	26.13	713100	19176728.00
2001/07/31	26.00	27.00	25.01	25.40	750800	19452072.00
2001/08/01	25.41	26.55	25.41	26.50	460500	12069326.00
2001/08/02	26.70	26.97	25.60	26.25	370800	9714229.00
2001/08/03	26.26	26.48	25.99	26.28	228900	5981140.00
2001/08/06	26.00	26.15	24.10	24.90	488300	12229754.00
2001/08/07	24.90	25.48	24.15	24.95	623700	15330536.00
2001/08/08	25.02	25.50	24.90	25.00	300000	7511330.00
2001/08/09	25.05	25.99	25.00	25.70	333000	8451685.00
2001/08/10	26.26	26.98	26.20	26.65	327200	8702984.00
2001/08/13	26.48	26.50	25.81	26.20	238200	6232598.00
2001/08/14	26.18	26.20	25.50	25.76	306700	7906362.00
2001/08/15	25.55	26.10	25.30	25.85	126000	3233144.00
2001/08/16	26.01	26.30	25.20	25.50	277600	7069000.00
2001/08/17	25.20	25.44	25.10	25.38	113500	2873877.00
2001/08/20	25.10	25.79	25.10	25.45	282800	7179236.00
2001/08/21	25.40	26.15	25.40	25.79	119800	3103187.00
2001/08/22	25.48	25.90	25.38	25.88	246300	6282671.00
2001/08/23	25.50	25.80	25.20	25.70	127800	3261447.00
2001/08/24	25.05	26.00	25.05	25.69	124000	3191674.00
2001/08/27	25.20	25.85	24.92	24.99	298800	7507759.00
2001/08/28	24.99	25.16	24.31	25.16	244400	6040316.00
2001/08/29	25.00	25.16	24.56	24.88	277700	6899016.00
2001/08/30	25.03	25.03	24.40	24.80	141300	3474183.00
2001/08/31	24.79	24.80	23.95	24.40	512500	12397000.00
2001/09/03	24.40	24.40	21.96	21.96	994300	22424130.00
2001/09/04	21.00	22.80	20.69	22.35	1196600	25779796.00
2001/09/05	22.40	22.70	22.09	22.50	568700	12718566.00
2001/09/06	22.48	22.48	21.48	21.60	414900	9025417.00
2001/09/07	21.01	21.39	19.44	19.44	1779400	35502892.00
2001/09/10	18.90	20.50	17.85	20.03	1432100	27792624.00
2001/09/11	20.08	21.90	20.08	21.62	1452200	30814280.00
2001/09/12	21.00	21.96	20.40	21.90	903500	19199988.00
2001/09/13	22.00	23.99	21.80	23.67	2015500	46749604.00
2001/09/14	23.58	24.98	23.40	23.75	2022500	48896816.00
2001/09/17	23.25	24.00	22.81	23.08	691300	16109665.00
2001/09/18	23.30	23.98	23.05	23.64	559100	13175993.00
2001/09/19	23.68	24.20	23.40	24.20	533600	12697172.00
2001/09/20	24.21	24.38	23.50	23.64	440400	10565279.00
2001/09/21	23.10	23.85	23.10	23.30	280800	6559971.00
2001/09/24	23.30	23.45	23.00	23.18	213300	4930535.00
2001/09/25	23.25	23.40	21.00	21.70	789900	17437348.00
2001/09/26	21.00	21.98	21.00	21.97	276400	5981034.00
