600340 华夏幸福 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/12/30	8.70	9.16	8.68	8.92	16666958	149550896.00
2003/12/31	8.80	9.15	8.63	8.96	7232059	64340016.00
2004/01/02	8.88	9.50	8.87	9.25	6532701	60108492.00
2004/01/05	9.41	9.87	9.40	9.64	7561144	72513616.00
2004/01/06	9.62	9.95	9.30	9.92	6917632	66536672.00
2004/01/07	9.85	10.02	9.58	9.74	4539922	44594348.00
2004/01/08	9.74	10.68	9.68	10.44	6679600	69340576.00
2004/01/09	10.46	10.66	9.97	9.99	4785300	49210868.00
2004/01/12	9.85	10.32	9.80	10.22	2885876	28819060.00
2004/01/13	10.24	10.33	10.00	10.08	2532381	25631064.00
2004/01/14	10.05	10.10	9.75	9.77	1969900	19438280.00
2004/01/15	9.71	9.88	9.61	9.64	2153619	20899972.00
2004/01/16	9.68	9.86	9.62	9.70	1476645	14399580.00
2004/01/29	9.78	9.99	9.75	9.90	1197276	11819687.00
2004/01/30	9.88	9.88	9.41	9.45	1877724	18057424.00
2004/02/02	9.45	9.80	9.18	9.68	2259088	21587158.00
2004/02/03	9.73	10.16	9.70	10.10	4449862	44646712.00
2004/02/04	10.14	10.30	10.01	10.15	3076160	31254716.00
2004/02/05	10.17	10.29	9.92	10.25	3003770	30382636.00
2004/02/06	10.35	10.65	10.20	10.21	5265853	54934936.00
2004/02/09	10.18	10.33	10.10	10.27	1955532	19988538.00
2004/02/10	10.27	10.34	10.05	10.11	1904124	19323344.00
2004/02/11	10.15	10.33	10.11	10.33	2177913	22313500.00
2004/02/12	10.35	10.50	10.17	10.23	1560192	16074809.00
2004/02/13	10.20	10.60	10.12	10.39	3342591	34744260.00
2004/02/16	10.46	10.78	10.41	10.74	3792809	40470872.00
2004/02/17	10.75	10.96	10.64	10.74	2886253	31129676.00
2004/02/18	10.77	10.82	10.58	10.74	2092096	22325772.00
2004/02/19	10.75	11.14	10.75	11.00	2904261	31904948.00
2004/02/20	11.15	11.18	10.83	10.97	1550625	16924388.00
2004/02/23	11.09	11.10	10.47	10.55	2127430	22938648.00
2004/02/24	10.50	10.55	10.11	10.34	2067362	21324856.00
2004/02/25	10.34	10.55	10.01	10.08	1477602	15237298.00
2004/02/26	10.08	10.25	10.00	10.20	1298524	13174940.00
2004/02/27	10.20	10.28	10.08	10.25	906112	9218603.00
2004/03/01	10.25	10.28	9.98	10.20	1022516	10308850.00
2004/03/02	10.18	10.45	10.03	10.31	1445304	14873413.00
2004/03/03	10.30	10.50	10.11	10.19	949342	9767722.00
2004/03/04	10.20	10.42	10.15	10.40	1087147	11203306.00
2004/03/05	10.44	10.44	10.23	10.25	744696	7689859.00
2004/03/08	10.25	10.29	9.88	9.93	1224935	12274849.00
2004/03/09	9.85	10.00	9.69	9.69	675689	6653839.00
2004/03/10	9.63	9.93	9.61	9.93	653139	6387739.00
2004/03/11	9.91	10.05	9.80	9.95	671356	6665535.00
2004/03/12	9.96	9.97	9.75	9.85	668014	6582125.00
2004/03/15	9.80	10.04	9.71	10.01	691228	6876480.00
2004/03/16	10.01	10.11	9.97	10.05	705943	7076138.00
2004/03/17	10.10	10.15	9.92	10.02	635968	6359819.00
2004/03/18	10.05	10.09	9.85	9.91	739324	7359537.00
2004/03/19	10.00	10.20	9.90	10.19	970422	9795956.00
2004/03/22	10.26	10.55	10.26	10.41	2243625	23372100.00
2004/03/23	10.30	10.34	10.17	10.26	1010830	10337985.00
2004/03/24	10.20	10.30	10.08	10.14	756440	7707157.00
2004/03/25	10.14	10.15	9.90	9.96	1021810	10184594.00
2004/03/26	9.96	10.00	9.83	9.99	868419	8602593.00
2004/03/29	9.90	10.12	9.89	9.91	491330	4903458.00
2004/03/30	9.90	10.05	9.90	10.03	449342	4488314.00
2004/03/31	10.10	10.23	10.05	10.18	740758	7517707.00
2004/04/01	10.18	10.25	10.15	10.20	617746	6301010.00
2004/04/02	10.18	10.30	10.15	10.25	941938	9647645.00
2004/04/05	10.26	10.55	10.25	10.54	2117149	22088710.00
2004/04/06	10.57	10.70	10.42	10.53	1470012	15508503.00
2004/04/07	10.58	10.74	10.53	10.56	2013582	21403370.00
2004/04/08	10.58	10.58	10.32	10.35	1044204	10862451.00
2004/04/09	10.40	10.40	10.10	10.13	1156489	11876217.00
2004/04/12	10.19	10.20	10.09	10.15	607489	6160158.00
2004/04/13	10.16	10.27	10.00	10.05	703569	7132170.00
2004/04/14	10.05	10.15	9.76	9.81	944253	9323972.00
2004/04/15	9.81	9.90	9.49	9.55	697250	6784281.00
2004/04/16	9.56	9.63	9.18	9.63	752751	7115300.00
2004/04/19	9.69	9.69	9.38	9.40	361038	3424504.00
2004/04/20	9.40	9.48	9.36	9.40	284300	2677728.00
2004/04/21	9.43	9.53	9.35	9.45	252150	2379945.00
2004/04/22	9.44	9.60	9.40	9.59	284360	2689357.00
2004/04/23	9.58	9.59	9.28	9.30	320400	3022500.00
2004/04/27	9.25	9.26	9.00	9.05	795200	7242102.00
2004/04/28	8.88	9.14	8.69	9.10	455557	4098901.00
2004/04/29	9.06	9.13	8.96	8.97	346600	3138155.00
2004/04/30	9.00	9.13	8.80	8.96	228850	2048696.00
2004/05/10	8.95	8.95	8.75	8.76	213126	1876617.00
2004/05/11	8.80	8.87	8.70	8.80	166185	1462385.00
2004/05/12	8.85	9.13	8.80	9.11	331777	2990881.00
2004/05/13	9.12	9.22	9.06	9.21	458284	4202523.00
2004/05/14	9.22	9.37	9.11	9.32	924085	8570930.00
2004/05/17	9.28	9.31	9.17	9.31	247034	2278553.00
2004/05/18	9.28	9.44	9.18	9.29	218892	2032270.00
2004/05/19	9.29	9.35	9.10	9.14	314700	2909316.00
2004/05/20	9.11	9.20	8.95	8.99	306068	2770725.00
2004/05/21	9.04	9.18	9.00	9.06	145911	1321344.00
2004/05/24	9.07	9.07	8.81	8.82	87700	778292.00
2004/05/25	8.75	8.86	8.69	8.70	200700	1757665.00
2004/05/26	8.69	8.79	8.32	8.41	420851	3573125.00
2004/05/27	8.44	8.72	8.16	8.61	442468	3736150.00
2004/05/28	8.69	8.69	8.50	8.53	230270	1974718.00
2004/05/31	8.50	8.60	8.45	8.53	184209	1563181.00
2004/06/01	8.63	9.07	8.50	8.91	839235	7442768.00
2004/06/02	8.94	9.29	8.90	9.22	1586810	14477609.00
2004/06/03	9.10	9.15	8.92	9.02	490313	4415081.00
2004/06/04	9.00	9.12	8.92	8.96	263200	2373371.00
2004/06/07	9.00	9.00	8.83	8.87	222200	1979897.00
2004/06/08	8.81	9.05	8.81	8.85	198400	1770716.00
2004/06/09	8.80	8.98	8.40	8.50	426520	3672131.00
2004/06/10	8.46	8.53	8.28	8.40	315801	2644814.00
2004/06/11	8.40	8.68	8.40	8.47	262394	2248077.00
2004/06/14	8.47	8.50	8.24	8.42	227839	1896368.00
2004/06/15	8.41	8.60	8.25	8.55	157510	1327362.00
2004/06/16	8.55	8.67	8.46	8.58	234369	2001882.00
2004/06/17	8.62	8.68	8.37	8.39	172250	1463304.00
2004/06/18	8.39	8.55	8.24	8.42	133909	1120557.00
2004/06/21	8.40	8.68	8.32	8.67	224357	1914438.00
2004/06/22	8.66	8.79	8.59	8.65	278401	2429401.00
2004/06/23	8.65	8.69	8.26	8.40	443100	3712702.00
2004/06/24	8.43	8.56	8.41	8.47	210150	1782487.00
2004/06/25	8.47	8.47	7.95	7.96	571774	4658609.00
2004/06/28	7.96	8.00	7.80	7.81	205754	1618544.00
2004/06/29	7.85	8.05	7.82	8.04	384834	3063537.00
2004/06/30	8.10	8.55	8.10	8.44	1388154	11628874.00
