600518 康美药业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/03/19	40.00	40.16	36.16	36.42	10221800	385950656.00
2001/03/20	36.02	36.43	35.49	36.24	1648300	59204176.00
2001/03/21	36.20	36.85	35.90	36.48	732200	26623908.00
2001/03/22	36.48	36.60	36.05	36.21	515400	18692512.00
2001/03/23	36.25	36.45	36.05	36.22	431800	15639863.00
2001/03/26	36.00	36.20	35.76	36.10	581500	20895452.00
2001/03/27	36.00	37.50	36.00	37.05	848200	31134404.00
2001/03/28	37.00	37.28	36.80	37.00	779800	28890768.00
2001/03/29	37.00	37.11	36.85	37.00	476500	17623404.00
2001/03/30	36.99	37.54	36.90	37.47	574300	21486436.00
2001/04/02	37.60	38.20	37.50	37.95	802100	30422752.00
2001/04/03	38.00	38.06	37.25	37.54	417000	15687686.00
2001/04/04	37.50	37.80	36.71	36.90	375400	14025260.00
2001/04/05	36.72	37.50	36.70	37.48	238500	8837481.00
2001/04/06	37.50	37.65	37.29	37.38	279100	10452250.00
2001/04/09	37.01	37.34	36.88	37.09	280300	10378870.00
2001/04/10	37.10	37.56	37.01	37.43	188400	7026582.00
2001/04/11	37.45	37.58	37.18	37.35	177700	6636462.00
2001/04/12	37.30	38.30	37.21	37.80	616400	23358868.00
2001/04/13	37.90	38.28	37.60	38.12	517000	19684310.00
2001/04/16	38.11	38.80	38.11	38.67	890200	34384480.00
2001/04/17	38.88	39.37	38.40	39.15	725800	28243156.00
2001/04/18	38.98	39.80	38.90	39.59	697800	27501924.00
2001/04/19	39.60	40.20	39.42	39.62	728400	28978818.00
2001/04/20	39.80	40.00	38.41	38.60	542200	21274356.00
2001/04/23	38.50	38.78	38.02	38.51	455600	17467172.00
2001/04/24	38.50	39.04	38.48	38.72	235900	9156075.00
2001/04/25	38.80	38.80	37.61	37.71	347800	13219274.00
2001/04/26	37.40	37.85	37.01	37.30	422500	15788888.00
2001/04/27	37.22	37.80	37.20	37.52	165100	6192971.00
2001/04/30	37.31	37.91	37.31	37.70	166300	6272986.00
2001/05/08	37.70	38.09	37.51	38.09	124700	4713137.00
2001/05/09	38.14	38.14	37.51	37.80	79000	2987124.00
2001/05/10	37.70	37.85	37.31	37.55	103000	3869196.00
2001/05/11	37.61	37.80	37.34	37.68	85500	3213448.00
2001/05/14	37.68	38.38	37.68	38.28	189800	7253899.00
2001/05/16	38.98	39.00	37.98	38.00	230600	8808281.00
2001/05/17	38.05	40.44	38.05	40.07	1614300	64080528.00
2001/05/18	40.07	41.60	39.32	40.50	1432900	58282304.00
2001/05/21	40.70	41.50	40.51	40.63	628400	25707398.00
2001/05/22	40.72	40.90	40.01	40.23	299800	12062402.00
2001/05/23	40.01	41.18	40.01	40.60	575600	23375908.00
2001/05/24	40.60	41.20	40.00	40.09	357100	14592731.00
2001/05/25	40.20	40.20	39.03	39.10	409800	16122967.00
2001/05/28	38.70	39.88	38.70	39.36	375700	14737518.00
2001/05/29	39.30	39.80	39.13	39.40	122300	4820164.00
2001/05/30	39.34	40.40	39.00	40.40	235600	9420664.00
2001/05/31	40.40	40.80	40.00	40.30	192900	7800744.00
2001/06/01	40.20	40.98	40.20	40.36	174100	7071466.00
2001/06/04	40.40	40.48	39.88	40.33	212100	8519771.00
2001/06/05	40.38	41.10	40.30	40.50	269400	10965418.00
2001/06/06	40.62	40.65	39.91	40.04	169900	6819125.00
2001/06/07	40.09	40.18	39.75	39.90	166400	6633378.00
2001/06/08	39.98	40.28	39.20	39.90	231700	9188994.00
2001/06/11	39.90	40.18	39.41	40.00	201100	8003840.00
2001/06/12	40.00	40.11	39.80	40.09	156500	6251485.00
2001/06/13	40.05	40.85	40.05	40.69	199500	8085358.00
2001/06/14	40.50	40.60	39.50	39.58	222600	8904288.00
2001/06/15	39.50	40.10	39.45	40.00	205700	8195114.00
2001/06/18	40.50	40.50	39.00	39.33	267900	10586262.00
2001/06/19	39.45	39.85	39.12	39.43	124400	4889887.00
2001/06/20	39.00	39.47	38.81	38.99	177100	6925866.00
2001/06/21	38.80	39.39	38.80	39.11	79700	3125184.00
2001/06/22	39.00	39.41	39.00	39.33	128700	5048626.00
2001/06/25	39.35	39.68	39.14	39.55	136300	5363890.00
2001/06/26	39.50	39.75	39.18	39.30	168600	6642834.00
2001/06/27	39.31	39.70	39.30	39.47	93600	3697068.00
2001/06/28	39.50	39.60	38.88	39.10	93400	3669261.00
2001/06/29	38.90	39.30	38.83	38.95	136800	5335518.00
2001/07/02	38.90	38.95	38.38	38.40	170900	6592912.00
2001/07/03	38.38	38.60	38.20	38.46	109800	4209857.00
2001/07/04	38.40	38.90	38.20	38.44	93500	3607155.00
2001/07/05	38.50	38.80	38.26	38.40	66000	2543162.00
2001/07/06	38.38	38.58	37.68	37.79	229500	8729144.00
2001/07/09	37.70	38.00	37.52	37.70	95500	3602104.00
