600519 贵州茅台 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/08/27	34.51	37.78	32.85	35.55	40631800	1410347136.00
2001/08/28	34.99	37.00	34.61	36.86	12964700	463463136.00
2001/08/29	36.98	37.00	36.10	36.38	5325200	194689616.00
2001/08/30	36.28	37.51	36.00	37.10	4801300	177558560.00
2001/08/31	37.15	37.62	36.80	37.01	2323100	86231000.00
2001/09/03	37.20	37.57	36.85	36.99	2211200	82129440.00
2001/09/04	37.01	38.08	36.88	37.46	3700600	139204384.00
2001/09/05	37.61	37.92	37.21	37.44	2606600	97796240.00
2001/09/06	37.35	37.47	36.51	36.70	2899700	107078400.00
2001/09/07	36.50	36.95	35.65	35.68	3155200	113868744.00
2001/09/10	35.40	36.85	35.01	36.70	1887800	68406472.00
2001/09/11	36.80	36.95	36.20	36.29	1139000	41579696.00
2001/09/12	35.33	36.20	35.30	35.98	2504500	89421376.00
2001/09/13	36.01	36.30	35.70	35.89	1098600	39512776.00
2001/09/14	36.01	36.50	35.80	36.30	767200	27740692.00
2001/09/17	36.08	36.29	35.50	35.84	898300	32183248.00
2001/09/18	35.88	36.55	35.85	36.25	1077300	39006064.00
2001/09/19	36.30	36.92	36.06	36.92	865000	31597368.00
2001/09/20	36.90	37.05	36.50	36.61	1117300	41189576.00
2001/09/21	36.28	36.60	36.00	36.06	787900	28638680.00
2001/09/24	36.06	36.39	36.00	36.05	406800	14703096.00
2001/09/25	36.28	36.54	36.05	36.23	348800	12639790.00
2001/09/26	36.11	36.48	36.00	36.08	495600	17892564.00
2001/09/27	36.08	36.98	36.00	36.70	877800	32085132.00
2001/09/28	36.90	37.20	36.50	37.09	1708800	63169144.00
2001/10/08	37.00	37.18	36.25	36.58	655200	24091148.00
2001/10/09	36.60	37.50	36.60	37.30	955800	35498604.00
2001/10/10	37.30	37.43	36.03	36.10	1754800	63956752.00
2001/10/11	36.01	36.50	35.65	35.75	1230600	44319896.00
2001/10/12	35.90	36.65	34.05	36.00	2001000	70897328.00
2001/10/15	35.90	36.00	34.90	35.30	975500	34501712.00
2001/10/16	35.13	35.80	34.75	34.80	831900	29068172.00
2001/10/17	34.79	34.81	33.90	34.20	1250700	42766284.00
2001/10/18	34.20	34.66	33.91	34.04	498300	16999064.00
2001/10/19	34.00	34.15	33.01	33.50	1568700	52422844.00
2001/10/22	33.30	33.70	32.70	32.79	976000	32268912.00
2001/10/23	36.00	36.07	35.01	36.07	4059800	145710544.00
2001/10/24	36.78	36.80	35.11	35.86	4068200	147001104.00
2001/10/25	35.70	35.80	34.86	34.88	1603600	56527284.00
2001/10/26	34.70	35.10	34.42	35.00	900200	31280144.00
2001/10/29	34.88	35.63	34.88	35.30	458700	16205054.00
2001/10/30	35.25	35.49	34.92	35.00	348400	12214728.00
2001/10/31	35.00	35.09	34.80	35.05	476200	16633345.00
2001/11/01	35.05	35.64	34.95	35.57	664300	23511580.00
2001/11/02	35.28	35.72	35.16	35.36	343500	12189356.00
2001/11/05	35.00	35.26	34.70	34.90	369000	12879737.00
2001/11/06	34.80	35.30	34.72	35.15	260900	9138666.00
2001/11/07	35.00	35.00	33.80	33.85	932500	31791132.00
2001/11/08	33.35	33.89	32.98	33.70	740200	24682904.00
