600547 山东黄金 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/08/28	10.20	10.98	10.08	10.71	36405075	385752448.00
2003/08/29	10.58	10.74	10.35	10.62	12969091	136727424.00
2003/09/01	10.70	11.68	10.66	11.68	18138534	202965504.00
2003/09/02	11.90	12.77	11.80	12.15	28847847	350362400.00
2003/09/03	12.09	12.30	11.95	12.20	11939049	144638048.00
2003/09/04	12.20	12.43	12.01	12.06	10404395	127225520.00
2003/09/05	12.08	12.30	11.71	11.78	10068151	121118096.00
2003/09/08	11.72	12.05	11.72	11.86	4393986	52295964.00
2003/09/09	11.86	11.92	11.45	11.63	5475832	63748256.00
2003/09/10	11.68	12.35	11.68	12.12	8939779	107942064.00
2003/09/11	12.10	12.25	12.00	12.11	2847748	34503392.00
2003/09/12	12.12	12.14	11.84	12.12	3205470	38338032.00
2003/09/15	12.03	12.15	11.75	11.94	3092317	36908016.00
2003/09/16	11.94	12.16	11.85	12.15	3225253	38711136.00
2003/09/17	12.15	12.17	11.64	11.72	4115564	48775904.00
2003/09/18	11.65	11.82	11.51	11.71	2315450	27005002.00
2003/09/19	11.61	11.73	11.30	11.44	4026264	46045196.00
2003/09/22	11.56	11.82	11.46	11.65	2089479	24402572.00
2003/09/23	11.71	11.96	11.67	11.94	2197650	26040988.00
2003/09/24	11.92	11.98	11.82	11.91	1275472	15181468.00
2003/09/25	11.88	11.88	11.66	11.70	1220691	14341609.00
2003/09/26	11.80	12.87	11.72	12.43	13696196	170730432.00
2003/09/29	12.40	12.57	12.14	12.19	5861269	72414104.00
2003/09/30	12.30	12.38	11.22	11.98	6925702	81749024.00
2003/10/08	11.79	12.24	11.60	12.05	2636213	31350492.00
2003/10/09	12.00	12.12	11.83	11.96	1336967	15996977.00
2003/10/10	11.85	12.65	11.71	12.37	4953916	60672116.00
2003/10/13	12.50	12.87	12.28	12.39	4381259	55010952.00
2003/10/14	12.39	12.57	12.24	12.42	2251288	27937634.00
2003/10/15	12.38	13.04	12.35	12.62	6205981	79342024.00
2003/10/16	12.60	13.05	12.60	12.83	5609818	71978448.00
2003/10/17	12.83	12.92	12.51	12.56	3809116	48267428.00
2003/10/20	12.56	12.75	12.41	12.74	1841396	23130836.00
2003/10/21	12.74	12.85	12.55	12.84	1713734	21805652.00
2003/10/22	12.92	14.00	12.90	13.57	9603886	129676528.00
2003/10/23	13.55	13.74	13.40	13.57	3862346	52476968.00
2003/10/24	13.58	13.90	13.08	13.19	5568865	75076120.00
2003/10/27	13.18	13.38	12.83	13.13	4338541	57019788.00
2003/10/28	13.06	13.37	12.87	13.35	2714166	35945692.00
2003/10/29	13.00	13.20	12.10	12.56	5795147	73070848.00
2003/10/30	12.55	12.68	12.25	12.33	1818691	22609608.00
2003/10/31	12.33	12.80	12.26	12.54	2201844	27763336.00
2003/11/03	12.66	13.26	12.66	13.03	3466847	45046052.00
2003/11/04	13.10	13.98	13.00	13.41	5749805	77584128.00
2003/11/05	13.35	13.55	13.13	13.26	2868935	38173560.00
2003/11/06	13.27	13.80	13.21	13.51	5109219	68995192.00
2003/11/07	13.00	13.56	12.90	13.04	3578175	47128056.00
2003/11/10	13.04	13.46	12.91	13.45	1963798	25999574.00
2003/11/11	13.50	13.75	13.26	13.53	2043999	27565144.00
2003/11/12	13.50	13.50	12.85	12.90	3317773	43391920.00
2003/11/13	12.85	13.11	12.80	13.03	1483601	19289136.00
2003/11/14	13.08	13.35	13.06	13.08	1299281	17112708.00
2003/11/17	13.11	13.41	13.11	13.20	1408423	18684812.00
2003/11/18	13.00	13.18	12.40	12.50	4494043	57126732.00
2003/11/19	12.49	12.84	12.41	12.75	2057292	26087192.00
2003/11/20	12.75	13.25	12.63	13.05	2722365	35151372.00
2003/11/21	13.20	13.20	12.65	12.72	2478843	32003166.00
2003/11/24	12.50	13.08	12.50	13.02	2218599	28486080.00
