600606 绿地控股 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1992/04/10	35.70	35.70	35.70	35.70	100	0.00
1992/05/07	37.50	37.50	37.50	37.50	100	0.00
1992/05/08	39.40	39.40	39.40	39.40	100	0.00
1992/05/11	41.40	41.40	41.40	41.40	100	0.00
1992/05/12	43.50	43.50	43.50	43.50	100	0.00
1992/05/13	45.70	45.70	45.70	45.70	100	0.00
1992/05/14	48.00	48.00	48.00	48.00	100	0.00
1992/05/15	50.40	50.40	50.40	50.40	100	0.00
1992/05/18	52.90	52.90	52.90	52.90	100	0.00
1992/05/19	55.50	55.50	55.50	55.50	100	0.00
1992/05/20	58.30	58.30	58.30	58.30	100	0.00
1992/05/21	227.00	310.00	227.00	250.00	163300	4330000.00
1992/05/22	255.00	267.50	207.50	253.00	220600	5579000.00
1992/05/25	260.50	275.00	230.00	260.00	243200	6205000.00
1992/05/26	265.00	270.00	229.00	239.00	159300	3951000.00
1992/05/27	232.50	240.00	215.00	215.00	109800	2321000.00
1992/05/28	200.00	220.00	190.00	216.50	98300	2007000.00
1992/05/29	210.00	240.00	210.00	222.00	161600	3636000.00
1992/06/01	210.75	217.50	185.00	210.00	130300	2694000.00
1992/06/02	200.00	215.00	197.50	200.00	153800	3110000.00
1992/06/03	195.00	199.00	173.00	180.00	120300	2207000.00
1992/06/04	182.50	208.00	175.00	193.10	146500	2799000.00
1992/06/05	205.00	209.00	185.00	188.50	235400	4617000.00
1992/06/08	185.00	204.00	177.55	188.50	143200	2686000.00
1992/06/09	182.50	200.25	182.00	195.00	170600	3295000.00
1992/06/10	200.00	222.25	200.00	211.00	420600	8879000.00
1992/06/11	206.50	216.50	198.75	206.50	268000	5607000.00
1992/06/12	200.00	211.50	197.50	207.00	225500	4626000.00
1992/06/15	210.00	213.75	203.00	206.25	271900	5665000.00
1992/06/16	208.00	211.50	202.00	205.90	230500	4747000.00
1992/06/17	203.00	209.00	201.50	204.90	243400	4996000.00
1992/06/18	205.00	206.90	201.50	205.00	152200	3116000.00
1992/06/19	203.00	206.50	202.50	205.50	149300	3060000.00
1992/06/22	206.00	208.40	204.75	206.90	151600	3126000.00
1992/06/23	205.00	206.90	202.75	204.50	118000	2420000.00
1992/06/24	204.25	205.65	200.00	203.95	89200	1819000.00
1992/06/25	203.55	205.98	200.00	203.90	57200	1164000.00
1992/06/26	203.95	205.50	203.25	204.00	73200	1494000.00
1992/06/29	205.00	209.00	200.00	206.90	125200	2576000.00
1992/06/30	206.50	217.50	205.02	215.40	247700	5236000.00
1992/07/01	219.00	229.95	217.00	220.00	299600	6608000.00
1992/07/02	222.00	225.00	210.00	219.00	238200	5212000.00
1992/07/03	221.00	222.00	215.00	221.00	233000	5111000.00
1992/07/06	219.50	220.50	203.75	207.28	91300	1906000.00
1992/07/07	205.00	206.00	194.25	197.50	165300	3299000.00
1992/07/08	178.00	195.00	159.50	188.50	297100	5595000.00
1992/07/09	183.00	188.75	180.50	185.00	218600	4022000.00
1992/07/10	185.50	185.50	160.90	184.00	237800	4267000.00
1992/07/13	187.50	188.00	181.50	184.90	140600	2601000.00
1992/07/14	186.00	186.00	181.00	183.25	73800	1352000.00
1992/07/15	182.50	184.50	178.10	180.75	96000	1737000.00
1992/07/16	182.00	183.50	178.00	180.00	92900	1674000.00
1992/07/17	179.30	184.50	178.45	178.45	108500	1953000.00
1992/07/20	176.50	180.50	173.90	175.00	80100	1413000.00
