600837 海通证券 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1994/02/24	15.80	16.00	14.00	15.20	9054300	134732992.00
1994/02/25	15.40	16.55	15.31	16.50	6134200	97386000.00
1994/02/28	16.30	17.10	14.98	15.90	5547500	90455000.00
1994/03/01	15.50	15.90	15.11	15.60	1996400	31059000.00
1994/03/02	15.38	15.55	14.98	15.00	863400	13212000.00
1994/03/03	15.00	15.98	14.79	15.65	1468500	22646000.00
1994/03/04	15.88	16.82	15.38	15.60	6738900	109829000.00
1994/03/07	15.78	16.20	15.68	16.17	487400	7770000.00
1994/03/08	16.25	16.50	15.50	15.78	1938400	30601000.00
1994/03/09	16.00	18.50	15.22	18.00	6723900	112962000.00
1994/03/10	18.46	19.40	15.70	16.02	10281300	187242000.00
1994/03/11	15.99	16.67	15.56	16.05	1947500	31381000.00
1994/03/14	17.10	17.50	16.50	16.55	2484500	41898000.00
1994/03/15	16.71	17.04	16.15	16.60	1624300	27104000.00
1994/03/16	16.30	17.78	16.28	17.50	2230600	38325000.00
1994/03/17	17.65	17.65	16.28	16.57	1395800	23499000.00
1994/03/18	16.38	16.49	16.00	16.15	959900	15540000.00
1994/03/21	16.00	16.10	15.50	15.52	404500	6389000.00
1994/03/22	15.40	15.80	15.31	15.65	301500	4703000.00
1994/03/23	15.70	15.70	15.41	15.45	390000	6054000.00
1994/03/24	15.50	15.70	15.15	15.30	443700	6868000.00
1994/03/25	15.25	15.80	15.00	15.35	625300	9531000.00
1994/03/28	15.00	15.10	14.41	15.00	507000	7472000.00
1994/03/29	15.30	16.22	15.10	15.90	2499200	39518000.00
1994/03/30	16.05	16.05	15.26	15.40	887000	13836000.00
1994/03/31	15.35	15.48	15.00	15.18	513000	7803000.00
1994/04/01	15.18	15.37	14.91	15.10	497800	7500000.00
1994/04/04	15.28	15.28	14.80	14.81	195300	2924000.00
1994/04/05	14.85	15.00	14.51	14.64	226100	3322000.00
1994/04/06	14.65	14.83	14.50	14.83	216900	3168000.00
1994/04/07	14.75	14.84	14.43	14.50	137500	2014000.00
1994/04/08	14.70	14.70	14.21	14.52	155700	2248000.00
1994/04/11	14.45	14.45	14.00	14.05	241700	3424000.00
1994/04/12	14.00	14.48	13.81	14.27	162100	2277000.00
1994/04/13	14.50	14.57	13.86	13.86	149900	2121000.00
1994/04/14	13.75	13.76	13.01	13.43	558100	7407000.00
1994/04/15	13.20	13.80	12.60	13.60	771200	10125000.00
1994/04/18	13.50	13.50	12.81	13.00	359200	4738000.00
1994/04/19	12.85	13.24	12.52	12.52	420600	5408000.00
1994/04/20	12.49	12.49	11.77	11.77	515100	6219000.00
1994/04/21	11.60	13.09	11.60	12.80	564800	7001000.00
1994/04/22	13.48	13.48	11.93	12.02	522100	6671000.00
1994/04/25	12.05	12.20	11.60	11.60	295100	3499000.00
1994/04/26	11.85	12.52	11.70	12.50	464400	5577000.00
1994/04/27	12.70	12.93	12.33	12.87	820200	10426000.00
1994/04/28	13.01	13.20	12.47	12.54	616300	7912000.00
1994/04/29	12.60	12.70	11.52	12.11	292600	3556000.00
1994/05/03	12.31	12.85	11.90	12.85	413500	5174000.00
1994/05/04	13.02	13.08	12.70	12.85	605700	7826000.00
1994/05/05	12.70	12.70	12.09	12.12	417700	5149000.00
1994/05/06	12.22	12.35	11.60	12.04	184900	2211000.00
1994/05/09	11.94	12.15	11.80	11.98	80200	956000.00
1994/05/10	12.10	12.39	11.95	12.39	149300	1811000.00
1994/05/11	12.55	12.56	12.00	12.00	341900	4240000.00
1994/05/12	12.00	12.80	12.00	12.15	631400	7882000.00
1994/05/13	12.30	12.50	12.02	12.40	308700	3796000.00
1994/05/16	12.65	12.86	12.48	12.61	608100	7715000.00
1994/05/17	12.75	12.80	12.41	12.58	154400	1941000.00
1994/05/18	12.60	13.10	12.41	12.75	543200	6910000.00
1994/05/19	12.70	12.83	12.58	12.80	252800	3215000.00
1994/05/20	12.85	13.16	12.75	13.16	1069200	13895000.00
1994/05/23	13.35	13.70	13.05	13.22	1769500	23672000.00
1994/05/24	13.20	13.35	13.09	13.24	453700	6008000.00
1994/05/25	13.30	13.36	13.03	13.26	266600	3510000.00
1994/05/26	13.08	13.24	12.37	12.37	294000	3749000.00
1994/05/27	12.40	12.47	12.10	12.10	301400	3695000.00
1994/05/30	12.00	12.05	11.60	11.60	186900	2203000.00
1994/05/31	11.50	11.98	11.39	11.89	163900	1921000.00
1994/06/01	11.80	11.98	11.60	11.60	143900	1691000.00
1994/06/02	11.59	11.80	11.59	11.65	53200	620000.00
1994/06/03	11.70	12.00	11.70	11.76	159500	1894000.00
1994/06/06	12.00	12.00	11.68	11.70	56300	661000.00
1994/06/07	11.60	11.78	11.52	11.68	81200	943000.00
1994/06/08	11.65	12.22	11.53	12.03	234500	2812000.00
1994/06/09	11.98	12.28	11.66	11.70	120000	1439000.00
1994/06/10	11.70	11.79	11.55	11.60	79700	928000.00
1994/06/13	11.40	11.54	11.15	11.24	78700	894000.00
1994/06/14	11.20	11.28	11.05	11.15	60500	676000.00
1994/06/15	11.10	11.20	11.01	11.05	39000	433000.00
1994/06/16	11.10	11.50	11.10	11.35	51100	573000.00
1994/06/17	11.55	11.88	11.20	11.82	154700	1791000.00
1994/06/20	11.43	11.82	11.16	11.28	139000	1605000.00
1994/06/21	11.11	11.30	11.11	11.30	77700	873000.00
1994/06/22	11.40	11.51	11.30	11.51	58500	668000.00
1994/06/23	11.51	11.85	11.49	11.70	261800	3065000.00
1994/06/24	11.80	12.15	11.50	11.55	738100	8809000.00
1994/06/27	11.40	11.40	10.85	10.85	189500	2082000.00
1994/06/28	10.75	10.90	10.40	10.50	165800	1753000.00
1994/06/29	10.52	10.65	10.45	10.46	72800	768000.00
1994/06/30	10.30	10.40	10.00	10.35	120100	1217000.00
1994/07/01	10.36	10.36	9.85	9.85	153600	1547000.00
