600919 江苏银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/08/02	7.52	9.03	7.52	9.03	10669472	95460008.00
2016/08/03	9.93	9.93	9.93	9.93	8027031	79708416.00
2016/08/04	10.92	10.92	10.92	10.92	5476072	59798708.00
2016/08/05	12.01	12.01	11.20	12.01	546961362	6432868864.00
2016/08/08	11.80	11.80	11.28	11.46	406454799	4670736896.00
2016/08/09	11.44	12.49	11.38	12.19	472799682	5584560128.00
2016/08/10	12.00	13.17	11.87	12.68	438180635	5435933696.00
2016/08/11	12.50	13.26	12.32	12.39	363428329	4626589696.00
2016/08/12	12.39	13.60	12.25	13.53	404534776	5222662144.00
2016/08/15	13.50	14.84	13.35	14.36	454638698	6350872576.00
2016/08/16	14.15	14.34	14.00	14.26	311120762	4400520192.00
2016/08/17	14.18	14.18	13.40	13.71	304565054	4193537536.00
2016/08/18	13.60	13.92	13.52	13.66	207118102	2833380096.00
2016/08/19	13.68	13.72	13.16	13.24	203124248	2705956096.00
2016/08/22	13.16	13.22	12.81	13.03	160268687	2085723904.00
2016/08/23	12.93	13.20	12.87	13.14	155211341	2023571712.00
2016/08/24	13.08	13.19	12.65	12.68	172279510	2219005952.00
2016/08/25	12.47	12.48	12.18	12.37	142575046	1759943808.00
2016/08/26	12.38	12.42	12.10	12.12	117462894	1441192704.00
2016/08/29	12.08	12.27	12.03	12.18	74814949	909968192.00
2016/08/30	12.23	12.32	12.07	12.20	82642452	1007218688.00
2016/08/31	12.23	12.65	12.09	12.38	182303698	2258230784.00
2016/09/01	12.30	12.33	11.99	12.01	121815942	1479903488.00
2016/09/02	11.90	11.98	11.74	11.81	94385429	1119917952.00
2016/09/05	11.85	11.87	11.54	11.59	85299604	998122816.00
2016/09/06	11.56	11.80	11.55	11.74	78703552	919672896.00
2016/09/07	11.70	11.80	11.62	11.64	71630418	836543040.00
2016/09/08	11.63	11.71	11.57	11.65	53348389	620784576.00
2016/09/09	11.64	11.65	11.40	11.42	71755957	826884608.00
2016/09/12	11.21	11.21	10.89	10.91	95564948	1056022784.00
2016/09/13	10.99	11.19	10.92	11.05	73547558	813755008.00
2016/09/14	10.97	11.00	10.84	10.89	45410696	496161728.00
2016/09/19	10.89	11.08	10.89	11.00	41785604	459940448.00
2016/09/20	10.98	11.15	10.91	11.01	48991566	540216192.00
2016/09/21	10.98	11.00	10.92	10.96	37005142	405393312.00
2016/09/22	11.01	11.05	10.91	10.93	49921035	548007360.00
2016/09/23	10.94	10.95	10.65	10.66	67581311	728752064.00
2016/09/26	10.60	10.61	10.11	10.13	89184045	921770880.00
2016/09/27	10.07	10.20	10.02	10.18	52628406	531108032.00
2016/09/28	10.14	10.15	10.01	10.04	39769025	400129888.00
2016/09/29	10.07	10.13	10.03	10.05	36372408	366748736.00
2016/09/30	10.01	10.04	9.96	10.00	36491161	364655264.00
2016/10/10	10.03	10.19	9.98	10.17	54551111	550969216.00
2016/10/11	10.18	10.26	10.14	10.19	47824623	487355776.00
2016/10/12	10.17	10.20	10.09	10.13	37183583	376967488.00
2016/10/13	10.15	10.17	10.06	10.07	37858756	382248352.00
2016/10/14	10.07	10.22	10.04	10.20	67057142	680865536.00
2016/10/17	10.20	10.20	10.00	10.02	52320604	527692576.00
2016/10/18	10.00	10.18	9.98	10.17	60073825	606177792.00
