600958 东方证券 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/03/23	12.04	14.44	12.04	14.44	239605	3456296.25
2015/03/24	15.88	15.88	15.88	15.88	158906	2523427.25
2015/03/25	17.47	17.47	17.47	17.47	117167	2046907.50
2015/03/26	19.22	19.22	19.22	19.22	585800	11259076.00
2015/03/27	21.14	21.14	21.14	21.14	33632586	710992896.00
2015/03/30	21.09	22.98	20.33	22.17	461367092	9839962112.00
2015/03/31	22.17	23.63	22.17	22.65	336978282	7689205248.00
2015/04/01	22.70	23.47	22.40	23.35	198219954	4553018880.00
2015/04/02	23.45	25.01	23.01	24.96	217007344	5175281152.00
2015/04/03	25.03	27.46	24.53	27.46	236521050	6263204864.00
2015/04/07	28.79	30.21	27.60	30.21	217606519	6298695168.00
2015/04/08	30.30	33.23	30.21	33.23	220480363	7055832576.00
2015/04/09	34.50	36.55	31.90	32.84	282434828	9816445952.00
2015/04/10	32.70	32.86	31.11	32.55	241831676	7735108608.00
2015/04/13	32.30	32.45	30.88	31.77	164624912	5189817344.00
2015/04/14	31.21	31.63	30.31	31.32	164496631	5104906752.00
2015/04/15	30.97	31.70	29.97	30.01	126747599	3922020864.00
2015/04/16	29.35	30.60	28.95	30.26	107908959	3206386688.00
2015/04/17	30.98	33.15	30.97	31.55	188748591	6009433600.00
2015/04/20	31.60	31.60	29.68	29.83	133884197	4103339520.00
2015/04/21	29.76	32.81	29.40	32.71	225239168	7193533952.00
2015/04/22	32.60	34.56	31.80	33.86	214457261	7043258368.00
2015/04/23	33.47	34.38	32.55	32.84	162690357	5416232960.00
2015/04/24	31.80	32.48	31.00	31.52	102368213	3249565184.00
2015/04/27	32.52	33.33	31.85	32.24	114078418	3698016000.00
2015/04/28	32.54	33.47	32.14	32.96	159168710	5244000256.00
2015/04/29	32.45	32.96	31.73	32.58	98677338	3194639872.00
2015/04/30	32.62	33.80	32.35	32.47	104307549	3436266240.00
2015/05/04	32.30	32.31	31.50	32.02	71648302	2282226688.00
2015/05/05	32.00	32.90	30.44	30.72	94351688	2997582592.00
2015/05/06	30.72	31.63	29.80	30.21	85871142	2640956672.00
2015/05/07	29.80	30.61	29.58	30.26	64280479	1945233408.00
2015/05/08	30.85	31.04	29.41	30.16	87578832	2624214016.00
2015/05/11	30.14	31.49	29.80	31.46	102745385	3144549888.00
2015/05/12	31.45	32.89	30.75	31.79	128876785	4111222016.00
2015/05/13	31.31	31.98	30.80	30.93	75386620	2353707520.00
2015/05/14	31.18	31.52	30.22	30.68	63250700	1950644224.00
2015/05/15	30.25	30.43	29.57	29.73	65725705	1966924672.00
2015/05/18	29.30	31.40	29.07	30.28	81385822	2456440320.00
2015/05/19	30.50	33.31	30.33	33.31	224982061	7305580032.00
2015/05/20	34.30	35.41	32.81	34.10	215409725	7280045056.00
2015/05/21	34.00	36.88	33.66	35.78	166970656	5925664256.00
2015/05/22	36.28	39.36	35.51	39.36	215942192	8226238464.00
2015/05/25	40.00	43.30	39.36	40.36	255426627	10646008832.00
2015/05/26	39.80	41.85	38.39	40.96	179829537	7158517760.00
2015/05/27	40.75	41.18	39.60	39.93	121010251	4883979776.00
2015/05/28	39.70	41.38	35.99	36.19	174144483	6803646976.00
2015/05/29	36.45	37.69	34.68	36.17	141978397	5173902336.00
2015/06/01	35.76	39.70	35.59	38.95	133416444	5005418496.00
2015/06/02	38.95	39.19	37.58	38.59	99195848	3812100352.00
2015/06/03	38.65	38.98	37.36	37.53	82329359	3134693888.00
2015/06/04	37.18	38.97	35.10	38.42	104181067	3899437056.00
2015/06/05	40.00	40.96	38.20	38.98	127895592	5049216512.00
2015/06/08	39.50	41.20	38.23	40.97	147481137	5881497600.00
2015/06/09	40.95	41.03	38.53	39.09	108870709	4315725824.00
2015/06/10	38.40	39.05	37.85	38.30	73295794	2822493952.00
2015/06/11	38.00	38.40	37.30	37.83	66432540	2506926592.00
2015/06/12	37.95	39.85	37.95	39.22	113964136	4453708800.00
2015/06/15	40.10	40.58	38.45	39.13	94134811	3699290112.00
2015/06/16	38.57	39.70	36.90	37.50	77168853	2969017600.00
2015/06/17	37.19	37.65	35.79	37.31	66663001	2444375808.00
2015/06/18	36.88	37.15	34.00	34.35	61733632	2220241408.00
2015/06/19	33.50	35.29	32.75	32.79	66399678	2267800576.00
2015/06/23	32.51	33.99	30.01	33.61	74752976	2436780544.00
2015/06/24	33.45	33.59	32.28	33.40	73686524	2436676864.00
2015/06/25	33.43	34.00	31.63	32.12	71045333	2361610496.00
2015/06/26	31.00	32.41	28.77	28.77	80296464	2429757696.00
2015/06/29	29.87	29.94	25.89	26.21	101971732	2824547328.00
2015/06/30	26.20	28.65	24.23	28.62	98935481	2654663936.00
2015/07/01	28.05	29.22	26.00	26.21	80261375	2260632320.00
2015/07/02	27.20	27.95	24.25	25.92	83205349	2200872448.00
2015/07/03	25.41	26.75	23.51	24.30	67408013	1694862336.00
2015/07/06	26.73	26.73	24.80	26.22	145106995	3763350272.00
2015/07/07	25.30	26.58	23.60	25.67	119068851	2998560512.00
2015/07/08	23.10	24.45	23.10	23.18	132672102	3096405504.00
2015/07/09	23.18	25.50	21.15	25.50	100680992	2445928704.00
2015/07/10	25.40	28.05	24.98	28.05	117667357	3236904448.00
2015/07/13	27.40	29.71	26.95	28.32	124531611	3514284288.00
2015/07/14	27.98	28.29	26.50	26.82	87819645	2404373504.00
2015/07/15	26.12	27.28	24.20	24.86	74652122	1907168256.00
2015/07/16	24.86	25.88	24.01	25.33	50793846	1276897152.00
2015/07/17	25.60	27.15	25.33	26.65	50626094	1324528512.00
2015/07/20	26.40	26.87	25.63	25.94	55067449	1440051840.00
2015/07/21	25.40	26.79	25.06	25.98	58369105	1516173824.00
2015/07/22	25.69	26.16	25.14	25.49	41259915	1057518912.00
2015/07/23	25.51	26.70	25.51	26.61	62219192	1635624832.00
2015/07/24	26.76	27.20	25.71	25.82	67301836	1792346240.00
2015/07/27	25.00	25.34	23.24	23.24	56839874	1390375296.00
2015/07/28	22.41	25.56	20.98	25.38	128226703	3064151040.00
2015/07/29	25.11	25.27	24.26	25.09	67591165	1669051008.00
2015/07/30	24.80	25.48	23.50	23.69	40778567	1002755328.00
2015/07/31	23.25	24.14	23.21	23.98	34468463	818424896.00
2015/08/03	23.18	24.19	23.18	24.17	31139023	740554752.00
2015/08/04	24.18	24.80	23.72	24.60	34112018	831361408.00
2015/08/05	24.41	24.58	23.70	23.80	25342208	611547648.00
2015/08/06	23.12	23.62	22.97	23.00	20413374	474232512.00
2015/08/07	23.20	23.70	23.10	23.37	23122531	541498240.00
2015/08/10	23.48	25.33	23.18	24.80	62625050	1526161408.00
2015/08/11	24.48	24.96	24.26	24.36	41306345	1015353600.00
2015/08/12	23.97	24.98	23.87	24.24	34265713	836792256.00
2015/08/13	24.18	24.56	23.68	24.39	29595187	714700288.00
2015/08/14	24.50	24.99	24.39	24.74	42980338	1061136896.00
2015/08/17	24.70	24.70	23.80	24.19	29937800	722711040.00
2015/08/18	24.30	25.29	22.00	22.09	58733620	1416611456.00
2015/08/19	21.50	22.49	21.00	22.29	37445234	817147776.00
2015/08/20	22.17	22.18	21.25	21.30	24319988	528521024.00
2015/08/21	21.00	21.50	19.80	19.90	28912683	594587584.00
2015/08/24	19.11	19.13	17.91	17.91	35756191	649164800.00
2015/08/25	16.38	17.10	16.12	16.12	32735334	537909248.00
2015/08/26	16.41	17.00	14.88	15.59	46323831	751509888.00
2015/08/27	16.10	16.84	15.55	16.75	36437383	587719168.00
2015/08/28	17.01	17.80	16.52	17.76	48181842	821152000.00
2015/08/31	17.50	17.50	16.40	16.61	36988693	623587136.00
2015/09/01	16.43	17.26	15.39	16.22	36993024	606142656.00
2015/09/02	15.40	16.51	15.17	15.39	33062475	522101248.00
2015/09/07	15.78	16.29	15.51	15.80	25761471	412280800.00
2015/09/08	15.59	16.57	15.36	16.54	26168488	419312192.00
2015/09/09	16.70	17.98	16.51	17.38	51832142	889288192.00
2015/09/10	16.90	17.12	16.60	16.80	29779351	502704832.00
2015/09/11	16.78	17.05	16.55	16.79	19152430	321814176.00
2015/09/14	16.68	16.77	15.12	16.40	53216069	850893440.00
2015/09/15	15.71	16.16	14.92	15.57	22200688	345620992.00
2015/09/16	15.50	17.04	15.50	16.87	26882355	435996960.00
2015/09/17	16.54	16.96	16.02	16.08	24078852	399473824.00
2015/09/18	16.25	16.39	15.96	16.09	14219382	229535952.00
2015/09/21	16.05	16.48	15.81	16.42	15765203	255091216.00
2015/09/22	16.55	17.80	16.46	17.05	41402444	712811072.00
2015/09/23	16.38	16.84	16.26	16.34	21901489	362182656.00
2015/09/24	16.42	16.74	16.32	16.57	15319344	253133600.00
2015/09/25	16.51	16.68	15.83	16.12	15751601	255066000.00
2015/09/28	16.08	16.46	15.75	16.45	11435452	184501856.00
2015/09/29	16.10	16.80	15.85	16.28	15558837	253280880.00
