601006 大秦铁路 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/08/01	6.39	6.39	5.49	5.52	614436357	3525562368.00
2006/08/02	5.54	5.82	5.52	5.73	232650438	1320554624.00
2006/08/03	5.69	5.84	5.66	5.71	100498125	576989760.00
2006/08/04	5.73	5.79	5.64	5.66	79173885	451126592.00
2006/08/07	5.64	5.96	5.59	5.88	126376467	729556800.00
2006/08/08	5.87	5.95	5.84	5.91	69798442	410854720.00
2006/08/09	5.90	5.90	5.73	5.75	57056837	329890176.00
2006/08/10	5.75	5.81	5.71	5.80	46474253	267724624.00
2006/08/11	5.77	5.81	5.70	5.79	44381789	255447824.00
2006/08/14	5.80	5.84	5.64	5.66	50828366	290596320.00
2006/08/15	5.66	5.72	5.61	5.69	26705696	151439408.00
2006/08/16	5.69	5.83	5.66	5.80	57532287	331073568.00
2006/08/17	5.75	5.75	5.66	5.69	22838302	130225736.00
2006/08/18	5.67	5.73	5.60	5.63	36958923	208428704.00
2006/08/21	5.50	5.68	5.47	5.64	34100536	191295200.00
2006/08/22	5.61	5.71	5.60	5.64	25914384	146977584.00
2006/08/23	5.68	5.68	5.59	5.61	25885821	145399392.00
2006/08/24	5.61	5.68	5.57	5.68	21097038	118824496.00
2006/08/25	5.68	5.78	5.65	5.72	45447794	259852768.00
2006/08/28	5.74	5.77	5.66	5.75	42062710	240602304.00
2006/08/29	5.74	5.81	5.68	5.72	50770787	292193056.00
2006/08/30	5.72	5.81	5.65	5.78	41243492	236495168.00
2006/08/31	5.76	5.78	5.70	5.73	23663798	135615184.00
2006/09/01	5.73	5.75	5.62	5.63	28851122	163500048.00
2006/09/04	5.63	5.68	5.62	5.67	15623953	88274784.00
2006/09/05	5.66	5.71	5.62	5.64	27270784	153977488.00
2006/09/06	5.65	5.66	5.61	5.64	23027852	129531920.00
2006/09/07	5.65	5.66	5.56	5.57	33313446	186296096.00
2006/09/08	5.60	5.61	5.54	5.59	31527549	175669840.00
2006/09/11	5.60	5.64	5.57	5.61	29565026	165845504.00
2006/09/12	5.63	6.06	5.61	5.99	168428545	983996352.00
2006/09/13	5.97	6.27	5.94	6.08	182869204	1120141440.00
2006/09/14	6.10	6.16	6.02	6.12	60552401	368440672.00
2006/09/15	6.11	6.58	6.09	6.48	159375892	1018610304.00
2006/09/18	6.60	6.73	6.43	6.47	120936777	793642752.00
2006/09/19	6.50	6.62	6.42	6.46	65299870	425330400.00
2006/09/20	6.46	6.50	6.37	6.43	62227245	399225024.00
2006/09/21	6.43	6.54	6.30	6.39	76091014	486663360.00
2006/09/22	6.39	6.45	6.28	6.41	56134036	356840704.00
2006/09/25	6.41	6.41	6.13	6.17	62296147	388916416.00
2006/09/26	6.16	6.25	6.10	6.20	46496779	287019168.00
2006/09/27	6.19	6.24	6.05	6.23	26601473	163779744.00
2006/09/28	6.25	6.33	6.18	6.25	26890106	168345440.00
2006/09/29	6.25	6.39	6.23	6.30	35900983	226641568.00
2006/10/09	6.36	6.42	6.26	6.30	49397581	313274720.00
2006/10/10	6.33	6.49	6.30	6.34	38482439	246008064.00
2006/10/11	6.34	6.36	6.18	6.22	31715318	197450144.00
2006/10/12	6.20	6.26	6.10	6.16	27026113	166212864.00
2006/10/13	6.14	6.20	6.10	6.15	15436275	95127064.00
2006/10/16	6.16	6.18	6.02	6.05	43884042	266364064.00
2006/10/17	6.03	6.10	6.00	6.03	19879089	120153712.00
2006/10/18	6.05	6.10	5.99	6.09	34434035	208488912.00
2006/10/19	6.10	6.16	6.06	6.10	39000004	238232272.00
2006/10/20	6.10	6.12	6.00	6.03	38340007	232251136.00
2006/10/23	6.02	6.05	5.94	6.00	36474842	217797824.00
2006/10/24	6.00	6.16	6.00	6.16	35518760	217107840.00
2006/10/25	6.19	6.25	6.07	6.11	49460068	304848512.00
2006/10/26	6.15	6.33	6.10	6.26	66250985	411843456.00
2006/10/27	6.25	6.26	6.08	6.11	47072742	289865152.00
2006/10/30	6.09	6.18	5.96	6.16	35470461	214555008.00
2006/10/31	6.16	6.41	6.11	6.40	98648317	621300736.00
2006/11/01	6.35	6.51	6.31	6.47	140709075	904899008.00
2006/11/02	6.44	6.59	6.37	6.46	91572865	593259264.00
2006/11/03	6.47	6.54	6.38	6.39	54569637	351224000.00
2006/11/06	6.35	6.68	6.32	6.63	73934911	482825312.00
2006/11/07	6.67	6.79	6.50	6.71	81951298	545474240.00
2006/11/08	6.70	6.70	6.44	6.47	57547087	376329952.00
2006/11/09	6.46	6.65	6.40	6.59	62495034	407646752.00
2006/11/10	6.60	6.68	6.32	6.42	80545479	526121504.00
2006/11/13	6.41	6.48	6.18	6.21	59635142	376997408.00
2006/11/14	6.20	6.45	6.19	6.45	52082333	328249888.00
2006/11/15	6.45	6.58	6.37	6.57	60419439	392299456.00
2006/11/16	6.60	6.77	6.45	6.50	95661777	632819648.00
2006/11/17	6.47	6.95	6.42	6.88	118532440	800228288.00
2006/11/20	6.90	7.06	6.79	7.00	92103882	636656256.00
2006/11/21	6.97	7.07	6.83	7.03	67894120	472392480.00
2006/11/22	6.99	7.02	6.85	6.93	62320944	430772640.00
2006/11/23	6.92	7.16	6.80	7.04	63778894	445286464.00
2006/11/24	6.99	7.15	6.85	7.08	57079958	401027968.00
2006/11/27	7.08	7.15	6.92	7.00	44651180	313005536.00
2006/11/28	7.00	7.07	6.85	7.00	43630524	304206688.00
2006/11/29	6.84	6.99	6.78	6.90	32328030	223584592.00
2006/11/30	6.93	7.28	6.85	7.24	71692345	507469504.00
2006/12/01	7.21	7.27	7.15	7.19	44389237	319733088.00
2006/12/04	7.15	7.67	7.11	7.52	77492027	577894912.00
2006/12/05	7.51	7.71	7.42	7.45	62926270	476486848.00
2006/12/06	7.40	7.62	7.14	7.38	68663438	505288704.00
2006/12/07	7.38	8.12	7.33	7.93	110763250	871761600.00
2006/12/08	7.83	8.00	7.35	7.50	97555186	749757888.00
2006/12/11	7.41	7.85	7.41	7.82	55432139	427212576.00
2006/12/12	7.88	7.95	7.59	7.72	59267553	459089792.00
2006/12/13	7.74	7.92	7.68	7.91	39271897	305701952.00
2006/12/14	7.91	8.10	7.82	8.08	41736390	332709888.00
2006/12/15	8.09	8.15	7.98	8.06	27705725	223275632.00
2006/12/18	8.11	8.18	7.95	8.09	51207247	412753728.00
2006/12/19	8.12	8.17	7.86	8.00	48493792	387613120.00
2006/12/20	7.99	8.15	7.81	8.10	35966029	286793056.00
2006/12/21	8.10	8.57	8.08	8.26	77522277	649803264.00
2006/12/22	8.24	8.26	7.78	7.86	73385331	584286528.00
2006/12/25	7.80	7.94	7.65	7.74	69296839	537827968.00
2006/12/26	7.82	7.95	7.55	7.69	56689479	440895904.00
2006/12/27	7.76	8.23	7.59	8.08	101956950	811592000.00
2006/12/28	8.05	8.16	7.80	7.87	76651124	613425984.00
2006/12/29	7.90	8.20	7.88	8.10	78925397	638136576.00
2007/01/04	8.22	8.90	8.14	8.45	121288824	1031347904.00
2007/01/05	8.46	8.79	8.38	8.48	76529853	655190464.00
2007/01/08	8.48	8.71	8.47	8.67	48541403	416191456.00
2007/01/09	8.69	8.87	8.50	8.80	54751368	473775232.00
2007/01/10	8.83	9.10	8.66	9.09	68648265	612204544.00
2007/01/11	9.12	9.26	8.82	8.85	47736067	430403040.00
2007/01/12	8.85	8.85	8.25	8.28	61649665	527293536.00
2007/01/15	8.24	8.85	8.20	8.84	43690271	373689664.00
2007/01/16	8.95	8.97	8.65	8.91	49463402	438226080.00
2007/01/17	8.94	9.04	8.50	8.68	54854033	482180608.00
2007/01/18	8.60	8.77	8.38	8.64	50200105	431149600.00
2007/01/19	8.66	9.21	8.60	9.15	63730923	572643392.00
2007/01/22	9.22	10.07	9.22	10.07	87266128	852178112.00
2007/01/23	10.30	11.05	10.10	10.32	84830348	891757696.00
2007/01/24	10.36	11.10	10.15	10.92	70011711	758588672.00
2007/01/25	10.78	11.09	10.40	10.68	50797720	548272576.00
2007/01/26	10.50	10.80	9.81	10.71	45360216	474123136.00
2007/01/29	10.60	10.92	10.37	10.76	51982432	552807424.00
2007/01/30	10.68	11.50	10.65	10.95	52005097	580226624.00
2007/01/31	10.94	11.41	10.31	10.54	53988898	592447232.00
2007/02/01	10.20	10.30	9.58	9.99	111050831	1107793408.00
2007/02/02	10.10	10.16	9.73	9.78	40799642	405863904.00
2007/02/05	9.75	10.08	9.75	9.81	25614126	254736432.00
2007/02/06	9.88	10.02	9.03	9.65	47642064	454365632.00
2007/02/07	9.79	10.05	9.58	9.82	44432800	439690752.00
2007/02/08	9.87	10.80	9.84	10.80	59855522	632079488.00
2007/02/09	11.20	11.45	10.70	10.90	69636640	770345792.00
2007/02/12	10.82	11.35	10.70	11.15	39312850	435614912.00
2007/02/13	11.15	11.95	11.15	11.68	62117379	725309888.00
2007/02/14	11.70	12.29	11.70	12.08	50921391	614723776.00
2007/02/15	12.15	12.49	11.96	12.10	42775965	521675040.00
2007/02/16	12.20	12.88	12.14	12.35	30124227	375275936.00
2007/02/26	12.50	12.94	12.21	12.45	27511530	344896544.00
2007/02/27	12.40	12.40	11.21	11.21	40201444	465834240.00
2007/02/28	10.35	11.27	10.35	11.25	49259789	534177376.00
2007/03/01	11.27	11.35	10.50	10.60	51952704	563180096.00
2007/03/02	10.59	11.30	10.59	11.23	34957660	387472096.00
2007/03/05	11.23	11.23	10.47	10.78	55474780	598513280.00
2007/03/06	10.78	11.40	10.65	11.09	38107135	421485216.00
2007/03/07	11.21	12.20	11.20	11.93	86700929	1045444672.00
2007/03/08	11.88	12.32	11.80	11.99	42672610	515451232.00
2007/03/09	12.06	12.15	11.82	11.99	30064477	359744000.00
2007/03/12	12.05	12.70	12.04	12.26	51278807	636048064.00
2007/03/13	12.24	12.25	11.70	12.15	28523733	340657376.00
2007/03/14	11.90	11.95	11.57	11.80	27845319	327951072.00
2007/03/15	11.70	12.03	11.70	11.96	23945546	284862752.00
2007/03/16	11.90	12.38	11.67	12.30	75444946	913564608.00
2007/03/19	11.89	13.27	11.81	13.00	60147313	766797056.00
2007/03/20	13.05	14.14	12.70	13.84	63637213	851360832.00
2007/03/21	13.78	13.84	13.28	13.53	32844513	444177824.00
2007/03/22	13.58	14.05	13.41	13.43	30698272	419388576.00
2007/03/23	13.42	13.99	12.95	13.60	39556219	528358624.00
2007/03/26	13.58	13.68	13.32	13.62	31841239	430658048.00
2007/03/27	13.74	13.87	13.39	13.41	42238478	574149376.00
2007/03/28	13.40	13.42	12.50	12.99	67107291	868516288.00
2007/03/29	12.95	13.35	12.80	13.00	54263454	707377984.00
2007/03/30	12.98	13.02	12.65	12.85	36097352	462920800.00
2007/04/02	12.88	13.19	12.73	13.16	42365099	551912832.00
2007/04/03	13.25	13.42	13.01	13.39	50254056	662394112.00
2007/04/04	13.48	13.86	13.30	13.55	68900234	939843392.00
2007/04/05	13.49	13.55	13.06	13.50	49453332	657601216.00
2007/04/06	13.30	13.62	13.21	13.40	41798364	560836608.00
2007/04/09	13.43	14.30	13.42	14.04	75917570	1057222016.00
2007/04/10	14.06	14.50	13.95	14.31	65137581	927977280.00
2007/04/11	14.45	14.60	14.15	14.42	50325026	723288192.00
2007/04/12	14.41	14.70	14.18	14.55	40759866	586106368.00
2007/04/13	14.55	14.60	14.23	14.33	43142658	620180992.00
2007/04/16	14.33	14.92	14.33	14.68	49330049	722609024.00
2007/04/17	14.88	15.15	14.50	14.86	58687778	871165312.00
2007/04/18	14.98	15.08	14.39	14.46	40473422	590651072.00
2007/04/19	14.45	14.64	13.03	13.85	50919659	710891136.00
2007/04/20	13.91	14.89	13.86	14.78	69277998	1001846144.00
2007/04/23	15.00	15.98	14.95	15.47	61238300	947415616.00
2007/04/24	15.51	15.67	15.30	15.38	39499500	609522496.00
2007/04/25	15.30	15.43	14.86	15.26	36108636	545721152.00
2007/04/26	15.28	15.71	14.98	15.28	27889912	426742848.00
2007/04/27	15.28	15.58	14.54	14.73	30595622	452345952.00
2007/04/30	15.15	15.18	14.55	14.70	27734345	410185376.00
2007/05/08	15.00	15.41	14.50	15.16	47142457	715157696.00
2007/05/09	15.20	15.47	14.70	15.12	56047456	844066304.00
2007/05/10	15.20	16.29	15.13	15.86	69678330	1090872320.00
2007/05/11	16.18	16.20	15.10	15.40	85836772	1342671488.00
2007/05/14	15.01	15.25	14.23	15.02	73802626	1101172736.00
2007/05/15	15.30	15.36	14.05	14.21	96568316	1412500864.00
2007/05/16	14.21	14.42	13.46	14.39	119391554	1657355776.00
2007/05/17	14.35	14.75	14.14	14.54	76837180	1112241536.00
2007/05/18	14.53	14.53	14.02	14.20	66269851	944087808.00
2007/05/21	13.75	14.75	13.61	14.58	95624356	1362487424.00
2007/05/22	14.68	14.88	14.58	14.77	74373987	1094494976.00
2007/05/23	14.86	14.92	14.49	14.66	77008546	1126524416.00
2007/05/24	14.66	14.70	13.90	14.06	123182546	1742226944.00
2007/05/28	14.39	14.60	14.08	14.40	128540001	1841568896.00
2007/05/29	14.56	15.50	14.56	15.43	175614629	2627188224.00
2007/05/30	14.65	15.43	14.00	14.40	175131247	2595473664.00
2007/05/31	14.55	15.45	13.76	15.16	155843082	2303520512.00
2007/06/01	15.43	16.05	14.80	15.27	157089026	2455207424.00
2007/06/04	15.48	15.79	13.74	13.74	108979191	1586800896.00
2007/06/05	13.29	14.50	12.40	14.48	98987093	1325629056.00
2007/06/06	14.45	14.50	13.95	14.29	73463007	1045659904.00
2007/06/07	14.45	14.75	14.25	14.59	76823095	1113567872.00
2007/06/08	14.59	14.60	14.09	14.33	66196419	947252736.00
2007/06/11	14.33	15.08	14.10	14.82	99275977	1455216000.00
2007/06/12	14.99	16.30	14.75	16.21	174058264	2721379584.00
2007/06/13	16.32	16.44	15.97	16.16	114472249	1852792576.00
2007/06/14	16.17	16.38	15.60	16.29	86842382	1381702656.00
2007/06/15	16.18	17.88	16.01	17.39	131275269	2189764352.00
2007/06/18	17.32	17.45	16.88	17.10	94401824	1618937216.00
2007/06/19	17.05	17.16	16.45	16.97	72693387	1219706368.00
2007/06/20	16.89	17.66	16.55	16.69	81993274	1399510016.00
2007/06/21	16.59	16.99	16.30	16.61	57543161	956687872.00
2007/06/22	16.65	17.20	15.50	15.90	84989315	1399739008.00
2007/06/25	16.00	16.24	14.80	15.08	70038722	1085728512.00
2007/06/26	14.85	15.59	14.62	15.56	54755438	834191104.00
2007/06/27	15.61	16.19	15.50	15.97	64432972	1020609536.00
2007/06/28	15.95	16.00	15.00	15.01	56302254	873406208.00
2007/06/29	14.81	15.65	14.68	15.14	60131829	915110592.00
2007/07/02	15.25	15.67	14.91	15.39	41036956	628430784.00
2007/07/03	15.50	15.80	15.33	15.55	30984045	482962528.00
2007/07/04	15.57	15.58	14.90	14.97	28264401	427956704.00
2007/07/05	14.80	14.94	13.60	13.67	44528268	634623872.00
2007/07/06	13.43	14.46	13.43	14.32	38932848	543126528.00
2007/07/09	14.50	14.72	14.32	14.57	31018185	450421024.00
2007/07/10	14.57	14.65	13.95	14.12	30640747	436493376.00
2007/07/11	13.90	14.20	13.90	14.08	15786299	221331984.00
2007/07/12	14.12	14.33	13.97	14.23	23472554	332157952.00
2007/07/13	14.30	14.39	14.14	14.23	16623002	237084880.00
2007/07/16	14.23	14.32	13.70	13.71	20801329	289059488.00
2007/07/17	13.69	14.09	13.58	13.81	21737448	300018240.00
2007/07/18	13.86	14.79	13.84	14.39	48009371	689718784.00
2007/07/19	14.28	14.56	14.00	14.29	20642707	296593952.00
2007/07/20	14.29	14.78	14.20	14.68	33426850	486870528.00
2007/07/23	14.70	15.35	14.68	15.31	54962453	829693056.00
