601088 中国神华 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/10/09	68.00	70.50	68.00	69.30	465128280	32254081024.00
2007/10/10	70.51	76.23	69.99	76.23	86721782	6395510272.00
2007/10/11	80.50	83.85	79.50	83.85	160744942	13137212416.00
2007/10/12	88.00	92.24	85.02	92.12	169347154	15015481344.00
2007/10/15	92.20	94.88	88.59	90.87	94149098	8629060608.00
2007/10/16	91.10	91.99	87.00	90.49	69162155	6184573952.00
2007/10/17	88.88	89.87	87.17	88.02	55333019	4887916032.00
2007/10/18	87.00	87.50	81.60	82.26	78489528	6605763584.00
2007/10/19	84.10	84.80	82.00	83.62	50557214	4218570496.00
2007/10/22	81.40	82.40	78.58	79.25	47434677	3807528704.00
2007/10/23	79.50	80.88	76.68	80.05	57133990	4514083840.00
2007/10/24	80.30	83.35	78.50	80.63	58257848	4704169472.00
2007/10/25	78.88	80.00	76.59	77.11	45049431	3497146624.00
2007/10/26	76.50	78.77	76.30	77.54	30288816	2350085888.00
2007/10/29	78.30	81.03	77.00	79.00	27511373	2177963776.00
2007/10/30	79.50	83.69	78.10	82.95	37292137	3037181952.00
2007/10/31	84.01	84.50	81.01	81.69	35237012	2903415040.00
2007/11/01	81.80	83.38	80.47	80.51	25586270	2095145600.00
2007/11/02	79.00	79.68	77.00	77.08	36199256	2816643328.00
2007/11/05	77.00	77.08	73.68	74.29	35421362	2652720384.00
2007/11/06	73.90	74.90	72.00	72.31	26121604	1906509312.00
2007/11/07	73.50	74.74	72.72	74.04	18354107	1354332160.00
2007/11/08	73.00	73.38	70.50	70.58	19268932	1387353984.00
2007/11/09	70.50	70.50	68.70	69.51	21864080	1521093760.00
2007/11/12	67.51	67.97	62.66	64.51	37088585	2412678912.00
2007/11/13	65.50	66.90	63.01	63.98	24019439	1573011328.00
2007/11/14	65.70	70.38	65.00	70.34	52173651	3578108160.00
2007/11/15	69.27	69.77	67.31	67.39	34818027	2383796480.00
2007/11/16	65.90	69.00	65.02	68.04	16806842	1127456128.00
2007/11/19	68.09	68.50	66.01	66.68	10681062	713974784.00
2007/11/20	66.74	67.94	65.25	67.09	13995195	930882880.00
2007/11/21	67.10	69.95	67.10	67.49	18753813	1286406528.00
2007/11/22	65.52	66.73	64.01	64.32	12097795	791143936.00
2007/11/23	63.80	65.99	63.30	65.03	15788060	1018267136.00
2007/11/26	66.65	67.80	64.88	64.96	15541153	1029512448.00
2007/11/27	64.68	65.90	63.52	65.18	12735337	821120064.00
2007/11/28	65.61	66.72	64.51	65.57	21162532	1388335232.00
2007/11/29	66.68	68.18	65.95	67.43	32054836	2155431936.00
2007/11/30	67.58	67.58	64.24	64.35	24602684	1617397760.00
2007/12/03	63.75	65.00	62.83	64.66	18300700	1165172480.00
2007/12/04	64.87	65.25	64.30	64.42	12624373	816536768.00
2007/12/05	64.23	66.00	63.52	65.75	25725583	1668407296.00
2007/12/06	66.01	67.09	65.40	65.70	17427549	1156027648.00
2007/12/07	65.80	66.90	65.30	66.30	18813844	1240315136.00
2007/12/10	65.50	68.16	65.01	67.46	28815266	1939133312.00
2007/12/11	67.48	68.16	66.78	67.68	20169613	1359900544.00
2007/12/12	67.00	67.60	66.16	66.33	15309248	1022077056.00
2007/12/13	66.33	67.50	64.30	64.44	18871455	1245579136.00
2007/12/14	63.66	64.18	62.87	64.12	19492062	1238580096.00
2007/12/17	64.18	64.58	60.99	61.01	28515280	1778230272.00
2007/12/18	60.86	62.85	60.50	61.01	16980339	1043713920.00
2007/12/19	62.10	62.70	61.50	61.88	14186339	879867264.00
2007/12/20	61.95	63.47	61.30	63.18	20111737	1253660160.00
2007/12/21	63.00	64.01	62.99	63.53	15490188	983522432.00
2007/12/24	64.10	68.00	64.05	66.39	32744167	2169550336.00
2007/12/25	66.57	67.10	65.71	65.97	15297088	1015268352.00
2007/12/26	66.00	67.34	65.39	66.45	14632407	969132480.00
2007/12/27	66.66	67.60	65.53	66.84	23847322	1592564096.00
2007/12/28	66.94	67.30	65.51	65.61	23852379	1576152576.00
2008/01/02	65.01	65.61	63.60	63.94	25826130	1657415296.00
2008/01/03	64.00	65.16	62.76	65.07	27708439	1757653632.00
2008/01/04	65.20	66.88	65.15	65.76	27258184	1799119232.00
2008/01/07	65.77	68.39	65.58	67.91	44674083	2995021056.00
2008/01/08	68.30	70.10	67.11	67.59	56140602	3882778624.00
