601166 兴业银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/02/05	24.80	25.00	22.01	22.18	169694307	4023211776.00
2007/02/06	22.50	24.20	21.31	23.81	67276770	1579250560.00
2007/02/07	23.98	26.00	23.82	24.96	80021761	1990145024.00
2007/02/08	24.70	24.84	23.88	24.41	34153141	831191168.00
2007/02/09	24.28	24.58	23.60	24.01	21550995	516759072.00
2007/02/12	24.02	25.05	24.00	25.00	38617248	952049472.00
2007/02/13	25.03	25.60	24.60	24.88	22609233	565946624.00
2007/02/14	24.81	25.60	24.50	25.38	26773214	674591296.00
2007/02/15	25.75	25.95	25.22	25.61	27403567	701054336.00
2007/02/16	25.81	28.08	25.56	27.41	51259764	1359607040.00
2007/02/26	26.90	27.18	26.41	26.79	27063314	724075264.00
2007/02/27	26.81	27.19	24.11	24.11	30459420	779133248.00
2007/02/28	24.08	24.95	23.95	24.78	19861815	484128640.00
2007/03/01	24.81	24.88	23.41	23.62	19938190	477159552.00
2007/03/02	23.50	24.20	23.46	23.86	8673536	207307120.00
2007/03/05	23.78	24.18	22.90	23.36	14546791	342125888.00
2007/03/06	23.40	24.95	23.25	24.39	22920011	553256832.00
2007/03/07	24.30	24.85	24.10	24.39	19715033	482800960.00
2007/03/08	24.40	24.74	24.11	24.59	11481784	281703072.00
2007/03/09	24.63	25.15	24.38	24.83	13157171	326636032.00
2007/03/12	25.00	25.10	24.38	24.54	9146184	225584464.00
2007/03/13	24.56	24.80	24.28	24.48	8628330	211720912.00
2007/03/14	24.00	24.05	23.53	23.74	10559070	251339040.00
2007/03/15	23.89	24.26	23.82	24.11	8139910	195730144.00
2007/03/16	24.16	24.38	23.48	23.61	12297361	292492736.00
2007/03/19	23.32	25.55	23.26	24.88	28203365	694427584.00
2007/03/20	24.90	24.94	24.30	24.44	13080882	320456864.00
2007/03/21	24.68	25.08	24.50	24.78	11400163	282631296.00
2007/03/22	25.00	25.15	24.58	24.82	18256898	454143712.00
2007/03/23	24.82	25.16	24.50	24.91	11346107	282536224.00
2007/03/26	24.95	25.45	24.68	25.31	14872800	373569056.00
2007/03/27	25.44	25.44	24.88	25.19	14768288	370239424.00
2007/03/28	25.80	26.30	24.80	25.97	35072664	898845440.00
2007/03/29	26.14	28.57	26.00	27.83	75320671	2100390400.00
2007/03/30	27.47	27.65	26.90	27.20	23267144	634332032.00
2007/04/02	27.30	28.28	27.07	27.94	17253472	478735616.00
2007/04/03	28.00	28.45	27.63	27.89	15628375	437756608.00
2007/04/04	28.00	29.60	27.89	28.92	31267916	902215360.00
2007/04/05	28.90	29.50	28.51	29.18	15303889	444304384.00
2007/04/06	28.72	29.18	28.10	28.22	15293632	436598784.00
2007/04/09	28.18	30.15	27.90	29.83	21322735	629687936.00
2007/04/10	29.85	31.61	29.55	31.51	25680854	792820032.00
2007/04/11	31.50	33.00	31.02	31.57	18402553	594923200.00
2007/04/12	31.51	33.20	31.50	32.27	10645740	345927680.00
2007/04/13	32.30	33.20	32.00	32.02	11740591	382399584.00
2007/04/16	32.18	33.20	31.86	33.06	12357902	401799456.00
2007/04/17	33.15	33.35	30.32	32.28	12713090	409503616.00
2007/04/18	32.00	32.08	30.60	31.31	10592043	331079008.00
2007/04/19	31.25	31.90	29.13	29.92	19904565	606570048.00
2007/04/20	30.10	32.60	30.10	32.03	11817468	373987616.00
2007/04/23	32.61	32.90	31.81	32.38	12104500	389342432.00
2007/04/24	32.30	32.30	30.95	31.28	14018500	441113344.00
2007/04/25	31.15	33.11	30.85	32.04	18396160	590332096.00
2007/04/26	32.15	32.44	31.10	32.39	12499880	398241408.00
2007/04/27	32.38	32.47	31.10	31.58	7483511	237940496.00
2007/05/08	31.50	31.90	30.59	30.73	39821892	1230686208.00
2007/05/09	30.88	31.99	30.68	31.71	34421314	1079398912.00
2007/05/10	31.75	33.24	31.16	31.53	27539044	887504128.00
2007/05/11	31.20	31.20	29.42	30.40	45372973	1366470016.00
2007/05/14	30.30	31.17	30.00	30.17	38622568	1182456064.00
2007/05/15	30.49	30.60	28.91	29.05	31903998	943471744.00
2007/05/16	29.19	29.63	28.98	29.60	22976968	674859392.00
2007/05/17	29.82	30.05	29.40	29.95	22167598	660385152.00
2007/05/18	30.00	30.00	29.41	29.54	16635207	492843712.00
2007/05/21	28.58	29.50	28.50	29.45	28185610	816071104.00
2007/05/22	29.39	30.18	29.08	29.38	16644143	492366336.00
2007/05/23	29.60	29.98	28.95	29.50	17602764	518706496.00
2007/05/24	29.75	30.94	29.58	30.21	31947749	967016256.00
2007/05/25	29.90	31.10	29.70	30.35	22943672	701582144.00
2007/05/28	30.45	31.08	30.33	30.35	16624357	510341376.00
2007/05/29	30.45	31.00	30.11	30.49	19036614	579609536.00
2007/05/30	29.20	30.10	28.01	28.29	28718715	836377472.00
2007/05/31	28.98	30.60	28.00	29.72	37760755	1112160896.00
2007/06/01	29.69	31.23	29.50	29.91	37179031	1126279424.00
2007/06/04	30.35	30.56	28.16	28.43	25052596	726795328.00
2007/06/05	27.99	29.01	25.65	28.37	22697633	624011968.00
2007/06/06	28.50	28.65	27.40	27.66	19986827	553608192.00
2007/06/07	27.81	28.19	27.50	27.84	29807976	828648064.00
2007/06/08	27.85	27.85	27.10	27.59	21734941	597255104.00
2007/06/11	27.60	28.65	27.18	28.49	29599976	823601664.00
2007/06/12	28.05	28.69	27.70	28.46	24248911	683539712.00
2007/06/13	28.68	30.19	28.68	29.52	31771827	941963648.00
2007/06/14	29.90	30.15	29.28	29.64	20121723	600076096.00
2007/06/15	29.33	32.50	29.10	31.59	34912282	1082887296.00
2007/06/18	32.18	34.53	32.15	33.35	36795751	1232327424.00
2007/06/19	32.95	35.12	32.51	33.93	35255410	1210351744.00
2007/06/20	33.88	33.88	31.72	31.84	18482050	609493056.00
2007/06/21	31.92	32.90	31.70	32.39	20399588	657182400.00
2007/06/22	32.31	33.80	31.41	32.54	20996690	683985664.00
2007/06/25	32.65	34.30	32.01	33.04	26342625	882676672.00
2007/06/26	32.57	34.70	32.18	34.32	32275466	1090467456.00
2007/06/27	34.52	36.99	34.12	36.44	31991831	1142630016.00
2007/06/28	36.56	37.37	35.80	35.96	21932674	803423488.00
2007/06/29	35.47	36.60	34.93	35.09	18628356	664586240.00
2007/07/02	35.00	35.18	33.37	34.05	16152063	554724352.00
2007/07/03	34.29	35.00	34.20	34.97	6041930	209397856.00
2007/07/04	35.00	35.16	33.41	33.47	8770838	299932384.00
2007/07/05	32.96	33.47	32.30	32.35	6612236	217121328.00
2007/07/06	32.24	34.60	32.01	34.19	7717734	256649360.00
2007/07/09	34.35	36.01	33.95	35.65	10648789	376375392.00
2007/07/10	36.20	38.08	36.10	36.63	17271418	643393728.00
2007/07/11	36.50	37.57	36.12	36.68	6289870	231406128.00
2007/07/12	36.70	38.48	36.70	37.94	8709356	329848416.00
2007/07/13	38.51	39.18	37.70	37.99	9231566	353241504.00
2007/07/16	38.18	38.48	36.45	36.60	4415448	164145952.00
2007/07/17	36.40	40.26	36.30	40.13	21270389	836733440.00
2007/07/18	40.10	42.00	39.78	40.18	24967927	1022072256.00
2007/07/19	39.85	40.25	39.21	39.80	11649214	463091040.00
2007/07/20	39.80	42.90	39.80	42.49	16073263	664399488.00
2007/07/23	43.30	43.88	42.45	42.72	16495997	707478592.00
2007/07/24	42.81	43.44	41.70	42.61	10667622	453436864.00
2007/07/25	42.55	43.36	41.98	43.29	13357068	569358208.00
2007/07/26	43.50	43.68	42.05	42.49	9872095	420305728.00
2007/07/27	42.30	42.30	40.82	41.14	19831505	816869888.00
2007/07/30	40.90	42.20	40.85	41.80	14440061	599187712.00
2007/07/31	41.30	42.06	40.00	41.80	12271954	504375904.00
2007/08/01	41.88	43.18	41.01	41.50	11799719	500590336.00
2007/08/02	41.81	44.08	41.81	43.74	15112280	654591552.00
2007/08/03	44.26	47.08	44.26	46.99	19813608	913595648.00
2007/08/06	47.16	47.50	46.08	46.92	12069855	563623808.00
2007/08/07	46.90	46.92	45.10	46.21	15180853	697420864.00
2007/08/08	45.58	47.58	44.81	45.96	17900374	833125120.00
2007/08/09	45.98	48.25	45.70	48.02	13671604	647494464.00
2007/08/10	47.45	48.99	47.00	47.96	9414418	451355616.00
2007/08/13	47.83	48.99	46.79	47.18	10016380	479584096.00
2007/08/14	46.50	47.35	45.88	46.78	13590976	630128064.00
2007/08/15	47.15	49.40	46.90	48.65	13044563	632992256.00
2007/08/16	48.80	48.80	46.15	47.76	6789426	321715552.00
2007/08/17	47.50	50.00	46.50	46.79	12604749	605855488.00
2007/08/20	48.25	51.47	48.25	50.90	14554382	729874112.00
2007/08/21	50.91	52.20	50.60	51.60	8155921	419560448.00
2007/08/22	50.50	53.78	50.31	52.29	7870707	413247968.00
2007/08/23	52.09	53.50	51.06	52.43	9570711	496721408.00
2007/08/24	52.87	57.67	52.50	57.67	17015708	961803840.00
2007/08/27	57.60	59.76	55.96	57.63	15302140	892310848.00
2007/08/28	57.01	60.15	56.01	58.10	9912780	581851840.00
2007/08/29	57.90	60.00	57.20	59.58	7906548	462640320.00
2007/08/30	60.80	62.80	57.76	58.13	13997607	830499264.00
2007/08/31	58.00	58.70	57.48	58.29	9720500	564485504.00
2007/09/03	58.29	60.50	58.29	59.15	10910124	647798080.00
2007/09/04	58.98	58.98	56.98	57.30	12206568	700577792.00
2007/09/05	57.00	57.86	54.79	56.20	12547783	700041088.00
2007/09/06	56.35	58.53	56.35	57.15	8912712	513739968.00
2007/09/07	57.00	57.20	54.99	56.07	7435638	417860480.00
2007/09/10	55.90	58.10	55.01	57.98	6679398	380891488.00
2007/09/11	57.99	59.80	55.81	56.67	12810673	747497280.00
2007/09/12	56.10	58.30	56.10	58.00	11432362	652881280.00
2007/09/13	58.00	59.35	57.00	59.28	11371048	659064000.00
2007/09/14	59.50	59.60	56.48	57.34	11189825	642483072.00
2007/09/17	57.05	59.40	57.05	58.33	9831203	575574336.00
2007/09/18	58.48	58.89	55.30	56.45	15723531	886920448.00
2007/09/19	56.20	57.00	54.45	55.16	14112408	783412800.00
2007/09/20	55.40	55.78	54.50	55.13	8975292	493490432.00
2007/09/21	55.13	55.50	52.00	52.90	15491694	824533440.00
2007/09/24	52.90	54.50	51.50	54.39	10069407	536010720.00
2007/09/25	54.70	55.19	52.70	53.00	5247471	282035360.00
2007/09/26	52.98	54.95	52.80	53.02	6998238	378312640.00
