601211 国泰君安 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/26	23.65	28.38	23.65	28.38	2068078	58507112.00
2015/06/29	31.22	31.22	29.18	31.22	314822959	9785779200.00
2015/06/30	30.68	34.34	29.18	34.34	521100333	16911142912.00
2015/07/01	36.00	37.30	34.03	34.82	529359013	19065214976.00
2015/07/02	35.80	35.88	31.35	31.42	355393487	11791880192.00
2015/07/03	30.01	33.30	28.31	29.60	331084330	9997440000.00
2015/07/06	32.56	32.56	29.80	31.95	429413048	13615750144.00
2015/07/07	30.00	30.90	28.76	28.76	281586305	8250119168.00
2015/07/08	25.88	25.88	25.88	25.88	42357000	1096199168.00
2015/07/09	23.29	28.47	23.29	28.47	388972328	10128113664.00
2015/07/10	28.50	31.32	28.47	31.32	367948230	11304574976.00
2015/07/13	31.50	33.98	30.38	32.82	448924415	14484165632.00
2015/07/14	31.35	32.25	29.95	30.38	342775697	10652792832.00
2015/07/15	29.56	30.38	27.34	27.34	245602814	6978577408.00
2015/07/16	26.55	28.75	25.70	27.64	168020729	4611822592.00
2015/07/17	27.65	29.88	27.33	29.36	194051415	5551299072.00
2015/07/20	29.00	29.26	28.00	28.37	169453853	4847215616.00
2015/07/21	27.89	29.58	27.51	28.71	175059549	5019340288.00
2015/07/22	28.78	29.50	28.49	28.64	147120763	4251913472.00
2015/07/23	28.68	29.98	28.51	29.59	214972726	6320928256.00
2015/07/24	29.78	29.86	28.17	28.41	185325662	5390726144.00
2015/07/27	27.50	27.97	25.57	25.57	170324334	4578846720.00
2015/07/28	24.24	28.13	23.48	27.72	316081336	8465604608.00
2015/07/29	27.50	27.77	26.20	27.69	128707389	3480672512.00
2015/07/30	27.10	28.11	26.50	26.66	127825539	3511815936.00
2015/07/31	26.18	27.13	25.80	26.38	85418695	2258887424.00
2015/08/03	25.95	26.45	25.18	26.22	78805348	2034841216.00
2015/08/04	26.22	27.27	25.91	27.12	107286061	2865471744.00
2015/08/05	26.80	27.00	26.18	26.22	73182269	1947307136.00
2015/08/06	25.78	26.55	25.58	25.77	50607688	1313193216.00
2015/08/07	25.76	26.49	25.76	26.09	73221538	1913697280.00
2015/08/10	26.21	28.08	25.88	27.54	195364517	5287095808.00
2015/08/11	27.19	27.64	26.90	26.99	125165670	3405112576.00
2015/08/12	26.78	27.73	26.65	26.87	99997312	2715741184.00
2015/08/13	26.87	27.30	26.38	27.05	80047102	2148165632.00
2015/08/14	27.23	27.46	26.91	27.08	94169968	2553032192.00
2015/08/17	26.98	27.06	26.02	26.43	87254809	2305845504.00
2015/08/18	26.58	27.50	24.10	24.56	145492636	3813621248.00
2015/08/19	24.09	25.10	23.69	25.07	98739100	2424804096.00
2015/08/20	24.80	24.90	24.00	24.08	64117804	1566978944.00
2015/08/21	23.72	24.04	23.00	23.16	77330902	1818172416.00
2015/08/24	22.01	22.49	20.84	20.84	106487442	2248943104.00
2015/08/25	19.25	20.17	18.76	18.76	132366486	2543343104.00
2015/08/26	19.28	20.25	18.20	18.95	131174682	2536609024.00
2015/08/27	19.51	20.29	18.80	20.24	112991330	2209278208.00
2015/08/28	20.30	21.27	19.90	21.14	138621921	2837386752.00
2015/08/31	21.00	21.00	19.70	19.99	103870160	2092843520.00
2015/09/01	19.90	20.89	18.76	19.67	87571757	1731038080.00
2015/09/02	18.88	20.08	18.50	18.71	79235932	1517296512.00
2015/09/07	19.02	19.72	18.80	18.94	72374740	1397174784.00
2015/09/08	18.90	20.08	18.76	19.98	72514839	1402205696.00
2015/09/09	19.99	20.97	19.82	20.51	131610084	2685351680.00
2015/09/10	20.13	20.27	19.71	19.82	66806457	1336550912.00
2015/09/11	19.79	20.06	19.48	19.66	45560459	900113728.00
2015/09/14	19.77	19.78	18.00	18.25	82426392	1547267584.00
2015/09/15	18.00	18.46	17.50	17.55	57417930	1029051968.00
2015/09/16	17.61	19.13	17.45	18.98	77897976	1423608064.00
2015/09/17	18.65	19.30	18.35	18.43	86785370	1638974720.00
2015/09/18	18.65	18.76	18.27	18.53	37715812	699215424.00
2015/09/21	18.10	18.96	18.00	18.89	47896542	890533632.00
2015/09/22	19.20	20.25	19.04	20.02	138227672	2747249920.00
2015/09/23	19.54	19.81	19.05	19.14	80560164	1563542144.00
2015/09/24	19.26	19.36	18.88	19.05	60586755	1157110528.00
2015/09/25	18.88	19.09	18.27	18.40	46731245	869595904.00
2015/09/28	18.43	18.79	18.11	18.76	31967748	592411008.00
2015/09/29	18.37	19.05	18.13	18.51	38340125	709853952.00
2015/09/30	18.55	18.99	18.48	18.60	34637041	648402496.00
2015/10/08	19.60	19.62	19.17	19.22	66136336	1280939392.00
2015/10/09	19.22	19.96	19.18	19.68	70670250	1385107072.00
2015/10/12	19.80	20.96	19.58	20.59	101042010	2063018880.00
2015/10/13	20.31	20.48	20.02	20.29	56074122	1135212672.00
2015/10/14	20.15	20.59	20.01	20.02	60897032	1234479104.00
2015/10/15	19.95	20.64	19.91	20.62	68827866	1401204352.00
2015/10/16	20.88	21.24	20.58	21.04	103258234	2166805504.00
2015/10/19	21.10	22.25	21.10	21.62	133888817	2907966976.00
2015/10/20	21.58	21.76	21.05	21.71	71069619	1525329536.00
2015/10/21	21.79	21.90	20.07	20.30	92566199	1960738944.00
2015/10/22	20.20	20.61	19.93	20.58	50896641	1033670528.00
2015/10/23	20.84	21.35	20.50	21.28	63911885	1337142272.00
2015/10/26	21.90	22.20	21.41	21.65	96725159	2118955264.00
2015/10/27	21.05	21.68	20.70	21.58	53282160	1125060992.00
2015/10/28	21.30	21.68	20.82	20.86	43581149	923779712.00
2015/10/29	20.85	21.10	20.59	20.81	31302287	653366656.00
2015/10/30	20.92	21.88	20.72	21.30	61147774	1306092416.00
2015/11/02	20.90	21.43	20.75	20.79	44098053	925482752.00
2015/11/03	20.79	21.07	20.66	20.82	29041477	606097600.00
2015/11/04	20.94	22.90	20.87	22.90	143868524	3197982208.00
2015/11/05	23.51	25.19	23.50	24.19	324735047	7981697536.00
2015/11/06	23.80	26.27	23.51	25.81	235266221	5889620480.00
2015/11/09	25.90	26.77	25.00	25.21	222833110	5757105664.00
2015/11/10	24.85	26.51	24.71	25.42	178713562	4576474112.00
2015/11/11	25.01	25.95	24.51	25.42	125391603	3148950528.00
2015/11/12	25.58	25.58	24.54	24.71	93865309	2343682048.00
2015/11/13	24.26	25.24	24.18	24.72	97282649	2403583744.00
2015/11/16	23.90	24.31	23.70	24.27	80814005	1937722368.00
2015/11/17	24.70	26.38	24.61	24.75	159068085	4044098816.00
2015/11/18	24.85	25.45	23.89	24.06	94097034	2328146176.00
