601229 上海银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/11/16	21.32	25.59	21.32	25.59	508759	12969184.00
2016/11/17	28.15	28.15	28.15	28.15	1099737	30957596.00
2016/11/18	30.97	30.97	29.51	30.24	246810995	7470089728.00
2016/11/21	29.48	29.48	28.31	28.49	159712942	4598344192.00
2016/11/22	28.25	28.77	28.13	28.43	91567886	2596461568.00
2016/11/23	28.45	28.99	28.17	28.28	101282831	2897466368.00
2016/11/24	28.10	28.12	27.23	27.28	99105019	2727105280.00
2016/11/25	27.21	27.68	27.01	27.39	49581467	1353382528.00
2016/11/28	27.45	27.69	27.25	27.31	48896608	1342214400.00
2016/11/29	27.22	27.22	26.45	26.53	70872035	1895133952.00
2016/11/30	26.49	26.49	26.04	26.20	39478466	1032798208.00
2016/12/01	26.17	26.46	26.13	26.30	29738100	781716352.00
2016/12/02	26.27	26.27	25.72	25.74	39102765	1014259072.00
2016/12/05	25.58	25.90	25.47	25.80	23213946	596716864.00
2016/12/06	25.76	26.09	25.70	25.87	24851316	644333376.00
2016/12/07	25.79	26.01	25.63	25.99	21562393	556258304.00
2016/12/08	25.98	26.48	25.93	26.25	46898778	1232205312.00
2016/12/09	26.15	26.45	25.99	26.20	44288049	1164178688.00
2016/12/12	26.08	26.34	24.95	24.98	50174872	1281228672.00
2016/12/13	24.97	24.98	24.31	24.55	31777792	781193664.00
2016/12/14	24.50	24.85	24.45	24.53	21921676	539646848.00
2016/12/15	24.46	24.63	24.32	24.44	24357169	595863104.00
2016/12/16	24.36	24.48	24.21	24.31	23744991	578022976.00
2016/12/19	24.28	24.29	23.75	23.80	27815401	666679296.00
2016/12/20	23.74	23.93	23.65	23.80	18909435	449385952.00
2016/12/21	23.85	24.43	23.77	24.23	30951982	745611264.00
2016/12/22	24.03	24.15	23.89	24.01	17537927	420802496.00
2016/12/23	23.99	23.99	23.53	23.54	20528949	486712800.00
2016/12/26	23.39	23.65	23.09	23.60	19761336	460557472.00
2016/12/27	23.50	23.57	23.35	23.38	12879870	301868896.00
2016/12/28	23.41	23.45	23.15	23.19	12545470	291990560.00
2016/12/29	23.21	23.48	23.20	23.24	14914778	347759072.00
2016/12/30	23.25	23.38	23.23	23.28	10993894	256020560.00
2017/01/03	23.33	23.78	23.31	23.59	20644985	487160256.00
2017/01/04	23.59	23.80	23.55	23.72	17730203	420003584.00
2017/01/05	23.74	23.76	23.47	23.50	17999621	424105632.00
2017/01/06	23.45	23.56	23.12	23.16	20938854	487582624.00
2017/01/09	23.12	23.30	23.08	23.24	12181330	282702144.00
2017/01/10	23.23	23.23	22.96	22.98	17279654	398376704.00
2017/01/11	22.91	22.94	22.45	22.54	25752050	584142784.00
2017/01/12	22.48	22.61	22.28	22.29	15848049	356016992.00
2017/01/13	22.25	22.30	21.90	22.04	23061966	509384096.00
2017/01/16	22.05	22.64	21.88	22.42	40341635	897626880.00
2017/01/17	22.24	22.55	22.08	22.45	22655072	504887168.00
2017/01/18	22.39	22.46	22.26	22.29	16158086	361233600.00
2017/01/19	22.23	22.73	22.12	22.55	25788922	579872384.00
2017/01/20	22.48	23.04	22.45	22.94	34557897	790232064.00
2017/01/23	22.91	23.27	22.90	23.03	27194865	628655488.00
2017/01/24	23.04	23.05	22.88	22.95	11467673	263375824.00
2017/01/25	22.88	23.10	22.81	23.02	10965625	252059104.00
2017/01/26	23.06	23.29	23.06	23.28	17483967	406064992.00
2017/02/03	23.28	23.32	22.90	22.93	11711785	269811840.00
2017/02/06	22.97	23.12	22.89	23.04	11601200	266738480.00
2017/02/07	23.03	23.04	22.71	22.80	14345570	327877216.00
2017/02/08	22.80	23.03	22.60	23.01	16727735	381422816.00
2017/02/09	22.98	23.22	22.92	23.12	21611436	499250144.00
2017/02/10	23.14	23.69	23.10	23.45	41010267	963866880.00
2017/02/13	23.46	24.59	23.46	24.12	64067244	1544644992.00
2017/02/14	24.16	24.24	23.66	23.88	29441049	702297728.00
2017/02/15	23.85	24.56	23.76	24.12	55659934	1350743552.00
2017/02/16	24.06	24.35	23.83	24.19	39384956	948900672.00
2017/02/17	24.00	24.35	23.69	23.71	35575002	853864640.00
2017/02/20	23.65	25.25	23.61	24.92	83268861	2045654656.00
2017/02/21	24.80	24.97	24.46	24.56	44536471	1095299456.00
2017/02/22	24.50	24.54	24.10	24.28	37529788	910207680.00
2017/02/23	24.20	24.47	24.11	24.27	24552943	595987584.00
2017/02/24	24.28	24.42	24.06	24.29	21864194	529317152.00
2017/02/27	24.19	24.22	23.92	23.95	19457180	468436416.00
2017/02/28	23.91	24.68	23.88	24.48	47372415	1157458432.00
2017/03/01	24.40	24.63	24.13	24.23	32510598	790754112.00
2017/03/02	24.25	24.55	24.18	24.35	35796363	872818240.00
2017/03/03	24.26	24.26	23.97	24.04	23847825	574134912.00
2017/03/06	24.05	24.20	23.89	24.12	19772842	475436864.00
2017/03/07	24.08	24.22	23.96	24.15	21176818	509831008.00
2017/03/08	24.13	24.19	23.92	23.97	22774958	547690944.00
2017/03/09	23.89	23.99	23.65	23.66	22679857	539781760.00
2017/03/10	23.62	23.76	23.62	23.64	11853692	280557696.00
2017/03/13	23.59	23.63	23.36	23.60	17704089	415681376.00
2017/03/14	23.66	24.00	23.62	23.84	23093152	550973568.00
2017/03/15	23.72	23.94	23.70	23.85	12988607	309482976.00
2017/03/16	23.89	24.43	23.89	24.32	45026096	1092374912.00
2017/03/17	24.33	24.33	24.01	24.05	29893418	721995968.00
2017/03/20	24.06	24.46	24.05	24.29	23653561	574084416.00
2017/03/21	24.30	24.38	24.05	24.15	16158349	389918336.00
2017/03/22	24.02	24.04	23.69	23.73	22572872	537702528.00
2017/03/23	23.71	23.94	23.61	23.77	15017876	357154624.00
2017/03/24	23.80	23.88	23.65	23.87	14627321	347316864.00
2017/03/27	23.86	24.30	23.82	24.14	26496396	638924928.00
2017/03/28	24.13	24.15	23.89	23.93	15850158	380129216.00
2017/03/29	23.98	24.05	23.52	23.60	18957905	450842176.00
2017/03/30	23.61	23.68	23.06	23.08	23027728	535689088.00
2017/03/31	23.10	24.28	23.10	23.98	53838040	1293068160.00
2017/04/05	23.70	23.86	23.42	23.84	25780279	610453376.00
2017/04/06	23.83	23.85	23.66	23.80	17760183	421767648.00
2017/04/07	23.77	23.98	23.71	23.83	19161147	456594176.00
2017/04/10	23.80	23.81	23.53	23.59	18771515	443683296.00
2017/04/11	23.55	23.75	23.38	23.74	19356286	456316864.00
2017/04/12	23.69	23.69	23.42	23.47	15527781	365392032.00
2017/04/13	23.44	23.57	23.32	23.36	11239282	263361616.00
2017/04/14	23.36	23.41	23.08	23.09	13745996	318860384.00
2017/04/17	23.02	23.02	22.61	22.78	15339465	349789216.00
2017/04/18	22.78	22.86	22.56	22.57	7503200	170683088.00
2017/04/19	22.57	22.83	22.50	22.72	13996555	317325088.00
2017/04/20	22.66	22.72	22.30	22.46	11822102	266095568.00
2017/04/21	22.47	22.72	22.47	22.58	9029613	203996576.00
2017/04/24	22.75	22.90	22.40	22.70	16541212	374998496.00
2017/04/25	22.70	23.05	22.64	22.90	14655698	335030560.00
2017/04/26	22.93	23.11	22.82	22.88	13527304	310618720.00
2017/04/27	22.77	22.78	22.45	22.73	15102852	341441760.00
2017/04/28	22.64	22.73	22.56	22.69	9598042	217327504.00
2017/05/02	22.69	22.70	22.33	22.35	14766776	331845152.00
2017/05/03	22.36	22.54	22.35	22.49	8550440	191951408.00
2017/05/04	22.40	22.68	22.33	22.48	10479845	235914256.00
2017/05/05	22.40	22.41	22.11	22.18	11696921	260332528.00
2017/05/08	22.17	22.27	22.11	22.14	8671629	192331200.00
2017/05/09	22.11	22.79	22.10	22.68	24654563	556387392.00
2017/05/10	22.59	23.36	22.49	22.83	40007423	919119040.00
2017/05/11	22.61	22.80	22.30	22.68	23677433	534608800.00
2017/05/12	22.60	23.25	22.59	23.16	38551949	889360960.00
2017/05/15	23.14	23.32	22.92	23.18	23576846	544832000.00
2017/05/16	23.09	23.16	22.83	23.14	20604915	473593792.00
2017/05/17	23.13	23.35	22.95	23.30	24665197	571121856.00
2017/05/18	23.08	23.24	22.91	23.04	19440854	448115360.00
2017/05/19	22.98	23.10	22.90	22.96	10134862	232754464.00
2017/05/22	22.91	23.02	22.59	22.60	12129294	276750304.00
2017/05/23	22.58	23.07	22.48	22.81	20371528	464619584.00
2017/05/24	22.74	22.75	22.20	22.58	14624193	328556128.00
2017/05/25	22.49	23.48	22.49	23.44	47950950	1112737920.00
2017/05/26	23.33	23.58	23.23	23.55	30907052	724727296.00
2017/05/31	23.78	24.39	23.62	23.90	47374560	1139626880.00
2017/06/01	23.81	24.60	23.77	24.44	63903353	1557685120.00
2017/06/02	24.48	24.95	24.37	24.73	67554828	1667346304.00
2017/06/05	24.41	24.63	24.21	24.32	28445570	694113664.00
2017/06/06	24.21	24.56	24.04	24.54	27251780	662649280.00
2017/06/07	24.42	24.77	24.38	24.57	29979389	735675328.00
2017/06/08	24.48	25.07	24.22	24.99	39627575	979873792.00
2017/06/09	24.94	25.14	24.76	25.07	34056520	851835712.00
2017/06/12	24.88	25.17	24.56	24.57	22590782	562340416.00
2017/06/13	24.53	24.72	24.36	24.63	12375576	303984800.00
2017/06/14	24.55	24.61	24.16	24.16	17590940	427703968.00
2017/06/15	24.15	24.42	24.10	24.30	12132301	294291648.00
2017/06/16	24.21	24.36	24.19	24.22	7491640	181803360.00
2017/06/19	24.22	24.56	24.20	24.50	11370745	278079552.00
2017/06/20	24.62	24.62	24.31	24.39	8793565	214478880.00
2017/06/21	24.50	24.85	24.36	24.84	19859297	489784864.00
2017/06/22	24.80	25.87	24.74	25.33	55200612	1406945408.00
2017/06/23	25.25	25.60	25.07	25.58	28561889	723555584.00
2017/06/26	25.48	25.75	25.40	25.45	23208300	592937792.00
2017/06/27	25.39	25.74	25.35	25.67	17454462	446815232.00
2017/06/28	25.65	25.77	25.34	25.37	17545387	448139328.00
2017/06/29	25.36	25.75	25.30	25.63	14963023	382230880.00
2017/06/30	25.50	25.64	25.37	25.54	10596350	270177760.00
2017/07/03	25.47	25.58	25.35	25.44	11908022	302779680.00
2017/07/04	25.39	25.44	25.02	25.04	14847215	373560384.00
2017/07/05	25.00	25.41	25.00	25.39	11405097	287778528.00
2017/07/06	25.36	25.40	25.07	25.20	10238759	258178512.00
2017/07/07	25.15	25.27	25.05	25.23	7643107	192407584.00
2017/07/10	25.22	25.22	24.85	25.01	12382102	309431808.00
2017/07/11	24.92	25.59	24.91	25.33	20686617	524687808.00
2017/07/12	25.45	25.96	25.42	25.88	29331039	755625728.00
2017/07/13	25.75	26.16	25.67	26.12	19756789	511875296.00
2017/07/14	26.08	26.24	25.88	26.07	14158028	368731904.00
2017/07/17	26.12	26.89	25.45	26.31	36752378	970069632.00
2017/07/18	26.04	26.66	25.98	26.63	20817079	547141952.00
2017/07/19	26.63	27.40	26.52	27.21	33639147	909707392.00
2017/07/20	20.68	20.71	20.30	20.45	15586214	318734080.00
2017/07/21	20.25	20.25	19.91	19.95	24642456	493181248.00
2017/07/24	19.88	20.80	19.65	20.34	32155677	647872320.00
2017/07/25	20.25	20.36	19.91	19.94	13902018	279659616.00
2017/07/26	19.83	20.15	19.67	19.75	13092009	259498512.00
2017/07/27	19.76	19.81	19.50	19.80	12060540	237131664.00
2017/07/28	19.73	20.37	19.63	19.80	20240302	403387680.00
2017/07/31	19.80	19.84	19.65	19.75	9836456	194141360.00
2017/08/01	19.75	20.05	19.66	19.81	21807495	432383328.00
2017/08/02	19.71	19.89	19.56	19.60	17167186	338138880.00
2017/08/03	19.55	19.70	19.02	19.06	21913595	422934848.00
2017/08/04	18.95	19.13	18.86	19.02	12877676	244376816.00
2017/08/07	18.91	19.19	18.89	19.11	7344784	139888432.00
2017/08/08	19.06	19.14	18.91	18.99	7213624	136838000.00
2017/08/09	19.01	19.04	18.90	18.94	6260721	118701104.00
2017/08/10	18.95	19.24	18.89	19.05	10469775	199434576.00
2017/08/11	19.00	19.00	18.26	18.31	20148530	374108224.00
2017/08/14	18.31	18.48	18.20	18.47	10246296	188288560.00
2017/08/15	18.47	18.72	18.40	18.57	8158739	151784720.00
2017/08/16	18.51	18.60	18.40	18.52	6804540	125864272.00
2017/08/17	18.52	18.56	18.43	18.54	5969809	110291536.00
2017/08/18	18.47	18.60	18.40	18.50	6646539	122979856.00
2017/08/21	18.50	18.52	18.42	18.50	4739215	87501856.00
2017/08/22	18.51	18.68	18.46	18.58	6973100	129490688.00
2017/08/23	18.56	18.88	18.54	18.82	11809640	221390000.00
2017/08/24	18.80	18.87	18.50	18.52	9223375	171923504.00
2017/08/25	18.51	18.84	18.46	18.81	11400003	213429504.00
2017/08/28	18.82	19.33	18.74	19.15	20372835	388350368.00
2017/08/29	19.15	19.15	18.93	19.03	10591643	201221312.00
2017/08/30	19.00	19.13	18.91	18.98	7625995	144785856.00
2017/08/31	18.92	18.97	18.83	18.92	6710060	126793240.00
2017/09/01	18.91	18.95	18.84	18.90	6754431	127554064.00
2017/09/04	18.92	18.92	18.77	18.80	6984717	131455512.00
2017/09/05	18.80	19.06	18.77	18.92	8612833	163083552.00
2017/09/06	18.84	18.85	18.69	18.72	8989285	168409808.00
2017/09/07	18.71	18.77	18.56	18.61	7243050	135241584.00
2017/09/08	18.61	18.67	18.52	18.56	5497675	102191248.00
2017/09/11	18.57	18.65	18.55	18.60	4382628	81503880.00
2017/09/12	18.63	18.66	18.48	18.53	7447687	138051296.00
2017/09/13	18.48	18.50	18.34	18.43	7675151	141204960.00
2017/09/14	18.48	18.50	18.36	18.39	6684011	123132712.00
2017/09/15	18.37	18.43	18.33	18.38	4812890	88447064.00
2017/09/18	18.44	18.52	18.40	18.43	5148148	95066752.00
2017/09/19	18.46	18.58	18.38	18.44	5424150	100214920.00
2017/09/20	18.42	18.46	18.36	18.45	4884368	89922552.00
2017/09/21	18.42	18.53	18.39	18.47	5567411	102793632.00
2017/09/22	18.44	18.47	18.30	18.31	6487086	119073824.00
2017/09/25	18.29	18.29	17.94	17.95	10207133	184629264.00
2017/09/26	17.93	18.03	17.82	17.88	5792540	103677904.00
2017/09/27	17.84	17.91	17.78	17.82	4104532	73218448.00
2017/09/28	17.80	17.86	17.75	17.77	4123181	73395368.00
2017/09/29	17.77	17.93	17.76	17.86	4510719	80636848.00
2017/10/09	18.20	18.30	18.03	18.05	8840056	160456752.00
2017/10/10	17.97	18.06	17.96	18.06	4285095	77217664.00
2017/10/11	18.12	18.12	17.94	17.99	3986270	71777000.00
2017/10/12	18.02	18.03	17.90	17.93	3538510	63528488.00
2017/10/13	17.93	17.95	17.83	17.89	5138225	91912528.00
2017/10/16	17.89	17.92	17.80	17.83	6479103	115548536.00
2017/10/17	17.83	17.90	17.81	17.89	4587880	81839936.00
2017/10/18	17.89	17.90	17.71	17.72	6241582	111085176.00
2017/10/19	17.72	17.75	17.45	17.46	7852441	137955392.00
2017/10/20	17.48	17.59	17.42	17.53	3948476	69094144.00
2017/10/23	17.52	17.54	17.40	17.47	4681245	81653568.00
2017/10/24	17.45	17.49	17.31	17.35	5752972	100037496.00
2017/10/25	17.35	17.43	17.31	17.39	4262648	74031856.00
2017/10/26	17.40	17.51	17.32	17.50	6059607	105595520.00
2017/10/27	17.49	17.77	17.45	17.65	9953461	175739824.00
2017/10/30	17.65	17.75	17.42	17.56	8513224	149758848.00
2017/10/31	17.51	17.69	17.51	17.62	5677140	100016248.00
2017/11/01	17.63	17.64	17.36	17.45	7653965	133920496.00
2017/11/02	17.40	17.46	17.33	17.44	5618222	97650432.00
2017/11/03	17.41	17.45	17.12	17.14	6529770	112538240.00
2017/11/06	17.12	17.17	16.99	17.11	4483480	76507232.00
2017/11/07	17.12	17.36	17.12	17.35	5519089	95273120.00
2017/11/08	17.30	17.50	17.25	17.39	6548464	114006056.00
2017/11/09	17.37	17.38	17.23	17.30	5139913	88918072.00
2017/11/10	17.22	17.28	17.13	17.18	5600099	96201024.00
2017/11/13	17.10	17.76	17.06	17.55	17617557	309348672.00
2017/11/14	17.45	17.52	17.23	17.25	10304309	178571680.00
2017/11/15	17.23	17.30	17.10	17.12	6718424	115538248.00
2017/11/16	15.41	15.41	15.41	15.41	44840900	690998272.00
2017/11/17	14.04	15.41	14.04	15.08	217458761	3175896576.00
2017/11/20	14.60	15.16	14.55	15.09	122371019	1813190656.00
2017/11/21	15.10	15.68	15.02	15.65	99771611	1544359680.00
2017/11/22	15.66	15.87	15.55	15.65	66317079	1040331840.00
2017/11/23	15.60	15.64	15.24	15.28	45770578	704248704.00
2017/11/24	15.20	15.30	15.11	15.22	20597014	313148704.00
2017/11/27	15.21	15.25	15.04	15.09	23279510	351573888.00
2017/11/28	15.05	15.22	15.05	15.12	19292567	291656736.00
2017/11/29	15.12	15.40	14.97	15.20	35811226	541841920.00
2017/11/30	15.11	15.22	15.10	15.11	22943464	347531040.00
2017/12/01	15.07	15.24	15.07	15.17	21402566	324954240.00
2017/12/04	15.18	15.20	15.12	15.16	14541831	220543872.00
