601318 中国平安 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/03/01	50.00	50.97	45.80	46.79	197763351	9500303360.00
2007/03/02	47.00	47.44	45.88	46.41	42504832	1981445248.00
2007/03/05	45.98	46.17	43.53	44.38	41919674	1880502784.00
2007/03/06	44.00	46.00	43.75	45.25	29772788	1337719296.00
2007/03/07	45.29	46.90	44.91	46.48	28746378	1317764096.00
2007/03/08	46.10	46.33	45.68	45.92	13098383	601904448.00
2007/03/09	45.90	46.10	44.70	45.53	16088779	729237376.00
2007/03/12	45.30	45.30	44.50	44.71	14535306	651218176.00
2007/03/13	44.81	45.26	44.62	44.89	10231968	459295488.00
2007/03/14	44.30	45.10	43.79	44.94	17330656	767078400.00
2007/03/15	45.52	46.49	44.80	44.96	15252190	693085248.00
2007/03/16	44.99	45.95	44.40	45.21	22754724	1025880320.00
2007/03/20	46.80	46.92	45.50	45.78	22202687	1022520832.00
2007/03/21	45.80	46.00	44.90	45.10	13672832	618375488.00
2007/03/22	45.45	45.92	45.23	45.36	16750984	762792448.00
2007/03/23	45.34	45.53	44.71	45.16	13981014	631651840.00
2007/03/26	45.20	46.20	45.18	45.94	22326679	1024315904.00
2007/03/27	45.79	46.36	45.63	45.91	13933819	640740800.00
2007/03/28	45.90	46.90	45.58	46.58	25826369	1197347456.00
2007/03/29	46.81	48.79	46.48	47.40	46198618	2209005824.00
2007/03/30	46.96	47.87	46.72	47.05	14461720	683029952.00
2007/04/02	47.05	48.70	47.05	48.39	23144503	1118052992.00
2007/04/03	48.42	48.76	47.90	48.21	13271204	640969024.00
2007/04/04	48.22	48.50	47.55	47.79	12245469	586499968.00
2007/04/05	47.80	48.00	47.20	47.92	12286538	584881792.00
2007/04/06	47.68	48.95	47.50	48.01	19520852	944575936.00
2007/04/09	48.09	51.89	47.70	51.61	46277021	2312736768.00
2007/04/10	51.00	53.68	51.00	52.82	40782390	2154172416.00
2007/04/11	52.88	55.18	52.60	53.54	24344650	1313817472.00
2007/04/12	53.98	58.00	52.95	53.44	15927043	855188928.00
2007/04/13	54.10	56.44	54.00	55.03	26668945	1469293056.00
2007/04/16	55.66	56.55	55.66	56.42	14697227	824203136.00
2007/04/17	56.45	57.02	53.60	55.15	19724388	1091710080.00
2007/04/18	54.98	55.09	53.40	53.91	13032235	706209984.00
2007/04/19	53.50	54.30	50.21	51.98	20558670	1080238592.00
2007/04/20	52.66	56.40	52.37	55.34	18569028	1010523136.00
2007/04/23	55.37	57.57	54.88	56.98	14693400	835307840.00
2007/04/24	57.99	58.01	55.75	55.82	16047200	907541056.00
2007/04/25	55.12	57.70	54.91	56.71	14593847	823204096.00
2007/04/26	56.58	58.68	56.58	58.51	18496132	1073286528.00
2007/04/27	58.55	64.36	58.30	63.60	38983864	2404772096.00
2007/04/30	63.20	67.83	62.38	65.85	20419044	1323232000.00
2007/05/08	67.80	67.98	65.00	65.72	13232558	870776128.00
2007/05/09	64.50	66.80	63.00	65.72	11181270	727121792.00
2007/05/10	65.76	66.00	64.30	64.48	8584459	557976192.00
2007/05/11	63.50	63.90	61.15	62.81	16059298	1003287168.00
2007/05/14	61.80	66.69	60.00	64.01	17174388	1104697728.00
2007/05/15	64.40	64.49	61.45	61.53	11153398	698693056.00
2007/05/16	61.50	62.98	60.70	62.33	9884150	610776704.00
2007/05/17	62.33	63.78	62.00	62.85	8432798	528182976.00
2007/05/18	62.49	62.84	61.01	62.20	11177295	695617728.00
2007/05/21	60.91	64.59	60.80	63.46	16888872	1073945984.00
2007/05/22	63.50	65.64	63.46	64.00	12437670	802527488.00
2007/05/23	64.13	65.00	63.60	64.21	7632081	492199744.00
2007/05/24	64.00	65.00	61.40	62.42	11420175	719624128.00
2007/05/25	61.98	63.16	61.61	61.92	8575450	534340448.00
2007/05/28	62.08	64.60	62.01	64.48	15834501	1008706496.00
2007/05/29	64.50	65.50	64.20	64.98	9701795	629290048.00
2007/05/30	61.30	64.38	58.51	58.97	20331650	1247435776.00
2007/05/31	60.00	62.50	58.55	60.94	14241313	861871360.00
2007/06/01	60.09	62.50	59.58	60.55	38448659	2343594752.00
2007/06/04	60.55	61.02	55.80	57.01	21969818	1281793920.00
2007/06/05	56.60	58.60	53.88	56.99	20158374	1130197632.00
2007/06/06	57.25	59.08	56.51	57.70	14422252	834640128.00
2007/06/08	59.51	60.15	57.73	59.18	16792394	988128128.00
2007/06/11	59.02	62.97	59.02	62.53	18339017	1135021952.00
2007/06/12	62.80	65.28	62.68	64.40	19390832	1246109056.00
2007/06/13	64.50	65.58	62.97	63.67	15136874	971187200.00
2007/06/14	64.30	66.10	63.60	64.43	11515221	747474624.00
2007/06/15	64.40	65.87	64.06	65.38	9382519	611347520.00
2007/06/18	66.75	71.92	66.52	71.92	20530173	1426978816.00
2007/06/19	72.00	73.80	70.50	71.17	14418695	1040830400.00
2007/06/20	71.00	73.90	70.58	70.66	13455449	972066752.00
2007/06/21	70.50	77.49	70.50	73.91	19822855	1473952512.00
2007/06/22	73.78	76.54	73.00	74.79	14062857	1042675264.00
2007/06/25	75.50	77.55	72.77	74.26	18673579	1408262656.00
2007/06/26	72.80	74.18	71.60	73.19	16657610	1211248896.00
2007/06/27	73.22	77.20	73.22	76.18	10895447	824020160.00
2007/06/28	76.33	76.49	73.02	73.10	8816445	657443840.00
2007/06/29	71.50	73.00	71.20	71.51	9393647	675697664.00
2007/07/02	71.00	71.60	68.40	69.68	7023672	491042208.00
2007/07/03	69.81	72.55	69.81	71.88	4592913	328909760.00
2007/07/04	71.60	72.50	70.00	70.30	4502426	323343840.00
2007/07/05	70.00	73.00	69.32	70.13	6611870	469580512.00
2007/07/06	70.02	72.85	69.85	72.82	6605293	472405664.00
2007/07/09	73.48	75.98	72.88	75.35	5681463	425030816.00
2007/07/10	75.98	78.20	75.40	77.32	8685304	670485888.00
2007/07/11	77.17	77.17	75.40	76.93	3366564	257358480.00
2007/07/12	77.06	81.34	76.08	79.90	6741416	537985472.00
2007/07/13	80.40	81.68	78.50	79.52	4406691	354681952.00
2007/07/16	79.81	84.67	79.81	82.19	9833913	813658368.00
2007/07/17	82.20	82.20	78.53	81.97	13232222	1055721472.00
2007/07/18	81.00	84.41	80.52	81.70	10760852	887783296.00
2007/07/19	81.39	81.39	78.71	79.00	11113509	882862144.00
2007/07/20	79.80	85.55	79.60	84.17	12683396	1047423360.00
2007/07/23	84.30	84.71	81.66	83.46	25700164	2124859264.00
2007/07/24	83.70	84.00	81.35	82.52	23598005	1946669184.00
2007/07/25	82.52	82.52	79.90	82.22	21289544	1724532352.00
2007/07/26	82.38	82.60	80.20	81.02	15066389	1216898688.00
2007/07/27	80.45	81.40	79.00	80.10	13013475	1042196352.00
2007/07/30	80.12	81.86	80.11	81.33	14346282	1162535808.00
2007/07/31	81.33	83.76	79.60	83.50	17173223	1398703616.00
2007/08/01	84.70	84.70	79.98	80.13	16501198	1359297280.00
2007/08/02	81.40	83.20	80.10	81.82	11276059	920404480.00
2007/08/03	82.10	89.99	82.10	88.79	25693679	2188983808.00
2007/08/06	89.00	92.10	87.00	90.26	19116877	1710026752.00
2007/08/07	90.20	90.90	88.20	88.68	12432988	1112115072.00
2007/08/08	87.95	89.88	87.00	88.40	9806332	864527680.00
2007/08/09	89.00	97.02	88.68	94.95	17541589	1634846336.00
2007/08/10	93.50	97.99	92.05	95.39	12291099	1170079488.00
2007/08/13	95.20	97.36	92.80	94.48	11083348	1045588672.00
2007/08/14	94.51	98.31	94.50	97.98	10095164	978253632.00
2007/08/15	97.98	99.49	95.10	97.99	9017251	879744768.00
2007/08/16	96.99	97.97	91.51	93.16	15942553	1494643712.00
2007/08/17	96.00	96.00	88.75	89.17	16957132	1537406720.00
2007/08/20	92.30	94.19	91.20	92.53	12333960	1141660928.00
2007/08/21	92.52	94.30	91.98	92.85	11580464	1079579904.00
2007/08/22	92.00	94.35	91.32	92.86	10862205	1009474176.00
2007/08/23	93.24	94.35	91.70	93.36	12152500	1127032320.00
2007/08/24	94.00	99.34	94.00	97.70	11840770	1154308224.00
2007/08/27	98.70	101.66	98.70	99.27	15039263	1510194560.00
2007/08/28	99.23	106.08	97.70	103.44	16716055	1701634432.00
2007/08/29	100.80	103.00	99.00	99.12	10948255	1102526080.00
2007/08/30	100.05	101.90	99.20	100.90	9689835	974763904.00
2007/08/31	100.88	103.30	99.81	102.10	7996989	808894208.00
2007/09/03	102.55	105.67	102.53	103.07	8399794	878639936.00
2007/09/04	102.98	104.00	99.55	99.64	8844877	895212096.00
2007/09/05	99.10	101.40	96.80	98.11	6123432	602385792.00
2007/09/06	98.50	100.51	97.52	99.98	10255473	1017274112.00
2007/09/07	99.40	101.00	96.66	96.79	11661337	1150073216.00
2007/09/10	95.99	98.60	95.01	97.98	7945794	770512320.00
2007/09/11	97.10	100.90	95.50	96.27	11733459	1159497472.00
2007/09/12	97.00	100.40	97.00	100.24	10694981	1063524800.00
2007/09/13	101.88	104.60	101.10	103.33	10923051	1129118080.00
2007/09/14	103.80	105.60	102.60	105.17	9319836	971562944.00
2007/09/17	105.30	109.90	105.30	107.46	13437887	1454022144.00
2007/09/18	107.50	108.08	104.18	104.82	6594905	701250368.00
2007/09/19	106.80	114.08	106.68	112.97	18499538	2070804480.00
2007/09/20	112.10	121.99	112.01	118.24	11862311	1388132736.00
2007/09/21	117.78	120.99	116.86	119.52	6645925	794954560.00
2007/09/24	118.55	123.88	117.00	121.93	7505868	910152256.00
2007/09/25	124.00	133.80	123.98	129.45	9703188	1254845696.00
2007/09/26	130.02	134.38	125.00	125.96	7713156	994526336.00
2007/09/27	126.10	131.80	120.18	131.50	5729017	732218304.00
2007/09/28	136.50	137.00	133.00	134.95	7118644	961151104.00
2007/10/08	137.00	145.78	135.40	141.39	9114569	1280236160.00
2007/10/09	141.00	145.50	139.00	143.96	6584712	940525824.00
2007/10/10	144.60	145.38	140.10	141.00	8083600	1151674368.00
2007/10/11	141.00	145.80	138.00	144.13	9647040	1372878336.00
