601328 交通银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/05/15	14.20	14.99	13.45	13.54	901117903	12827875328.00
2007/05/16	13.38	13.64	12.95	13.48	171574665	2275215360.00
2007/05/17	13.49	13.67	13.30	13.59	115371343	1554110080.00
2007/05/18	13.49	13.83	13.35	13.69	121563032	1644130688.00
2007/05/21	13.28	13.64	13.21	13.55	123949716	1669701760.00
2007/05/22	13.55	13.65	13.40	13.55	104754909	1413005440.00
2007/05/23	13.63	13.71	13.50	13.59	110407911	1503034240.00
2007/05/24	13.58	13.79	13.35	13.47	106831301	1448361472.00
2007/05/25	13.38	13.60	13.33	13.40	76626105	1028588672.00
2007/05/28	13.40	13.58	13.37	13.52	94722200	1274377728.00
2007/05/29	13.60	13.67	13.46	13.55	102561618	1388727680.00
2007/05/30	13.00	13.40	12.58	12.78	136814636	1780021504.00
2007/05/31	12.80	13.58	12.52	13.37	122331873	1606427648.00
2007/06/01	13.40	13.57	12.94	13.01	94652583	1253720704.00
2007/06/04	13.03	13.16	11.75	11.86	89103293	1102442752.00
2007/06/05	11.86	12.28	11.02	12.22	70722388	834115264.00
2007/06/06	12.30	12.37	12.00	12.13	44491528	541999424.00
2007/06/07	12.16	12.24	12.10	12.19	46723974	567739840.00
2007/06/08	12.20	12.25	11.94	12.21	61405061	743017216.00
2007/06/11	12.22	12.28	12.04	12.19	44571395	542809472.00
2007/06/12	12.18	12.18	11.82	12.02	60712719	727017920.00
2007/06/13	12.04	12.49	12.01	12.42	90361883	1107809280.00
2007/06/14	12.34	12.34	12.05	12.07	41449064	504172896.00
2007/06/15	12.00	12.36	11.93	12.16	40852400	496279648.00
2007/06/18	12.30	12.55	12.18	12.32	70329931	870201088.00
2007/06/19	12.20	12.37	12.09	12.15	45767612	557257856.00
2007/06/20	12.17	12.20	11.86	11.87	51702239	621530496.00
2007/06/21	11.86	12.10	11.76	11.94	45569370	542446400.00
2007/06/22	11.97	12.10	11.52	11.63	45117060	531134912.00
2007/06/25	11.70	11.87	11.22	11.31	42233930	487844736.00
2007/06/26	11.20	11.47	11.15	11.38	26842140	302808000.00
2007/06/27	11.45	11.80	11.28	11.69	39612193	457224192.00
2007/06/28	11.70	11.87	11.20	11.22	43281290	498878976.00
2007/06/29	11.09	11.28	10.91	10.99	46278087	511550400.00
2007/07/02	11.01	11.14	10.80	11.03	22999278	251792288.00
2007/07/03	11.05	11.17	10.92	11.09	22483237	249040208.00
2007/07/04	11.20	11.33	11.01	11.08	21911231	244986576.00
2007/07/05	11.03	11.03	10.43	10.45	27171256	291036160.00
2007/07/06	10.48	10.84	10.37	10.80	28425500	301120576.00
2007/07/09	10.83	10.97	10.67	10.88	23430097	254117984.00
2007/07/10	10.95	11.29	10.82	11.03	42858141	476353312.00
2007/07/11	11.00	11.18	10.88	11.08	18393829	203406112.00
2007/07/12	11.09	11.25	11.02	11.12	20953321	233631504.00
2007/07/13	11.13	11.15	10.91	10.97	12041628	132187680.00
2007/07/16	10.98	11.16	10.90	10.91	13569949	149555936.00
2007/07/17	10.90	11.40	10.88	11.29	35441263	398866752.00
2007/07/18	11.23	11.61	11.23	11.40	43998243	503303168.00
2007/07/19	11.41	11.42	11.25	11.29	17100909	193696032.00
2007/07/20	11.29	11.78	11.25	11.70	51098737	592215296.00
2007/07/23	11.83	12.09	11.80	11.90	71399975	852528384.00
2007/07/24	11.95	12.02	11.78	11.82	38545982	458334816.00
2007/07/25	11.81	12.89	11.73	12.68	76522644	938396992.00
2007/07/26	12.55	12.82	12.41	12.55	67515286	851988224.00
2007/07/27	12.43	12.53	12.26	12.41	43112342	533557472.00
2007/07/30	12.35	12.56	12.30	12.46	37760560	470511200.00
2007/07/31	12.41	12.42	12.08	12.28	41282891	505999808.00
2007/08/01	12.31	12.58	11.80	11.83	46866572	571272640.00
2007/08/02	11.90	12.11	11.69	11.95	37643330	449633504.00
2007/08/03	12.00	12.44	12.00	12.36	61994740	759920832.00
2007/08/06	12.50	12.58	12.18	12.27	43256524	532498976.00
2007/08/07	12.30	12.45	12.15	12.21	37213847	457143328.00
2007/08/08	12.19	12.80	12.07	12.54	87744637	1097916672.00
2007/08/09	12.54	12.63	12.30	12.48	49809354	623282240.00
2007/08/10	12.61	13.04	12.61	13.00	121317790	1561609472.00
2007/08/13	13.25	13.85	13.01	13.38	161415748	2160496384.00
2007/08/14	13.40	13.41	13.10	13.28	53047069	702536896.00
2007/08/15	13.31	13.54	13.01	13.27	59214724	786473408.00
2007/08/16	13.02	13.05	12.48	12.62	230577058	2930087424.00
2007/08/17	12.72	12.94	12.30	12.40	114814049	1448495488.00
2007/08/20	12.80	13.18	12.73	13.12	123080566	1596542336.00
2007/08/21	13.22	13.45	12.98	13.18	95763101	1268397184.00
2007/08/22	12.98	13.31	12.88	13.06	94698446	1237704064.00
2007/08/23	13.07	13.15	12.90	12.96	57449849	745193152.00
2007/08/24	13.06	13.36	12.97	13.20	90597224	1193988352.00
2007/08/27	13.28	13.99	13.26	13.68	177302712	2424398336.00
2007/08/29	13.38	13.50	12.99	13.07	83497058	1104643072.00
