601336 新华保险 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/12/16	25.00	26.80	24.90	26.44	117177275	3013978368.00
2011/12/19	26.21	27.49	26.00	26.96	52416127	1393215744.00
2011/12/20	27.10	27.59	26.65	26.88	27480230	744248000.00
2011/12/21	27.14	27.65	26.29	26.39	22180360	599846784.00
2011/12/22	25.96	27.20	25.56	26.80	14722866	386845504.00
2011/12/23	26.52	27.17	25.82	27.09	12658980	337348512.00
2011/12/26	26.71	27.32	26.49	26.71	7469975	200983856.00
2011/12/27	26.45	29.38	26.02	27.07	13944132	385938080.00
2011/12/28	26.47	27.42	25.13	27.12	10747748	284469280.00
2011/12/29	26.61	28.30	26.61	28.12	9982846	277077408.00
2011/12/30	27.97	28.69	27.80	27.87	11365897	320882272.00
2012/01/04	27.92	28.55	27.70	27.97	7659030	215469104.00
2012/01/05	27.94	28.42	26.88	27.10	8982348	248863760.00
2012/01/06	26.60	28.21	26.60	28.14	6134233	168226624.00
2012/01/09	28.09	29.55	27.61	29.38	6715869	192597712.00
2012/01/10	29.38	30.30	29.00	30.12	8405120	250574176.00
2012/01/11	29.95	30.20	29.10	29.87	4795160	142677152.00
2012/01/12	29.62	30.95	29.62	30.38	5555409	168174288.00
2012/01/13	30.48	30.58	28.95	29.87	4972570	147160096.00
2012/01/16	29.50	29.77	28.13	28.28	3600578	105667096.00
2012/01/17	28.58	30.92	28.50	30.87	9177673	271016896.00
2012/01/18	30.54	30.90	29.18	29.73	6458792	195056032.00
2012/01/19	29.73	30.60	29.37	30.21	3814065	115275976.00
2012/01/20	30.10	32.22	30.10	31.89	6631448	207219248.00
2012/01/30	31.79	31.79	30.20	30.25	5263418	162543296.00
2012/01/31	30.13	30.57	29.80	30.53	2167097	65397656.00
2012/02/01	30.25	30.75	29.77	29.97	4416194	133139480.00
2012/02/02	29.66	31.30	28.93	31.09	5974537	179946080.00
2012/02/03	30.70	31.35	30.70	31.06	5294399	164317440.00
2012/02/06	31.00	31.10	29.98	30.47	5162336	157284176.00
2012/02/07	30.01	30.27	28.91	29.14	7208458	211658384.00
2012/02/08	29.16	30.96	29.08	30.68	4550580	136481968.00
