601390 中国中铁 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/12/03	7.50	8.10	7.21	8.09	1869806435	14433035264.00
2007/12/04	8.21	8.34	7.76	7.83	776483301	6275304960.00
2007/12/05	8.10	8.61	7.98	8.48	822591672	6892018176.00
2007/12/06	8.23	8.39	8.14	8.35	475612589	3931115776.00
2007/12/07	8.30	8.75	8.24	8.44	492004097	4196497152.00
2007/12/10	8.35	8.74	8.30	8.65	315252599	2708590592.00
2007/12/11	8.66	8.72	8.42	8.59	216466016	1852015744.00
2007/12/12	8.50	9.00	8.31	8.97	290815815	2495177472.00
2007/12/13	9.13	9.25	8.86	8.88	389085638	3525894656.00
2007/12/14	8.87	8.95	8.53	8.81	216065091	1885388800.00
2007/12/17	8.82	9.00	8.62	8.79	118618575	1045235392.00
2007/12/18	8.68	9.12	8.68	8.96	135751663	1214654208.00
2007/12/19	9.14	9.18	8.93	9.06	132446263	1198694656.00
2007/12/20	9.09	9.97	8.96	9.97	329628207	3160571648.00
2007/12/21	10.04	10.88	9.94	10.59	409412795	4218348288.00
2007/12/24	10.74	11.18	10.38	10.78	311686346	3369719552.00
2007/12/25	10.79	11.14	10.61	10.99	174231698	1891846272.00
2007/12/26	10.98	11.49	10.88	11.40	189216996	2130681088.00
2007/12/27	11.48	11.60	11.15	11.45	195246233	2214522368.00
2007/12/28	11.60	11.77	11.20	11.49	221658945	2554889472.00
2008/01/02	11.20	11.68	10.80	11.43	227008351	2546325504.00
2008/01/03	11.29	11.65	11.02	11.30	184583951	2087832064.00
2008/01/04	11.38	11.58	11.12	11.43	214895054	2452820480.00
2008/01/07	11.99	12.57	11.57	12.39	537078523	6428883968.00
2008/01/08	12.30	12.44	11.68	11.88	317519514	3837783296.00
2008/01/09	11.68	11.99	11.46	11.89	197078752	2302733824.00
2008/01/10	11.89	11.89	11.56	11.61	194208891	2266560512.00
2008/01/11	11.60	11.60	11.16	11.46	227591575	2581842432.00
2008/01/14	11.40	11.57	11.21	11.45	115988985	1321750272.00
2008/01/15	11.49	11.85	11.40	11.49	147278097	1708129792.00
2008/01/16	11.38	11.38	11.10	11.14	140753316	1575956480.00
2008/01/17	11.00	11.20	10.39	10.76	166379730	1796768512.00
2008/01/18	10.62	11.33	10.46	11.29	153342860	1668992896.00
2008/01/21	11.22	11.23	10.60	10.69	96193107	1054911104.00
2008/01/22	10.25	10.42	9.62	9.67	159438406	1585847808.00
2008/01/23	10.01	10.44	9.85	10.40	157337084	1606727296.00
2008/01/24	10.40	10.86	10.35	10.62	103230986	1099154816.00
2008/01/25	10.52	10.75	10.28	10.62	90190703	947928512.00
2008/01/28	10.41	10.50	9.75	9.78	75551808	755613440.00
2008/01/29	9.95	10.16	9.70	10.00	51535598	512990112.00
2008/01/30	10.08	10.25	9.59	9.87	65428157	651343232.00
2008/01/31	9.80	10.02	9.55	9.57	52535522	510775328.00
2008/02/01	9.62	9.70	9.15	9.55	70604085	663244416.00
2008/02/04	9.90	10.51	9.75	10.51	153337919	1586665216.00
2008/02/05	10.51	10.75	10.31	10.65	133573151	1408691072.00
2008/02/13	10.48	10.63	10.19	10.36	59683727	619301632.00
2008/02/14	10.51	10.59	10.37	10.49	35421180	371442496.00
2008/02/15	10.39	10.55	10.20	10.52	42624940	441650432.00
