601601 中国太保 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/12/25	51.00	51.97	47.88	48.17	340420711	16991184896.00
2007/12/26	48.50	50.23	48.01	49.93	103253161	5066422272.00
2007/12/27	50.00	51.36	49.65	50.31	78106937	3953647616.00
2007/12/28	50.20	50.29	49.01	49.45	41988536	2081515904.00
2008/01/02	49.00	49.25	48.05	48.61	41546193	2010900736.00
2008/01/03	48.61	48.87	47.10	48.81	45495233	2171882752.00
2008/01/04	48.91	49.38	48.55	48.99	29943094	1466377472.00
2008/01/07	48.60	49.18	48.02	48.54	25454871	1234515072.00
2008/01/08	48.66	50.28	48.66	49.19	46358353	2296892160.00
2008/01/09	48.80	49.45	48.45	49.11	23600284	1153652864.00
2008/01/10	49.23	49.50	48.58	49.19	25225159	1235337216.00
2008/01/11	49.35	50.25	48.88	49.15	26850210	1330258432.00
2008/01/14	49.19	49.58	48.58	48.61	27007672	1318221056.00
2008/01/15	48.52	48.54	47.60	47.75	36838258	1765303680.00
2008/01/16	47.29	47.50	46.28	46.33	34423654	1614504448.00
2008/01/17	45.90	46.58	44.20	45.04	26040739	1181164800.00
2008/01/18	45.05	45.35	44.31	44.92	16013648	715342400.00
2008/01/21	44.92	44.92	40.43	40.96	36570943	1543335552.00
2008/01/22	40.35	40.35	36.86	36.88	41505784	1586811264.00
2008/01/23	37.80	40.05	36.56	39.19	35162924	1350526208.00
2008/01/24	39.90	39.90	38.00	38.76	20861409	808218176.00
2008/01/25	40.00	41.00	39.09	39.81	42084290	1689696768.00
2008/01/28	39.00	39.15	35.83	35.83	23937923	887547648.00
2008/01/29	36.58	37.67	36.11	37.02	14775667	544445888.00
2008/01/30	37.65	37.90	35.90	36.89	16364618	605164736.00
2008/01/31	37.09	37.80	36.58	36.89	11960397	446752928.00
2008/02/01	37.11	37.87	35.86	37.27	16150206	598975680.00
2008/02/04	38.00	40.05	37.66	39.82	24688027	963757184.00
2008/02/05	39.20	39.39	38.26	38.39	13225105	511845056.00
2008/02/13	37.45	37.45	36.68	36.84	9349737	346246976.00
2008/02/14	37.01	37.62	36.97	37.18	5631568	209636544.00
2008/02/15	36.78	37.04	36.30	36.93	7411276	271437760.00
2008/02/18	37.51	37.85	37.24	37.30	8690673	325791136.00
2008/02/19	37.30	37.83	36.68	37.77	11596346	430938304.00
