601628 中国人寿 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/01/09	37.00	40.20	37.00	38.93	319018973	12379545600.00
2007/01/10	39.80	40.30	38.72	39.46	68610210	2708589312.00
2007/01/11	38.80	39.60	37.01	38.29	43902506	1685626624.00
2007/01/12	37.79	39.74	37.50	39.50	42177470	1648086528.00
2007/01/15	39.82	43.45	38.95	43.45	56131919	2287356416.00
2007/01/16	45.28	46.88	44.06	45.05	44567735	2027865728.00
2007/01/17	45.28	49.50	44.16	45.00	50948864	2371918848.00
2007/01/18	45.08	46.10	41.90	43.50	52023113	2275374848.00
2007/01/19	44.02	44.70	42.53	44.57	25919541	1136576512.00
2007/01/22	44.68	47.00	43.50	46.86	33922355	1531775104.00
2007/01/23	47.20	47.47	43.88	44.03	38089971	1716027648.00
2007/01/24	43.70	44.86	42.48	43.90	21581200	940452992.00
2007/01/25	43.00	43.15	39.80	40.84	37313678	1553414528.00
2007/01/26	40.00	40.89	38.50	40.26	27503851	1087187072.00
2007/01/29	41.82	42.00	40.31	40.75	22475076	922676928.00
2007/01/30	41.50	41.50	39.60	39.97	16031494	644202496.00
2007/01/31	40.00	40.39	37.70	38.21	25909516	1005279680.00
2007/02/01	37.83	39.00	37.78	38.80	17665205	677999296.00
2007/02/02	38.78	38.84	35.80	35.99	34689123	1284396416.00
2007/02/05	35.70	35.70	33.50	33.77	23935842	823378432.00
2007/02/06	33.49	34.55	33.00	34.54	20159321	678492224.00
2007/02/07	34.65	35.84	34.28	34.85	29468077	1032332672.00
2007/02/08	35.20	35.27	34.15	34.70	12040447	418027072.00
2007/02/09	34.99	36.58	34.75	36.10	20162935	723256896.00
2007/02/12	35.67	36.75	35.60	36.20	13816314	499986880.00
2007/02/13	36.30	36.40	35.39	35.72	11271000	402852128.00
2007/02/14	36.12	36.50	35.79	36.41	14579488	526818400.00
2007/02/15	36.70	38.18	36.48	37.99	20065706	745762880.00
2007/02/16	38.44	38.48	37.58	37.82	14943530	567387584.00
2007/02/26	37.87	37.87	36.63	37.25	21348862	787045376.00
2007/02/27	37.23	37.23	33.80	33.89	24353909	865403072.00
2007/02/28	33.75	35.89	33.58	35.87	26980758	940169472.00
2007/03/01	36.00	36.10	33.60	34.00	26005391	886908800.00
2007/03/02	34.00	34.30	33.49	33.80	15334008	517311808.00
2007/03/05	33.75	33.76	31.50	32.28	19729239	645395008.00
2007/03/06	32.07	33.68	31.65	32.94	15361190	502011040.00
2007/03/07	33.15	33.85	32.95	33.16	12962706	432894048.00
2007/03/08	33.39	33.50	32.96	33.20	10533320	348838176.00
2007/03/09	33.25	33.53	32.50	33.07	15850451	522307520.00
2007/03/12	33.09	33.33	32.50	32.80	15535657	510721312.00
2007/03/13	32.82	33.30	32.67	33.00	12547373	413441824.00
2007/03/14	32.80	32.80	32.00	32.04	16274116	524501504.00
2007/03/15	32.26	33.16	32.26	32.48	13141221	429685312.00
2007/03/16	32.65	34.00	32.40	33.81	34631759	1156363776.00
2007/03/19	33.35	35.80	33.25	35.29	39511281	1380678400.00
2007/03/20	35.35	35.50	34.51	34.86	16869244	587636160.00
2007/03/21	35.05	35.15	34.20	34.61	13798976	477165024.00
2007/03/22	34.80	35.35	34.26	34.35	16867843	587140096.00
2007/03/23	34.35	34.80	33.71	34.00	15897976	542856512.00
2007/03/26	34.10	34.80	34.01	34.46	14241016	491147712.00
2007/03/27	34.55	34.62	34.00	34.23	14479478	495633184.00
2007/03/28	34.30	35.30	33.86	35.14	30599142	1063778752.00
2007/03/29	35.25	37.50	35.25	35.79	45301693	1641206400.00
2007/03/30	35.54	35.97	35.14	35.23	15986940	566770240.00
2007/04/02	35.32	35.89	35.14	35.55	16630644	591345856.00
2007/04/03	35.58	36.37	35.55	35.85	15296523	548848960.00
2007/04/04	35.88	35.90	35.15	35.26	16879687	597419648.00
2007/04/05	35.25	35.30	34.65	35.08	16418377	572793088.00
2007/04/06	34.89	35.66	34.75	35.21	13959466	492521120.00
2007/04/09	35.05	37.06	35.01	37.00	38200307	1377245184.00
2007/04/10	36.52	37.18	35.68	36.44	44552700	1624586624.00
2007/04/11	36.65	37.88	36.50	37.48	50506708	1886759168.00
2007/04/12	37.91	38.23	37.31	37.50	29856508	1127803648.00
2007/04/13	37.50	38.35	37.05	37.69	30177564	1135782144.00
2007/04/16	37.71	38.48	37.70	38.31	34212396	1303799040.00
2007/04/17	38.32	39.35	37.10	37.90	39132654	1503962752.00
2007/04/18	37.10	37.77	36.15	36.58	38568629	1419729536.00
2007/04/19	36.66	37.10	34.89	35.46	37582382	1350694272.00
