601668 中国建筑 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/07/29	6.70	7.96	6.21	6.53	4173160876	29167687680.00
2009/07/30	6.80	7.00	6.62	6.94	1648009626	11237231616.00
2009/07/31	6.80	6.92	6.68	6.85	1053505797	7145232384.00
2009/08/03	6.79	6.82	6.56	6.67	837175450	5577208320.00
2009/08/04	6.63	6.63	6.38	6.47	742853795	4820713472.00
2009/08/05	6.47	6.61	6.42	6.57	508919902	3316283136.00
2009/08/06	6.49	6.55	6.30	6.44	476334765	3059723264.00
2009/08/07	6.45	6.50	6.34	6.37	435538709	2791217920.00
2009/08/10	6.40	6.47	6.33	6.40	318814039	2038182144.00
2009/08/11	6.42	6.65	6.35	6.59	613056392	4006083072.00
2009/08/12	6.50	6.55	6.13	6.20	540682259	3431300608.00
2009/08/13	6.23	6.24	6.06	6.12	334374318	2046442112.00
2009/08/14	6.13	6.16	5.77	5.78	437289765	2594801664.00
2009/08/17	5.66	5.84	5.61	5.66	397298059	2278675200.00
2009/08/18	5.68	5.75	5.55	5.71	278523734	1576150784.00
2009/08/19	5.68	5.70	5.26	5.29	335996555	1829153280.00
2009/08/20	5.28	5.50	5.25	5.45	313995652	1694339200.00
2009/08/21	5.36	5.46	5.31	5.40	289163224	1556772608.00
2009/08/24	5.40	5.42	5.27	5.31	264949985	1411411072.00
2009/08/25	5.31	5.32	4.97	5.09	428567619	2175074048.00
2009/08/26	5.09	5.34	5.01	5.22	324064821	1690289792.00
2009/08/27	5.16	5.24	5.10	5.18	213538968	1102612608.00
2009/08/28	5.15	5.18	5.03	5.06	169045640	859749376.00
2009/08/31	5.00	5.14	4.96	5.00	288625952	1454839680.00
2009/09/01	5.03	5.22	5.00	5.14	297407133	1529558144.00
2009/09/02	5.06	5.15	5.05	5.13	168563367	860824576.00
2009/09/03	5.13	5.37	5.13	5.36	438072289	2317538560.00
2009/09/04	5.31	5.39	5.26	5.30	254967230	1355422592.00
2009/09/07	5.36	5.38	5.25	5.30	212369710	1127379456.00
2009/09/08	5.27	5.29	5.20	5.29	229458017	1201984128.00
2009/09/09	5.26	5.28	5.14	5.24	236404331	1230943616.00
2009/09/10	5.21	5.38	5.19	5.25	284795269	1508288128.00
2009/09/11	5.24	5.35	5.21	5.31	226346272	1197767040.00
2009/09/14	5.33	5.47	5.31	5.46	330657064	1778853376.00
2009/09/15	5.45	5.46	5.35	5.38	247023459	1332593792.00
2009/09/16	5.37	5.38	5.25	5.28	196993933	1042299968.00
2009/09/17	5.30	5.36	5.27	5.32	273207194	1451201152.00
2009/09/18	5.33	5.35	5.14	5.17	267536215	1404838144.00
2009/09/21	5.11	5.14	5.04	5.12	194996600	990785920.00
2009/09/22	5.12	5.16	5.04	5.06	167741028	854663168.00
2009/09/23	5.05	5.08	4.98	5.00	174803754	878122624.00
2009/09/24	4.98	4.99	4.83	4.87	195486550	957775744.00
2009/09/25	4.87	4.93	4.83	4.87	124805193	608503360.00
2009/09/28	4.89	4.90	4.71	4.73	133106450	642018944.00
2009/09/29	4.72	4.73	4.59	4.66	135634988	630415232.00
2009/09/30	4.68	4.73	4.62	4.64	91216446	425514944.00
2009/10/09	4.69	4.83	4.68	4.82	140188337	666819584.00
2009/10/12	4.81	4.81	4.72	4.74	87993811	418163296.00
2009/10/13	4.74	4.77	4.72	4.77	72010061	341524800.00
2009/10/14	4.78	5.25	4.77	5.25	827266388	4296323072.00
2009/10/15	5.17	5.25	5.07	5.13	396014191	2043220864.00
2009/10/16	5.13	5.19	5.05	5.14	180274334	922101760.00
2009/10/19	5.14	5.29	5.11	5.24	346563557	1815104128.00
2009/10/20	5.24	5.28	5.19	5.24	255478347	1333803392.00
2009/10/21	5.25	5.34	5.21	5.25	274814761	1451787136.00
2009/10/22	5.22	5.25	5.11	5.16	171282125	884108224.00
2009/10/23	5.17	5.30	5.17	5.22	239333674	1253036032.00
2009/10/26	5.22	5.29	5.17	5.26	168597141	879933568.00
2009/10/27	5.22	5.34	5.16	5.24	281902535	1485835264.00
2009/10/28	5.20	5.23	5.10	5.16	185544921	955414656.00
2009/10/29	4.89	4.95	4.70	4.79	1554732297	7477288448.00
2009/10/30	4.81	4.84	4.74	4.77	514527494	2464900864.00
2009/11/02	4.68	4.80	4.58	4.79	561353256	2637075200.00
2009/11/03	4.79	4.82	4.74	4.80	519826289	2487730176.00
2009/11/04	4.80	4.81	4.74	4.79	392985889	1876444672.00
2009/11/05	4.80	4.95	4.79	4.89	561176469	2737071872.00
2009/11/06	4.92	4.93	4.85	4.88	415556088	2028776832.00
2009/11/09	4.88	4.90	4.81	4.86	313401660	1518547968.00
2009/11/10	4.89	4.92	4.85	4.89	392275357	1916034944.00
2009/11/11	4.89	4.90	4.81	4.85	246422238	1193572480.00
2009/11/12	4.85	4.88	4.81	4.83	324008206	1566940800.00
2009/11/13	4.84	4.84	4.72	4.81	415196052	1983518592.00
2009/11/16	4.83	4.92	4.81	4.92	644345545	3144563712.00
2009/11/17	4.93	4.95	4.87	4.88	355936196	1743154176.00
2009/11/18	4.89	4.94	4.87	4.91	402309127	1971210368.00
2009/11/19	4.93	5.04	4.90	5.01	611579132	3043629824.00
2009/11/20	4.99	5.01	4.95	4.98	402857140	2007676416.00
2009/11/23	5.01	5.03	4.96	5.00	335496103	1676256384.00
2009/11/24	5.02	5.14	4.95	4.96	816413152	4113239552.00
2009/11/25	4.95	5.01	4.88	5.00	539547689	2668907008.00
2009/11/26	5.01	5.12	4.90	4.92	729819835	3663503104.00
2009/11/27	4.86	4.88	4.76	4.79	488379868	2352735232.00
2009/11/30	4.83	4.89	4.77	4.89	398339322	1928727936.00
2009/12/01	4.88	4.90	4.82	4.89	339444732	1650115200.00
2009/12/02	4.91	4.98	4.85	4.94	470372677	2314012928.00
2009/12/03	4.91	4.94	4.83	4.88	399063102	1945974144.00
2009/12/04	4.88	5.02	4.80	5.00	792342011	3898289664.00
2009/12/07	4.98	5.02	4.96	5.00	461633998	2302693376.00
2009/12/08	5.01	5.12	4.97	5.01	677905427	3416379392.00
2009/12/09	4.95	4.98	4.88	4.89	356505460	1756652672.00
2009/12/10	4.92	4.94	4.88	4.92	212480028	1041490688.00
2009/12/11	4.93	4.94	4.88	4.89	176620103	865353024.00
2009/12/14	4.90	5.01	4.81	4.97	372699909	1828642944.00
2009/12/15	4.95	4.95	4.88	4.90	228393458	1121871104.00
2009/12/16	4.88	4.91	4.84	4.86	181593462	884331136.00
2009/12/17	4.87	4.87	4.77	4.78	240477924	1156862464.00
2009/12/18	4.75	4.75	4.65	4.68	323860469	1520772864.00
2009/12/21	4.68	4.72	4.66	4.71	152306635	713811264.00
2009/12/22	4.72	4.72	4.55	4.56	246646073	1138775936.00
2009/12/23	4.57	4.60	4.44	4.53	273110774	1233027200.00
2009/12/24	4.56	4.63	4.50	4.61	261257885	1197821184.00
2009/12/25	4.60	4.65	4.55	4.60	164219197	753710720.00
2009/12/28	4.60	4.65	4.58	4.62	170185699	786459840.00
2009/12/29	4.61	4.62	4.54	4.59	167614613	766574976.00
2009/12/30	4.59	4.66	4.55	4.65	274413046	1267753088.00
2009/12/31	4.65	4.75	4.63	4.72	316977099	1492350080.00
2010/01/04	4.72	4.72	4.67	4.67	189604035	890046016.00
2010/01/05	4.67	4.68	4.57	4.63	193204930	892769152.00
2010/01/06	4.62	4.63	4.57	4.59	170806836	785179328.00
2010/01/07	4.58	4.60	4.50	4.53	223972348	1018802688.00
2010/01/08	4.51	4.56	4.50	4.55	126317325	572283776.00
2010/01/11	4.64	4.69	4.54	4.56	207790593	954946944.00
2010/01/12	4.56	4.60	4.50	4.59	211342557	962560064.00
2010/01/13	4.51	4.55	4.49	4.50	233579799	1055076352.00
2010/01/14	4.52	4.54	4.49	4.53	187676945	847917504.00
2010/01/15	4.53	4.56	4.51	4.55	140524328	637294144.00
2010/01/18	4.54	4.54	4.49	4.53	224541989	1012802240.00
2010/01/19	4.53	4.55	4.51	4.53	154225241	697815616.00
2010/01/20	4.53	4.54	4.40	4.42	291988464	1303517952.00
2010/01/21	4.44	4.47	4.40	4.43	267763651	1184906496.00
2010/01/22	4.40	4.41	4.33	4.41	249312743	1090291328.00
2010/01/26	4.36	4.39	4.22	4.27	250029800	1069686976.00
2010/01/27	4.26	4.28	4.21	4.26	127626154	542192960.00
2010/01/28	4.25	4.28	4.22	4.28	113170159	480832992.00
2010/01/29	4.25	4.30	4.23	4.26	116934683	498497632.00
2010/02/01	4.25	4.25	4.18	4.22	144308698	607239872.00
2010/02/02	4.22	4.25	4.19	4.19	101919584	430240928.00
2010/02/03	4.19	4.23	4.12	4.22	153725889	642905088.00
2010/02/04	4.20	4.33	4.17	4.27	189273209	803870784.00
2010/02/05	4.18	4.22	4.16	4.19	118487176	496697184.00
2010/02/08	4.19	4.22	4.17	4.19	79140446	331644384.00
2010/02/09	4.18	4.20	4.17	4.20	67292793	281919072.00
2010/02/10	4.22	4.24	4.20	4.24	74051355	312205600.00
2010/02/11	4.25	4.29	4.23	4.28	121922619	520765792.00
2010/02/12	4.28	4.29	4.25	4.28	113223624	484066720.00
2010/02/22	4.30	4.35	4.28	4.30	123793602	534577888.00
2010/02/23	4.30	4.30	4.21	4.26	94340948	400750784.00
2010/02/24	4.25	4.32	4.22	4.31	108111211	463006080.00
2010/02/25	4.34	4.37	4.31	4.36	174983203	759584384.00
2010/02/26	4.35	4.39	4.33	4.35	159813101	696766464.00
2010/03/01	4.35	4.39	4.32	4.36	158273683	689205248.00
2010/03/02	4.36	4.43	4.35	4.39	157190814	688983424.00
2010/03/03	4.40	4.43	4.36	4.38	130441949	572898752.00
2010/03/04	4.38	4.39	4.27	4.28	167531507	726301696.00
2010/03/05	4.28	4.31	4.25	4.28	104539593	447680448.00
2010/03/08	4.28	4.30	4.26	4.28	77233771	330959328.00
2010/03/09	4.28	4.36	4.25	4.33	126317035	544707968.00
2010/03/10	4.33	4.34	4.27	4.29	82028763	352762368.00
2010/03/11	4.29	4.32	4.26	4.30	76173400	327071904.00
2010/03/12	4.29	4.30	4.24	4.24	92729541	395430048.00
2010/03/15	4.24	4.26	4.20	4.22	74070351	312424384.00
2010/03/16	4.22	4.23	4.19	4.22	55651920	234188304.00
2010/03/17	4.22	4.28	4.22	4.27	102069245	433573184.00
2010/03/18	4.27	4.30	4.25	4.26	85570139	365396448.00
2010/03/19	4.28	4.29	4.24	4.28	81259137	346941568.00
2010/03/22	4.28	4.32	4.27	4.30	101146735	434509696.00
2010/03/23	4.30	4.30	4.24	4.25	92458946	394133792.00
2010/03/24	4.26	4.28	4.23	4.24	77390623	328807328.00
2010/03/25	4.23	4.24	4.18	4.19	116653972	489719104.00
2010/03/26	4.19	4.24	4.18	4.23	74160983	312346112.00
2010/03/29	4.24	4.46	4.22	4.37	426383292	1867802624.00
2010/03/30	4.34	4.36	4.30	4.33	166217589	719256448.00
2010/03/31	4.34	4.36	4.29	4.34	141580795	611011200.00
2010/04/01	4.33	4.42	4.32	4.40	248942994	1091267200.00
2010/04/02	4.40	4.41	4.36	4.40	146955539	644318144.00
2010/04/06	4.41	4.42	4.33	4.35	160370414	699803520.00
2010/04/07	4.34	4.35	4.31	4.32	107052761	462460736.00
2010/04/08	4.32	4.33	4.25	4.28	142882556	611375616.00
2010/04/12	4.30	4.31	4.22	4.24	165255468	701702272.00
2010/04/13	4.25	4.31	4.22	4.29	170226800	725972800.00
2010/04/14	4.28	4.29	4.24	4.26	90585486	385210816.00
2010/04/15	4.25	4.26	4.21	4.24	120562809	509927424.00
2010/04/16	4.22	4.24	4.20	4.22	84826153	357543904.00
2010/04/19	4.19	4.20	4.07	4.08	238455177	987030080.00
2010/04/20	4.08	4.11	4.01	4.05	157277709	635419904.00
2010/04/21	4.05	4.08	4.01	4.07	128580127	520063008.00
2010/04/22	4.07	4.07	4.01	4.02	123918856	499066400.00
2010/04/23	4.02	4.10	4.00	4.06	147304508	595291008.00
2010/04/26	4.06	4.07	4.01	4.02	85681563	345096128.00
2010/04/27	4.01	4.02	3.91	3.93	151469567	598598464.00
2010/04/28	3.92	3.95	3.89	3.91	82279521	322042656.00
2010/04/29	3.93	3.95	3.90	3.91	84106311	330283584.00
2010/04/30	3.90	3.95	3.87	3.94	104292659	407755072.00
2010/05/04	3.90	3.91	3.85	3.86	99508283	386256352.00
2010/05/05	3.83	3.89	3.75	3.88	148312629	564592896.00
2010/05/06	3.85	3.85	3.72	3.73	105399740	398429088.00
2010/05/07	3.68	3.73	3.64	3.69	138151878	508101888.00
2010/05/10	3.69	3.75	3.66	3.74	103387941	383901376.00
2010/05/12	3.67	3.79	3.64	3.77	120383388	449463136.00
2010/05/13	3.76	3.78	3.71	3.77	106421985	398859840.00
2010/05/14	3.74	3.74	3.69	3.70	85107280	316084384.00
2010/05/17	3.66	3.68	3.49	3.51	146051574	524169120.00
2010/05/18	3.50	3.68	3.43	3.67	216602134	771867968.00
2010/05/19	3.59	3.68	3.54	3.60	111819125	403677760.00
2010/05/20	3.58	3.64	3.55	3.60	80339522	288425920.00
2010/05/21	3.51	3.66	3.49	3.65	120091882	432761056.00
2010/05/24	3.67	3.76	3.64	3.73	167081064	621700544.00
2010/05/25	3.68	3.70	3.62	3.63	109764690	401219040.00
2010/05/26	3.61	3.67	3.61	3.62	57539863	209039504.00
2010/05/27	3.61	3.75	3.56	3.68	136467991	500846560.00
2010/05/28	3.69	3.71	3.63	3.65	87146051	319584512.00
2010/05/31	3.65	3.67	3.58	3.59	68527650	248479776.00
2010/06/01	3.57	3.60	3.51	3.59	79789683	283218592.00
2010/06/02	3.53	3.61	3.52	3.58	56461599	201408464.00
2010/06/03	3.60	3.61	3.53	3.56	59949601	214049424.00
2010/06/04	3.54	3.57	3.52	3.55	43223280	153162480.00
2010/06/07	3.50	3.52	3.45	3.49	68121731	237408128.00
2010/06/08	3.48	3.49	3.44	3.48	52703194	182757776.00
2010/06/09	3.49	3.57	3.46	3.55	92080679	323867456.00
2010/06/10	3.52	3.53	3.49	3.50	65314075	229414160.00
2010/06/11	3.52	3.57	3.50	3.53	102800010	363249760.00
2010/06/17	3.54	3.56	3.50	3.54	78953376	278793184.00
2010/06/18	3.55	3.57	3.47	3.48	83706117	295608128.00
2010/06/21	3.48	3.57	3.45	3.56	105522150	372306336.00
2010/06/22	3.54	3.56	3.53	3.55	62629835	222189504.00
2010/06/23	3.53	3.59	3.51	3.53	72938685	258601200.00
2010/06/24	3.53	3.55	3.50	3.53	52847513	186576032.00
2010/06/25	3.51	3.59	3.50	3.56	91622521	324588640.00
2010/06/28	3.56	3.60	3.53	3.59	98711871	352246848.00
2010/06/29	3.58	3.59	3.49	3.50	166600309	590953600.00
2010/06/30	3.47	3.52	3.43	3.51	85835586	296958240.00
2010/07/01	3.48	3.57	3.48	3.55	94792099	335452224.00
2010/07/02	3.56	3.69	3.55	3.68	259747603	940897472.00
2010/07/05	3.63	3.67	3.61	3.64	124566341	453731808.00
2010/07/06	3.64	3.67	3.63	3.66	89254126	326090432.00
2010/07/07	3.67	3.68	3.59	3.63	66369997	240284032.00
2010/07/08	3.63	3.65	3.60	3.60	62364423	225552080.00
2010/07/09	3.60	3.72	3.59	3.67	135311046	496187904.00
2010/07/12	3.67	3.75	3.65	3.73	145498191	540300352.00
2010/07/13	3.69	3.70	3.64	3.65	63086922	231263328.00
2010/07/14	3.65	3.72	3.65	3.67	93625178	344832896.00
2010/07/15	3.67	3.69	3.60	3.61	73834314	269215200.00
2010/07/16	3.60	3.62	3.58	3.60	47896020	172120352.00
2010/07/19	3.58	3.69	3.57	3.66	80541563	292445312.00
2010/07/20	3.66	3.74	3.65	3.71	119736365	443442720.00
2010/07/21	3.71	3.78	3.68	3.73	123885536	461376992.00
2010/07/22	3.71	3.77	3.70	3.75	107787480	403961632.00
2010/07/23	3.75	3.80	3.74	3.76	132927905	501210624.00
2010/07/26	3.77	3.80	3.73	3.76	99786265	375410784.00
2010/07/27	3.75	3.77	3.71	3.74	78801208	294448032.00
2010/07/28	3.75	3.83	3.72	3.80	212844781	803298816.00
2010/07/29	3.81	3.92	3.80	3.85	277609902	1072103552.00
2010/07/30	3.85	3.85	3.80	3.83	88729683	339665568.00
2010/08/02	3.83	3.89	3.81	3.87	113484845	437369824.00
2010/08/03	3.87	3.89	3.81	3.84	168082442	647524672.00
2010/08/04	3.83	3.89	3.79	3.85	157262745	602520576.00
2010/08/05	3.84	3.85	3.75	3.80	161129277	612106368.00
2010/08/06	3.78	3.79	3.72	3.78	148748438	558560384.00
2010/08/09	3.77	3.80	3.74	3.79	116736147	439640736.00
