601669 中国电建 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/18	4.78	6.23	4.72	5.27	1409339021	7049784832.00
2011/10/19	5.09	5.14	4.75	4.86	738834865	3655982592.00
2011/10/20	4.76	4.82	4.45	4.52	483183704	2215001856.00
2011/10/21	4.56	4.62	4.48	4.53	253867384	1156028672.00
2011/10/24	4.55	4.67	4.26	4.57	339496641	1507523712.00
2011/10/25	4.48	5.03	4.44	4.81	463473869	2201958912.00
2011/10/26	4.77	5.13	4.77	4.93	374647261	1847709824.00
2011/10/27	4.92	5.01	4.85	4.96	186583302	918040896.00
2011/10/28	5.04	5.18	4.92	4.97	218858481	1098185728.00
2011/10/31	4.95	5.08	4.84	5.06	196341938	976386560.00
2011/11/01	5.00	5.27	4.97	5.09	284853182	1461280768.00
2011/11/02	4.96	5.30	4.93	5.26	218048710	1111580032.00
2011/11/03	5.24	5.49	5.11	5.13	296750172	1574332160.00
2011/11/04	5.18	5.26	5.11	5.16	126444836	654151488.00
2011/11/07	5.13	5.20	5.07	5.11	109407011	561158208.00
2011/11/08	5.10	5.19	5.07	5.09	92631759	474734400.00
2011/11/09	5.13	5.14	4.90	5.11	148234921	748051904.00
2011/11/10	5.01	5.05	4.91	4.92	114524928	569857536.00
2011/11/11	4.93	4.95	4.78	4.84	110497570	537845504.00
2011/11/14	4.89	4.98	4.86	4.97	97851831	482647904.00
2011/11/15	4.94	4.97	4.88	4.92	53982486	265489008.00
2011/11/16	4.90	4.92	4.70	4.73	111819310	537366592.00
2011/11/17	4.71	4.75	4.61	4.69	84550335	395105120.00
2011/11/18	4.62	4.68	4.59	4.60	64616450	298606240.00
2011/11/21	4.61	4.67	4.54	4.67	54991695	252916672.00
2011/11/22	4.61	4.69	4.56	4.69	51807029	240249648.00
2011/11/23	4.69	4.71	4.61	4.61	43069293	200308736.00
2011/11/24	4.56	4.63	4.52	4.62	55275685	252460496.00
2011/11/25	4.60	4.61	4.50	4.53	58630208	266702576.00
2011/11/28	4.54	4.63	4.52	4.60	59948766	274387616.00
2011/11/29	4.63	4.65	4.57	4.62	45562703	209681632.00
2011/11/30	4.60	4.60	4.31	4.38	102221493	455560128.00
2011/12/01	4.56	4.62	4.47	4.53	126656666	576275648.00
2011/12/02	4.49	4.53	4.40	4.50	49304836	220030016.00
2011/12/05	4.48	4.48	4.36	4.38	39170829	173260768.00
2011/12/06	4.37	4.39	4.29	4.35	32539975	141135072.00
2011/12/07	4.34	4.37	4.28	4.31	31747972	137112784.00
2011/12/08	4.30	4.43	4.26	4.35	52394844	228290320.00
2011/12/09	4.31	4.38	4.31	4.36	22021731	95786848.00
2011/12/12	4.36	4.41	4.32	4.35	26084197	114091096.00
2011/12/13	4.34	4.35	4.18	4.20	59700592	253787344.00
2011/12/14	4.18	4.24	4.13	4.18	31324405	131554288.00
2011/12/15	4.14	4.20	4.08	4.09	36078668	149387440.00
2011/12/16	4.10	4.22	4.06	4.21	38102132	157728544.00
2011/12/19	4.16	4.25	4.07	4.23	44645266	186179520.00
2011/12/20	4.20	4.26	4.18	4.18	25233482	106407744.00
2011/12/21	4.22	4.24	4.06	4.07	36746583	152167296.00
2011/12/22	4.08	4.10	3.99	4.05	42490697	171164304.00
2011/12/23	4.04	4.12	4.00	4.07	49143889	199092112.00
2011/12/26	4.06	4.11	4.02	4.07	27988696	113657696.00
2011/12/27	4.06	4.10	4.02	4.03	26345681	106779968.00
2011/12/28	4.01	4.04	3.97	4.03	29604688	118462816.00
