601688 华泰证券 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/02/26	21.01	21.94	21.00	21.06	310913636	6631744512.00
2010/03/01	20.60	21.36	20.53	21.15	95596204	2010405376.00
2010/03/02	21.21	21.27	20.73	20.80	59522582	1246284928.00
2010/03/03	20.74	21.67	20.62	21.43	83469099	1766018176.00
2010/03/04	21.29	21.43	20.72	20.82	51391060	1081647488.00
2010/03/05	20.99	22.90	20.91	22.25	173176766	3835305216.00
2010/03/08	22.32	22.53	22.03	22.43	63005545	1405661184.00
2010/03/09	22.30	22.79	22.00	22.38	61894847	1385998080.00
2010/03/10	22.41	22.89	22.08	22.30	54364069	1221344640.00
2010/03/11	22.31	23.31	21.97	22.92	92174741	2092887296.00
2010/03/12	22.83	23.05	22.41	22.50	59972202	1359697024.00
2010/03/15	22.35	22.60	22.02	22.41	34719842	773403968.00
2010/03/16	22.17	22.48	22.00	22.32	43034558	956698816.00
2010/03/17	22.34	22.67	22.06	22.65	51425225	1151944832.00
2010/03/18	22.59	22.68	22.15	22.30	41388170	928659904.00
2010/03/19	22.30	22.43	22.08	22.31	28732202	638157632.00
2010/03/22	22.37	22.37	21.85	21.87	51184286	1127843072.00
2010/03/23	21.85	22.04	21.64	21.72	24308809	530022368.00
2010/03/24	21.75	21.94	21.69	21.79	18809321	409821184.00
2010/03/25	21.77	21.84	21.30	21.36	26296700	565827520.00
2010/03/26	21.32	21.88	21.32	21.68	21519786	465390048.00
2010/03/29	21.69	22.22	21.66	22.08	36178159	797688192.00
2010/03/30	22.06	22.06	21.68	21.87	26313492	574162368.00
2010/03/31	21.97	22.00	21.50	21.62	23476554	508736864.00
2010/04/01	21.60	21.95	21.51	21.90	27538202	598987520.00
2010/04/02	21.96	21.98	21.70	21.80	20084618	437922272.00
2010/04/06	21.85	22.05	21.70	21.84	20314394	444020896.00
2010/04/07	21.80	21.80	21.48	21.58	19640422	423532608.00
2010/04/08	21.54	21.72	21.35	21.36	22915881	492132640.00
2010/04/09	21.40	21.57	21.36	21.50	16154909	346477152.00
2010/04/12	21.51	21.55	21.10	21.20	21942922	466558784.00
2010/04/13	21.20	21.82	21.15	21.71	32611688	702675776.00
