601800 中国交建 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/03/09	6.99	7.09	6.41	6.66	564317801	3777891072.00
2012/03/12	6.70	6.74	6.37	6.45	246675003	1609656064.00
2012/03/13	6.45	6.49	6.34	6.47	158962909	1020441152.00
2012/03/14	6.47	6.53	6.01	6.02	202749073	1280444928.00
2012/03/15	5.98	6.06	5.78	5.80	135898098	800169984.00
2012/03/16	5.80	6.23	5.65	6.13	209273466	1241170048.00
2012/03/19	6.00	6.11	5.91	6.05	117872110	707258112.00
2012/03/20	6.01	6.01	5.80	5.81	79798808	469493120.00
2012/03/21	5.86	5.88	5.72	5.81	64375032	373880928.00
2012/03/22	5.85	5.99	5.80	5.87	81236259	478901600.00
2012/03/23	5.82	5.85	5.72	5.76	52173406	302193376.00
2012/03/26	5.74	5.89	5.71	5.84	48115893	279422176.00
2012/03/27	5.91	5.92	5.78	5.79	51317920	300481792.00
2012/03/28	5.76	5.78	5.66	5.69	58710869	335217152.00
2012/03/29	5.65	5.66	5.52	5.54	51336285	286804896.00
2012/03/30	5.55	5.59	5.51	5.57	33516414	186231264.00
2012/04/05	5.58	5.76	5.55	5.72	60243673	342017536.00
2012/04/06	5.70	5.71	5.62	5.67	49146034	278499264.00
2012/04/09	5.64	5.68	5.56	5.56	32894398	184657104.00
2012/04/10	5.55	5.61	5.49	5.61	41847051	231964048.00
2012/04/11	5.55	5.75	5.54	5.69	61538777	348683360.00
2012/04/12	5.68	5.75	5.62	5.72	58012397	330258976.00
2012/04/13	5.74	5.75	5.67	5.69	43755029	249598896.00
2012/04/16	5.66	5.71	5.63	5.69	31626933	179493072.00
2012/04/17	5.68	5.69	5.59	5.60	34807168	196197536.00
2012/04/18	5.62	5.81	5.60	5.78	77249921	441786464.00
2012/04/19	5.76	5.78	5.72	5.74	33721709	193806704.00
2012/04/20	5.73	5.92	5.72	5.90	83430433	488388096.00
2012/04/23	5.86	6.02	5.86	5.90	70004689	415362752.00
2012/04/24	5.87	6.05	5.82	6.03	89167249	531048768.00
2012/04/25	6.00	6.08	5.93	6.02	63331251	380286848.00
2012/04/26	5.96	5.98	5.84	5.87	59344943	350114240.00
2012/04/27	5.85	5.93	5.83	5.89	30633257	180140288.00
2012/05/02	5.95	5.95	5.87	5.89	46054103	272106368.00
2012/05/03	5.87	5.88	5.79	5.83	37374492	217933376.00
2012/05/04	5.80	5.86	5.79	5.85	29402968	171064256.00
2012/05/07	5.81	5.82	5.77	5.81	27209996	157626176.00
2012/05/08	5.81	5.88	5.79	5.87	37002261	216332112.00
2012/05/09	5.85	5.87	5.76	5.77	32910124	191673344.00
2012/05/10	5.77	5.80	5.67	5.69	30573586	174969712.00
2012/05/11	5.69	5.71	5.64	5.66	23541043	133527480.00
2012/05/14	5.70	5.71	5.62	5.63	25169200	142728880.00
2012/05/15	5.61	5.62	5.55	5.59	25617891	142980880.00
2012/05/16	5.59	5.62	5.56	5.56	16902287	94567304.00
2012/05/17	5.58	5.65	5.55	5.63	20500419	114953064.00
2012/05/18	5.59	5.60	5.50	5.53	28815086	159773072.00
2012/05/21	5.53	5.62	5.53	5.55	16998791	94649016.00
2012/05/22	5.58	5.67	5.57	5.66	33817146	190056272.00
2012/05/23	5.65	5.66	5.54	5.60	26789708	150355872.00
2012/05/24	5.63	5.65	5.54	5.56	21027394	117416840.00
2012/05/25	5.55	5.62	5.51	5.54	20657634	114844592.00
2012/05/28	5.53	5.73	5.52	5.72	49692269	280961600.00
2012/05/29	5.70	5.80	5.68	5.73	65414067	375256960.00
2012/05/30	5.71	5.71	5.62	5.64	38174810	215585328.00
2012/05/31	5.61	5.63	5.55	5.58	18414053	102878752.00
2012/06/01	5.58	5.60	5.53	5.56	21689998	120599056.00
2012/06/04	5.49	5.49	5.28	5.29	50931944	274971648.00
2012/06/05	5.30	5.32	5.15	5.20	37404519	194982576.00
2012/06/07	5.24	5.25	5.14	5.15	30681645	159424288.00
2012/06/08	5.19	5.19	5.13	5.16	28925389	149312384.00
2012/06/11	5.18	5.19	5.12	5.17	49046548	253049504.00
2012/06/12	5.12	5.15	5.04	5.06	42258509	215490080.00
2012/06/13	5.07	5.12	5.06	5.10	46763855	238326864.00
2012/06/14	5.08	5.09	5.00	5.02	39881499	200933920.00
2012/06/15	5.03	5.09	5.00	5.08	29873615	150263536.00
2012/06/18	5.08	5.09	5.05	5.06	18776703	95217424.00
2012/06/19	5.07	5.07	4.99	5.01	27132602	136239184.00
2012/06/20	5.02	5.03	4.95	5.00	30134458	150464272.00
2012/06/21	4.99	4.99	4.91	4.92	21979225	108567288.00
2012/06/25	4.90	4.92	4.87	4.87	15599261	76300312.00
2012/06/26	4.85	4.87	4.80	4.83	19302617	93226056.00
2012/06/27	4.82	4.85	4.79	4.83	24857910	119763448.00
2012/06/28	4.83	4.84	4.74	4.75	15883816	76170832.00
2012/06/29	4.73	4.82	4.72	4.81	20891859	99966672.00
2012/07/02	4.83	4.85	4.78	4.84	19302582	92848480.00
2012/07/03	4.83	4.86	4.80	4.81	16710399	80711456.00
2012/07/04	4.82	4.84	4.79	4.83	13040240	62814932.00
2012/07/05	4.81	4.82	4.75	4.82	16064628	76835472.00
2012/07/06	4.83	4.85	4.78	4.84	21858590	105278632.00
2012/07/09	4.82	4.82	4.69	4.74	21201261	101046680.00
2012/07/10	4.72	4.81	4.70	4.74	20702217	98718680.00
2012/07/11	4.74	4.84	4.74	4.84	19943910	95945648.00
2012/07/12	4.83	4.86	4.81	4.83	17142551	82831592.00
2012/07/13	4.82	4.84	4.80	4.81	10513693	50636684.00
2012/07/16	4.80	4.81	4.65	4.65	23637128	111318416.00
2012/07/17	4.65	4.68	4.61	4.63	27585609	128113984.00
2012/07/18	4.63	4.78	4.61	4.77	37966316	178300576.00
