601857 中国石油 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/11/05	48.60	48.62	41.70	43.96	1547499487	69991383040.00
2007/11/06	41.40	42.40	39.80	39.99	342977820	14000246784.00
2007/11/07	39.70	40.73	38.28	40.43	216618870	8575266816.00
2007/11/08	39.20	39.75	38.00	38.19	140050961	5447045120.00
2007/11/09	37.85	38.39	36.66	38.18	143226603	5379485184.00
2007/11/12	36.99	37.75	36.00	36.45	106270767	3907920384.00
2007/11/13	37.05	37.94	36.50	37.03	110540452	4127364864.00
2007/11/14	37.73	39.55	37.00	38.88	117135044	4484086272.00
2007/11/15	38.30	38.50	37.80	37.91	78225681	2978170880.00
2007/11/16	37.45	39.05	37.03	38.82	100419881	3874135296.00
2007/11/19	38.74	38.74	37.67	38.07	72918432	2775461632.00
2007/11/20	37.60	37.97	36.86	37.44	74227607	2769457664.00
2007/11/21	37.50	37.86	36.70	36.82	73896670	2745084160.00
2007/11/22	36.00	36.37	35.00	35.11	93696895	3343453952.00
2007/11/23	34.89	35.11	33.75	34.59	72126327	2469174272.00
2007/11/26	35.00	35.18	33.70	33.76	79180154	2718385152.00
2007/11/27	33.49	33.49	32.52	32.55	89219330	2934412288.00
2007/11/28	32.66	32.99	31.90	32.15	84353584	2726746624.00
2007/11/29	32.77	33.20	32.09	33.05	92477754	3021465600.00
2007/11/30	32.75	32.75	31.50	31.52	102415694	3268354560.00
2007/12/03	30.98	30.98	30.30	30.44	82453500	2514561792.00
2007/12/04	30.60	31.07	30.50	30.59	52118221	1601821952.00
2007/12/05	30.60	31.80	30.34	31.44	77030428	2403098112.00
2007/12/06	31.50	31.55	30.90	31.12	41854873	1303454080.00
2007/12/07	31.10	31.50	30.66	31.31	52003939	1615924352.00
2007/12/10	30.91	31.70	30.58	31.42	73573163	2302580992.00
2007/12/11	31.46	32.16	31.46	31.93	66667187	2120014208.00
2007/12/12	31.70	31.70	31.00	31.14	56570544	1767339904.00
2007/12/13	31.09	31.09	30.50	30.53	58102331	1787330944.00
2007/12/14	30.28	30.62	29.98	30.55	57449743	1734039808.00
2007/12/17	30.55	30.55	29.98	29.99	59891683	1799340160.00
2007/12/18	29.99	29.99	29.15	29.24	50223398	1484021376.00
2007/12/19	29.20	29.89	29.17	29.59	41305758	1220795776.00
2007/12/20	29.78	30.55	29.33	30.50	52217165	1573257728.00
2007/12/21	30.30	30.72	30.18	30.54	43126837	1312162176.00
2007/12/24	30.56	32.78	30.16	31.96	142801387	4504947712.00
2007/12/25	31.79	31.88	31.10	31.25	62721524	1973908992.00
2007/12/26	31.25	31.80	31.04	31.54	48529362	1521849984.00
2007/12/27	31.60	31.85	31.16	31.39	70075744	2205397760.00
2007/12/28	31.43	31.59	30.89	30.96	68640118	2138829952.00
2008/01/02	30.90	30.90	30.39	30.58	55001588	1681279232.00
2008/01/03	30.68	31.10	30.41	31.08	64202340	1971659776.00
2008/01/04	31.30	31.81	31.30	31.31	69320175	2183641088.00
2008/01/07	31.33	31.42	31.00	31.09	63000145	1959017728.00
