601878 浙商证券 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/06/26	12.17	12.17	12.17	12.17	257745	3136757.00
2017/06/27	13.39	13.39	13.39	13.39	123725	1656678.00
2017/06/28	14.73	14.73	14.73	14.73	1149421	16930972.00
2017/06/29	16.19	16.20	15.88	16.20	43571760	704517440.00
2017/06/30	16.79	17.78	16.34	17.01	177872146	3011118592.00
2017/07/03	16.56	16.97	16.36	16.86	94022194	1565011840.00
2017/07/04	16.85	18.12	16.85	17.20	107768676	1878355456.00
2017/07/05	17.07	18.92	16.98	18.92	152242710	2771258112.00
2017/07/06	18.95	19.18	18.02	18.71	137207515	2538616576.00
2017/07/07	18.36	18.99	18.03	18.56	112203290	2065992960.00
2017/07/10	18.11	18.43	17.40	17.59	92958345	1664286336.00
2017/07/11	17.48	18.28	17.47	17.70	81305463	1457528320.00
2017/07/12	17.40	17.64	16.87	17.37	64878921	1116933504.00
2017/07/13	17.10	17.75	17.00	17.35	59017407	1023352832.00
2017/07/14	17.23	18.18	17.20	17.76	69873576	1244795904.00
2017/07/17	17.62	17.86	15.98	16.04	78372860	1301901056.00
2017/07/18	15.87	16.29	15.62	16.10	50292083	802457536.00
2017/07/19	15.96	17.20	15.63	17.17	85713519	1415051136.00
2017/07/20	16.92	17.24	16.64	16.70	63440192	1073227008.00
2017/07/21	16.57	16.88	16.15	16.24	42310595	697251072.00
2017/07/24	16.18	16.45	16.06	16.35	32951160	536450656.00
2017/07/25	16.30	16.52	16.03	16.13	28809309	467872512.00
2017/07/26	16.10	16.34	15.71	16.01	34795649	557087808.00
2017/07/27	15.90	17.09	15.68	16.52	61560727	1009364864.00
2017/07/28	16.32	16.38	15.90	16.06	39382863	635964864.00
2017/07/31	16.06	16.49	15.92	16.34	38643441	628401024.00
2017/08/01	16.39	17.17	16.36	16.68	65911080	1108038272.00
2017/08/02	16.50	18.10	16.40	17.45	96941148	1667729280.00
2017/08/03	17.32	17.55	17.03	17.19	56975723	983229824.00
2017/08/04	17.11	18.66	17.07	17.89	95710679	1713694336.00
2017/08/07	17.95	18.87	17.81	18.12	74740200	1362194816.00
2017/08/08	17.81	18.80	17.41	18.76	91991534	1660474752.00
2017/08/09	18.49	18.65	17.82	17.88	68851756	1252451968.00
2017/08/10	17.70	19.67	17.61	18.66	98037150	1841477120.00
2017/08/11	18.12	18.88	17.30	17.54	85596151	1552881664.00
2017/08/14	17.50	18.08	17.32	17.90	51827786	919404800.00
2017/08/15	17.77	18.25	17.61	17.85	46256026	827590336.00
2017/08/16	17.75	18.78	17.47	18.38	80472254	1468263680.00
2017/08/17	18.10	18.79	18.02	18.69	72058170	1322929664.00
2017/08/18	18.48	18.64	18.13	18.25	50445685	926672704.00
2017/08/21	18.15	19.06	18.13	18.96	75018789	1401030144.00
2017/08/22	19.20	19.48	18.70	18.75	81782269	1561426944.00
2017/08/23	18.70	19.58	18.35	18.94	90859102	1721906304.00
2017/08/24	18.58	18.88	18.04	18.19	65556613	1207569792.00
2017/08/25	18.07	20.01	18.05	20.01	117330537	2264236032.00
2017/08/28	21.00	22.01	20.62	22.01	132532435	2837892864.00
2017/08/29	23.10	23.58	22.06	22.21	186098691	4269879808.00
2017/08/30	21.92	23.28	21.82	22.22	131648318	2965977600.00
2017/08/31	21.85	23.38	21.85	23.04	112937650	2564190976.00
2017/09/01	22.95	23.08	22.30	22.82	93219354	2112027264.00
2017/09/04	22.60	23.35	22.16	22.92	78160578	1776928896.00
2017/09/05	22.80	24.19	22.66	23.25	106995875	2506298624.00
2017/09/06	22.81	23.49	22.45	23.00	68245025	1558100608.00
2017/09/07	22.97	23.34	22.70	22.80	60064741	1376961792.00
2017/09/08	22.90	23.19	22.60	22.94	55020421	1262051328.00
2017/09/11	22.59	22.85	22.22	22.44	56938278	1279784064.00
2017/09/12	22.45	23.49	22.45	22.75	74809059	1712414080.00
2017/09/13	22.50	22.68	22.05	22.41	41550037	928549632.00
2017/09/14	22.55	22.97	22.30	22.41	44795300	1013703232.00
2017/09/15	22.48	23.42	22.20	22.88	78620184	1806232576.00
2017/09/18	22.79	24.15	22.68	23.59	88860321	2093968384.00
2017/09/19	23.20	23.35	22.51	22.78	57611055	1318420992.00
2017/09/20	22.80	23.08	22.61	22.99	37816368	864659520.00
2017/09/21	22.90	23.35	22.60	22.62	46127892	1060145216.00
2017/09/22	22.30	22.32	21.31	21.34	56144806	1216221440.00
2017/09/25	21.02	21.04	20.06	20.27	43029097	882401088.00
2017/09/26	20.26	20.51	20.12	20.49	23499570	477590336.00
2017/09/27	20.49	20.56	20.22	20.34	22223770	452863072.00
2017/09/28	20.33	20.77	20.26	20.58	28800019	591259840.00
2017/09/29	20.65	21.50	20.65	21.30	39623019	840742912.00
2017/10/09	21.99	22.16	21.00	21.07	31639694	675030720.00
2017/10/10	20.82	21.39	20.63	21.18	25242890	528872960.00
2017/10/11	21.16	21.16	20.82	20.96	17170658	360274656.00
2017/10/12	20.94	21.12	20.32	20.59	19338675	400902432.00
2017/10/13	20.63	20.83	20.46	20.69	15350349	316754400.00
2017/10/16	20.58	21.02	20.20	20.25	22307380	461031424.00
2017/10/17	20.18	20.19	19.33	19.35	34836876	683439936.00
2017/10/18	19.35	19.59	18.58	18.66	27449910	524069664.00
2017/10/19	18.60	18.79	18.04	18.18	26255517	479076256.00
2017/10/20	18.20	18.54	18.15	18.50	18188445	334014368.00
2017/10/23	18.51	18.65	18.22	18.64	17218390	317966816.00
2017/10/24	18.60	18.98	18.51	18.74	22856692	429753888.00
2017/10/25	18.57	18.64	18.29	18.61	21342854	394434336.00
2017/10/26	18.51	19.29	18.37	19.04	32685286	620462656.00
2017/10/27	18.86	19.12	18.68	18.74	17262422	326075200.00
2017/10/30	18.50	18.50	17.01	17.26	36765183	645280064.00
2017/10/31	17.20	17.41	17.01	17.25	18995394	326710784.00
2017/11/01	17.30	17.63	17.20	17.26	17779014	309184352.00
2017/11/02	17.11	17.69	16.71	17.41	29897192	515814016.00
2017/11/03	17.32	17.48	17.22	17.38	16033284	278075328.00
2017/11/06	17.31	17.47	17.20	17.44	12865193	223056640.00
2017/11/07	17.43	17.99	17.30	17.77	28895255	511350272.00
2017/11/08	17.65	18.94	17.50	18.20	46504263	847927360.00
2017/11/09	18.00	18.28	17.90	18.12	20421058	368995520.00
2017/11/10	18.15	18.69	18.02	18.38	29163964	535750848.00
2017/11/13	18.38	18.66	18.11	18.20	20889599	382645632.00
2017/11/14	18.29	18.31	17.80	17.84	18542570	332788032.00
2017/11/15	17.85	18.16	17.75	17.86	15371264	275908800.00
