601881 中国银河 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/23	8.17	9.81	8.17	9.81	460605	4500167.00
2017/01/24	10.79	10.79	10.79	10.79	543559	5865002.00
2017/01/25	11.87	11.87	11.87	11.87	3411293	40492048.00
2017/01/26	12.12	12.56	11.71	11.82	250258326	3011690752.00
2017/02/03	11.40	11.46	10.94	10.99	137357355	1524197504.00
2017/02/06	10.92	11.16	10.89	11.09	95540887	1053024384.00
2017/02/07	11.02	11.02	10.73	10.77	101587980	1103797760.00
2017/02/08	10.72	11.60	10.56	11.44	181647143	2017168256.00
2017/02/09	11.19	11.56	11.14	11.22	154098285	1746576640.00
2017/02/10	11.16	12.34	11.13	12.01	247220421	2935568128.00
2017/02/13	11.85	12.48	11.80	12.21	197333737	2404384512.00
2017/02/14	12.20	13.39	12.10	12.83	188415520	2402167040.00
2017/02/15	12.60	13.39	12.43	12.90	186309304	2393880576.00
2017/02/16	12.70	14.19	12.61	14.19	258173091	3509339136.00
2017/02/17	14.40	15.61	13.90	13.94	319172035	4733039616.00
2017/02/20	13.51	14.13	13.33	13.94	182269350	2499167744.00
2017/02/21	13.90	14.37	13.55	13.72	142200201	1984682240.00
2017/02/22	13.60	13.67	13.25	13.40	100347216	1344697344.00
2017/02/23	13.40	13.72	13.29	13.62	95041851	1286012928.00
2017/02/24	13.51	13.77	13.36	13.65	74232257	1004518528.00
2017/02/27	13.60	13.64	13.20	13.27	68411207	918831872.00
2017/02/28	13.21	13.80	13.21	13.77	108163892	1473464576.00
2017/03/01	13.80	14.04	13.55	13.61	86146331	1183346048.00
2017/03/02	13.66	14.64	13.58	14.15	170174302	2427124480.00
2017/03/03	13.97	13.99	13.69	13.86	75143772	1039278848.00
2017/03/06	13.80	14.15	13.70	14.01	69916694	974714176.00
2017/03/07	13.99	14.17	13.78	14.15	72273183	1011420608.00
2017/03/08	14.12	14.14	13.82	13.92	59994170	837891072.00
2017/03/09	13.86	13.93	13.59	13.83	66501110	913326656.00
2017/03/10	13.73	13.89	13.25	13.31	62716029	851632256.00
2017/03/13	13.12	13.25	12.92	13.21	46814282	613373440.00
2017/03/14	13.18	13.45	13.17	13.22	40497808	538099456.00
2017/03/15	13.20	13.33	13.15	13.22	31571655	418008896.00
2017/03/16	13.32	14.54	13.31	14.54	168321330	2394729728.00
2017/03/17	15.30	15.58	14.05	14.11	239956612	3566685952.00
2017/03/20	14.10	14.22	13.75	13.96	97369774	1354514304.00
2017/03/21	13.82	14.07	13.76	13.99	71375349	995467712.00
2017/03/22	13.81	14.06	13.77	13.89	61256367	850334720.00
2017/03/23	13.85	14.78	13.84	14.25	118472361	1696371584.00
2017/03/24	14.09	14.66	13.93	14.50	110291061	1572560128.00
2017/03/27	14.52	15.20	14.36	14.64	137051254	2028596224.00
2017/03/28	14.49	14.70	14.35	14.56	70266763	1018060608.00
2017/03/29	14.55	14.55	13.20	13.53	104393966	1465791872.00
2017/03/30	13.30	13.47	13.12	13.17	65643256	872989120.00
2017/03/31	13.27	13.51	13.24	13.36	44069599	589815424.00
2017/04/05	13.31	13.79	12.96	13.75	60775106	817957120.00
2017/04/06	13.65	13.83	13.58	13.76	43850657	601206400.00
2017/04/07	13.71	13.84	13.54	13.56	42443406	579815552.00
2017/04/10	13.40	13.45	13.03	13.10	47904961	633619968.00
2017/04/11	13.06	13.50	12.97	13.42	53549349	707436480.00
2017/04/12	13.46	13.68	13.22	13.28	47285612	636538880.00
2017/04/13	13.19	13.47	13.16	13.33	28607855	380630592.00
2017/04/14	13.27	13.29	12.98	13.06	34545560	452122944.00
2017/04/17	12.75	12.84	12.49	12.56	33910000	428904672.00
2017/04/18	12.60	12.72	12.14	12.16	25010293	311366656.00
2017/04/19	12.15	12.29	12.01	12.23	28004732	341391136.00
2017/04/20	12.21	12.34	11.75	12.27	38628577	467113856.00
2017/04/21	12.20	12.29	12.12	12.21	16611047	202777760.00
2017/04/24	12.19	12.19	11.84	11.96	20181836	241657552.00
2017/04/25	12.03	12.13	11.90	11.90	19125480	230123376.00
2017/04/26	11.88	12.79	11.81	12.26	44063008	542793472.00
2017/04/27	12.15	12.45	11.96	12.38	41071289	502006784.00
2017/04/28	12.31	12.36	12.23	12.30	19893114	244666272.00
2017/05/02	12.25	12.37	12.21	12.34	17578998	215974064.00
2017/05/03	12.33	12.44	12.22	12.32	20279602	250071632.00
2017/05/04	12.27	12.36	12.03	12.11	23651188	288211808.00
2017/05/05	12.05	12.31	11.80	11.88	28948144	347955744.00
2017/05/08	11.70	11.79	11.39	11.40	22444299	261495216.00
2017/05/09	11.41	11.67	11.40	11.57	20619609	238112416.00
2017/05/10	11.54	12.15	11.50	11.61	43757542	516082432.00
2017/05/11	11.45	11.75	11.28	11.71	32369922	374137888.00
2017/05/12	11.62	11.98	11.60	11.80	32533808	384987328.00
2017/05/15	11.73	11.94	11.72	11.77	22704048	268164080.00
2017/05/16	11.73	11.95	11.51	11.94	29578126	348540192.00
2017/05/17	11.89	12.07	11.84	11.86	27475522	328063456.00
2017/05/18	11.70	11.78	11.47	11.51	23569298	274471936.00
2017/05/19	11.48	11.61	11.42	11.46	11664659	134125312.00
2017/05/22	11.46	11.46	10.90	10.91	23534342	262604640.00
2017/05/23	10.93	11.05	10.63	10.70	20069487	217677152.00
