601985 中国核电 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/10	4.07	4.88	4.07	4.88	741098	3575896.25
2015/06/11	5.37	5.37	5.37	5.37	381000	2045970.00
2015/06/12	5.91	5.91	5.91	5.91	394551	2331796.50
2015/06/15	6.50	6.50	6.50	6.50	589542	3832023.00
2015/06/16	7.15	7.15	7.15	7.15	807100	5770765.00
2015/06/17	7.87	7.87	7.87	7.87	1532229	12058642.00
2015/06/18	8.66	8.66	8.66	8.66	1332448	11539000.00
2015/06/19	9.53	9.53	9.53	9.53	7689915	73284888.00
2015/06/23	10.48	10.48	10.48	10.48	13405468	140489312.00
2015/06/24	11.53	11.53	11.53	11.53	6919239	79778824.00
2015/06/25	12.68	12.68	12.68	12.68	5769394	73155912.00
2015/06/26	13.95	13.95	13.01	13.95	1616476991	22291048448.00
2015/06/29	13.70	13.95	12.56	13.23	1705666148	22663794688.00
2015/06/30	12.80	13.66	11.91	13.07	1311217241	16530763776.00
2015/07/01	12.60	14.38	12.01	13.32	1773514694	24113340416.00
2015/07/02	12.25	13.00	11.99	11.99	1059540489	13092278272.00
2015/07/03	11.25	11.85	10.79	10.79	666030627	7354151424.00
2015/07/06	11.87	11.87	9.71	10.12	1067461326	11480445952.00
2015/07/07	9.31	9.55	9.11	9.11	317142519	2924318208.00
2015/07/08	8.20	8.20	8.20	8.20	47199400	387035072.00
2015/07/09	7.38	9.02	7.38	9.02	945802971	7874380800.00
2015/07/10	9.08	9.92	9.04	9.92	361108681	3476178688.00
2015/07/13	10.68	10.91	10.30	10.91	728043096	7828808192.00
2015/07/14	11.32	11.97	10.87	11.52	1130123296	12981596160.00
2015/07/15	10.98	11.23	10.37	10.37	607443077	6471086592.00
2015/07/16	9.90	11.33	9.48	10.86	693476030	7428417536.00
2015/07/17	10.95	11.80	10.66	11.51	707499007	7989513728.00
2015/07/20	11.45	11.66	11.00	11.36	718661252	8158905344.00
2015/07/21	11.02	12.50	10.90	12.18	987526656	11764907008.00
2015/07/22	11.88	12.10	11.55	11.91	721371677	8554125824.00
2015/07/23	11.80	12.70	11.61	12.18	778419729	9507649536.00
