601988 中国银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/07/05	3.99	4.05	3.76	3.79	1763902019	6846112256.00
2006/07/06	3.75	3.76	3.69	3.72	372556548	1386100864.00
2006/07/07	3.72	3.73	3.66	3.68	209798556	773673472.00
2006/07/10	3.68	3.72	3.66	3.70	112723615	416198688.00
2006/07/11	3.71	3.78	3.67	3.75	135645050	502750848.00
2006/07/12	3.74	3.74	3.70	3.70	100725025	373950912.00
2006/07/13	3.70	3.70	3.59	3.60	258989832	942429312.00
2006/07/14	3.57	3.63	3.55	3.59	118966331	426321600.00
2006/07/17	3.58	3.59	3.55	3.58	67495933	241009744.00
2006/07/18	3.59	3.59	3.54	3.57	57243142	203499344.00
2006/07/19	3.57	3.57	3.48	3.50	95222836	334635616.00
2006/07/20	3.49	3.52	3.49	3.51	53178063	186634944.00
2006/07/21	3.51	3.55	3.49	3.51	60634862	213124496.00
2006/07/24	3.48	3.49	3.45	3.46	66774440	231387120.00
2006/07/25	3.46	3.49	3.46	3.47	52818380	183392208.00
2006/07/26	3.47	3.47	3.43	3.45	74410690	256198144.00
2006/07/27	3.45	3.54	3.44	3.48	92582190	323081888.00
2006/07/28	3.48	3.48	3.43	3.45	59160128	203845536.00
2006/07/31	3.44	3.45	3.34	3.36	89322402	302049280.00
2006/08/01	3.36	3.36	3.30	3.32	88418114	293918016.00
2006/08/02	3.30	3.36	3.28	3.35	102511776	339633536.00
2006/08/03	3.32	3.35	3.31	3.34	50889734	169260944.00
2006/08/04	3.34	3.35	3.28	3.29	44824229	148433248.00
2006/08/07	3.28	3.28	3.22	3.23	57607780	187260768.00
2006/08/08	3.23	3.28	3.23	3.27	44421231	144421120.00
2006/08/09	3.27	3.28	3.24	3.25	36077938	117505384.00
2006/08/10	3.25	3.29	3.25	3.28	37938593	124213512.00
2006/08/11	3.28	3.29	3.25	3.27	24708127	80733984.00
2006/08/14	3.27	3.29	3.22	3.24	41414009	134668272.00
2006/08/15	3.24	3.28	3.23	3.27	33670774	109716464.00
2006/08/16	3.27	3.34	3.27	3.32	76019264	252082432.00
2006/08/17	3.31	3.32	3.26	3.29	32591317	106997680.00
2006/08/18	3.29	3.31	3.27	3.27	19854410	65218364.00
2006/08/21	3.23	3.28	3.22	3.27	31811883	103496312.00
2006/08/22	3.28	3.30	3.26	3.27	33586613	110093104.00
2006/08/23	3.28	3.30	3.26	3.27	33202304	108875592.00
2006/08/24	3.28	3.29	3.25	3.29	32092035	104905120.00
2006/08/25	3.27	3.29	3.26	3.27	45851332	150005312.00
2006/08/28	3.28	3.31	3.26	3.30	77808371	256198992.00
2006/08/29	3.30	3.32	3.28	3.29	70403527	232074464.00
2006/08/30	3.29	3.30	3.26	3.28	26701105	87417448.00
2006/08/31	3.28	3.28	3.25	3.26	38903741	126979584.00
2006/09/01	3.26	3.27	3.23	3.24	51244276	166262464.00
2006/09/04	3.24	3.26	3.23	3.25	37311100	121184552.00
2006/09/05	3.25	3.30	3.24	3.27	53845471	176478976.00
2006/09/06	3.27	3.29	3.26	3.29	29958342	98165488.00
2006/09/07	3.29	3.31	3.26	3.27	44039473	144855792.00
2006/09/08	3.27	3.29	3.26	3.28	27341007	89512608.00
2006/09/11	3.28	3.31	3.27	3.31	47648978	156923440.00
2006/09/12	3.31	3.39	3.30	3.37	148916082	498417920.00
2006/09/13	3.36	3.39	3.35	3.35	91335350	308045280.00
2006/09/14	3.35	3.38	3.32	3.34	41532830	139198752.00
2006/09/15	3.34	3.49	3.34	3.46	235315445	810199296.00
2006/09/18	3.48	3.49	3.42	3.44	87770807	302404768.00
2006/09/19	3.44	3.46	3.41	3.43	53086980	182411104.00
2006/09/20	3.43	3.44	3.37	3.38	76731336	260232608.00
2006/09/21	3.38	3.41	3.36	3.39	61941451	209820288.00
2006/09/22	3.40	3.41	3.33	3.34	75748160	255130704.00
2006/09/25	3.33	3.35	3.30	3.33	54419554	180668304.00
2006/09/26	3.32	3.32	3.30	3.32	30321131	100425920.00
2006/09/27	3.32	3.34	3.31	3.34	36744012	122318752.00
2006/09/28	3.34	3.34	3.31	3.32	40060440	133114424.00
2006/09/29	3.33	3.35	3.32	3.33	75918295	253369856.00
2006/10/09	3.34	3.41	3.30	3.40	344949608	1154032128.00
2006/10/10	3.38	3.39	3.34	3.35	126860451	427201024.00
2006/10/11	3.35	3.37	3.33	3.35	68624891	229405088.00
2006/10/12	3.35	3.36	3.31	3.33	76388243	254565328.00
2006/10/13	3.33	3.39	3.33	3.36	133088896	448254624.00
2006/10/16	3.37	3.38	3.34	3.35	52412174	175664496.00
2006/10/17	3.34	3.35	3.32	3.34	53312934	177675040.00
2006/10/18	3.33	3.36	3.31	3.36	58916829	196459312.00
2006/10/19	3.36	3.36	3.32	3.34	67410842	225282704.00
2006/10/20	3.34	3.38	3.33	3.35	74091212	248472000.00
2006/10/23	3.35	3.36	3.30	3.31	65603278	218599936.00
2006/10/24	3.31	3.37	3.31	3.37	76319248	255208912.00
2006/10/25	3.37	3.42	3.35	3.37	167125900	565179264.00
2006/10/26	3.37	3.41	3.35	3.39	166634709	564743680.00
2006/10/27	3.39	3.39	3.29	3.30	173587278	576874496.00
2006/10/30	3.30	3.30	3.25	3.26	102416565	334425696.00
2006/10/31	3.28	3.31	3.26	3.28	60597140	198971968.00
2006/11/01	3.29	3.30	3.26	3.30	70536353	231167968.00
2006/11/02	3.30	3.30	3.27	3.28	52001247	170438624.00
2006/11/03	3.28	3.35	3.27	3.32	108387770	359205312.00
2006/11/06	3.30	3.34	3.29	3.34	80629744	268147552.00
2006/11/07	3.35	3.38	3.33	3.36	106604769	357550336.00
2006/11/08	3.36	3.37	3.32	3.32	46933197	156561936.00
2006/11/09	3.31	3.36	3.31	3.35	65601604	218935584.00
2006/11/10	3.35	3.42	3.35	3.36	286098113	969951936.00
2006/11/13	3.37	3.44	3.36	3.38	179841150	611044160.00
2006/11/14	3.40	3.44	3.38	3.42	141501546	482915808.00
2006/11/15	3.43	3.43	3.37	3.43	126622215	430958112.00
2006/11/16	3.44	3.76	3.44	3.66	688034405	2469796096.00
2006/11/17	3.64	3.68	3.59	3.65	310467197	1129710976.00
