2016/01/04 {'chg': -0.09734513274336289, 'volume': 87982647, 'rate': -0.021975061224968007, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 15.7, 'closing': 14.28, 'highest': 15.74, 'lowest': 14.25, 'avg': 14.9925}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': 0.0035014005602241396, 'volume': 109998804, 'rate': 0.006357992192116657, 'vol_chg': 0.2502329465036441, 'relation': (True, False), 'RSI': 3.4720088490137493, 'price': {'opening': 13.88, 'closing': 14.33, 'highest': 14.7, 'lowest': 13.7, 'avg': 14.1525}, 'KDJ': {'RSV': 100.0, 'K': 66.66666666666666, 'D': 55.55555555555554, 'J': 88.88888888888889}}
2016/01/06 {'chg': 0.017445917655268667, 'volume': 80405641, 'rate': -0.0072745868514935, 'vol_chg': -0.26903167965353514, 'relation': (False, False), 'RSI': 17.708076927731145, 'price': {'opening': 14.3, 'closing': 14.58, 'highest': 14.64, 'lowest': 14.16, 'avg': 14.42}, 'KDJ': {'RSV': 100.0, 'K': 77.77777777777777, 'D': 62.96296296296295, 'J': 107.40740740740742}}
2016/01/07 {'chg': -0.09259259259259257, 'volume': 21847900, 'rate': -0.01524488071365672, 'vol_chg': -0.7282790146527157, 'relation': (False, False), 'RSI': 9.93305066244891, 'price': {'opening': 14.2, 'closing': 13.23, 'highest': 14.3, 'lowest': 13.15, 'avg': 13.719999999999999}, 'KDJ': {'RSV': 0.0, 'K': 51.85185185185185, 'D': 59.259259259259245, 'J': 37.03703703703705}}
2016/01/08 {'chg': 0.021164021164021114, 'volume': 154514786, 'rate': -0.0004801538930106486, 'vol_chg': 6.072294637013169, 'relation': (True, False), 'RSI': 18.14760142694365, 'price': {'opening': 13.62, 'closing': 13.51, 'highest': 14.17, 'lowest': 12.91, 'avg': 13.5525}, 'KDJ': {'RSV': 20.740740740740698, 'K': 41.48148148148147, 'D': 53.333333333333314, 'J': 17.77777777777777}}
2016/01/11 {'chg': -0.07179866765358998, 'volume': 132797475, 'rate': -0.013238539199793384, 'vol_chg': -0.14055166862801077, 'relation': (False, False), 'RSI': 13.85935614894261, 'price': {'opening': 13.2, 'closing': 12.54, 'highest': 13.29, 'lowest': 12.39, 'avg': 12.854999999999999}, 'KDJ': {'RSV': 0.0, 'K': 27.65432098765431, 'D': 44.77366255144031, 'J': -6.584362139917687}}
2016/01/12 {'chg': 0.013556618819776852, 'volume': 109661541, 'rate': 0.011359240641397993, 'vol_chg': -0.1742196830173164, 'relation': (False, False), 'RSI': 17.538498760583067, 'price': {'opening': 12.72, 'closing': 12.71, 'highest': 12.94, 'lowest': 12.53, 'avg': 12.725}, 'KDJ': {'RSV': 8.333333333333414, 'K': 21.21399176954734, 'D': 36.92043895747599, 'J': -10.19890260630995}}
2016/01/13 {'chg': -0.009441384736428087, 'volume': 108188489, 'rate': 0.01714689122195611, 'vol_chg': -0.013432712932604148, 'relation': (False, False), 'RSI': 17.031875310137032, 'price': {'opening': 12.86, 'closing': 12.59, 'highest': 12.99, 'lowest': 12.55, 'avg': 12.747500000000002}, 'KDJ': {'RSV': 2.4509803921568967, 'K': 14.959654643750525, 'D': 29.600177519567495, 'J': -14.321391107883414}}
2016/01/14 {'chg': 0.02144559173947574, 'volume': 98794409, 'rate': -0.00019858331755602185, 'vol_chg': -0.0868306793710743, 'relation': (False, False), 'RSI': 22.140531162749724, 'price': {'opening': 12.17, 'closing': 12.86, 'highest': 12.94, 'lowest': 12.03, 'avg': 12.5}, 'KDJ': {'RSV': 15.686274509803928, 'K': 15.201861265768326, 'D': 24.800738768301105, 'J': -3.9958937392972373}}
2016/01/15 {'chg': -0.020217729393468102, 'volume': 92409046, 'rate': 0.01878573327275665, 'vol_chg': -0.06463283767404288, 'relation': (False, False), 'RSI': 20.925822164144524, 'price': {'opening': 12.73, 'closing': 12.6, 'highest': 12.83, 'lowest': 12.35, 'avg': 12.627500000000001}, 'KDJ': {'RSV': 2.941176470588258, 'K': 11.114966334041636, 'D': 20.238814623547945, 'J': -7.132730244970986}}
2016/01/18 {'chg': 0.005555555555555578, 'volume': 52572033, 'rate': 0.0007213235631220874, 'vol_chg': -0.4310943000104124, 'relation': (False, False), 'RSI': 29.874696762598514, 'price': {'opening': 12.33, 'closing': 12.67, 'highest': 12.88, 'lowest': 12.27, 'avg': 12.537500000000001}, 'KDJ': {'RSV': 6.372549019607878, 'K': 9.534160562563716, 'D': 16.67059660321987, 'J': -4.738711518748591}}
2016/01/19 {'chg': 0.037095501183899024, 'volume': 85268291, 'rate': 0.0017177125119993905, 'vol_chg': 0.621932539683219, 'relation': (True, False), 'RSI': 37.4663609413693, 'price': {'opening': 12.7, 'closing': 13.14, 'highest': 13.22, 'lowest': 12.57, 'avg': 12.9075}, 'KDJ': {'RSV': 29.41176470588241, 'K': 16.160028610336614, 'D': 16.500407272258784, 'J': 15.479271286492278}}
2016/01/20 {'chg': -0.012937595129375945, 'volume': 67658199, 'rate': -0.0016210975107248202, 'vol_chg': -0.2065256825658673, 'relation': (False, False), 'RSI': 32.313796407323245, 'price': {'opening': 13.14, 'closing': 12.97, 'highest': 13.27, 'lowest': 12.83, 'avg': 13.0525}, 'KDJ': {'RSV': 44.32989690721662, 'K': 25.549984709296616, 'D': 19.516933084604727, 'J': 37.6160879586804}}
2016/01/21 {'chg': -0.04471858134155744, 'volume': 58891549, 'rate': -0.009230923760738863, 'vol_chg': -0.1295726183902708, 'relation': (False, False), 'RSI': 38.311484056483145, 'price': {'opening': 12.95, 'closing': 12.39, 'highest': 13.17, 'lowest': 12.33, 'avg': 12.709999999999999}, 'KDJ': {'RSV': 0.0, 'K': 17.033323139531078, 'D': 18.689063102913508, 'J': 13.721843212766217}}
2016/01/22 {'chg': 0.016949152542372805, 'volume': 46785378, 'rate': 0.0032155389275049344, 'vol_chg': -0.20556720285961574, 'relation': (False, False), 'RSI': 37.28668229903211, 'price': {'opening': 12.6, 'closing': 12.6, 'highest': 12.7, 'lowest': 12.25, 'avg': 12.5375}, 'KDJ': {'RSV': 27.999999999999876, 'K': 20.688882093020673, 'D': 19.355669432949227, 'J': 23.355307413163565}}
2016/01/25 {'chg': 0.006349206349206355, 'volume': 36309895, 'rate': -0.0018909618197143667, 'vol_chg': -0.22390506281684847, 'relation': (False, False), 'RSI': 53.62154323815332, 'price': {'opening': 12.7, 'closing': 12.68, 'highest': 12.81, 'lowest': 12.59, 'avg': 12.694999999999999}, 'KDJ': {'RSV': 38.66666666666655, 'K': 26.68147695090263, 'D': 21.797605272267027, 'J': 36.449220308173835}}
2016/01/26 {'chg': -0.09384858044164034, 'volume': 90373723, 'rate': -0.02331274091567896, 'vol_chg': 1.4889557791340349, 'relation': (False, True), 'RSI': 32.542214909058735, 'price': {'opening': 12.52, 'closing': 11.49, 'highest': 12.59, 'lowest': 11.44, 'avg': 12.01}, 'KDJ': {'RSV': 0.0, 'K': 17.787651300601752, 'D': 20.460953948378602, 'J': 12.441046005048051}}
2016/01/27 {'chg': 0.013925152306353362, 'volume': 114081092, 'rate': 0.019638335570138395, 'vol_chg': 0.2623259086050931, 'relation': (True, False), 'RSI': 37.10781490273375, 'price': {'opening': 11.54, 'closing': 11.65, 'highest': 11.86, 'lowest': 11.11, 'avg': 11.54}, 'KDJ': {'RSV': 9.696969696969704, 'K': 15.090757432724402, 'D': 18.670888443160536, 'J': 7.930495411852135}}
2016/01/28 {'chg': -0.019742489270386302, 'volume': 62433074, 'rate': 0.012339232133945045, 'vol_chg': -0.4527307470023166, 'relation': (False, False), 'RSI': 29.437127704654046, 'price': {'opening': 11.51, 'closing': 11.42, 'highest': 11.93, 'lowest': 11.36, 'avg': 11.555}, 'KDJ': {'RSV': 0.0, 'K': 10.0605049551496, 'D': 15.800760613823556, 'J': -1.4200063621983112}}
2016/01/29 {'chg': 0.060420315236427276, 'volume': 94677848, 'rate': 0.0264708223804739, 'vol_chg': 0.5164694277267207, 'relation': (True, False), 'RSI': 45.032395285823554, 'price': {'opening': 11.51, 'closing': 12.11, 'highest': 12.23, 'lowest': 11.46, 'avg': 11.8275}, 'KDJ': {'RSV': 40.116279069767394, 'K': 20.079096326688862, 'D': 17.22687251811199, 'J': 25.78354394384261}}
2016/02/01 {'chg': 0.002477291494632629, 'volume': 66189769, 'rate': 0.02203395728220448, 'vol_chg': -0.30089487247323154, 'relation': (False, False), 'RSI': 44.48385517742421, 'price': {'opening': 12.08, 'closing': 12.14, 'highest': 12.25, 'lowest': 11.9, 'avg': 12.0925}, 'KDJ': {'RSV': 41.86046511627909, 'K': 27.339552589885603, 'D': 20.59776587536986, 'J': 40.823126018917094}}
2016/02/02 {'chg': 0.03871499176276762, 'volume': 60485299, 'rate': 0.01388461834708651, 'vol_chg': -0.08618356108781706, 'relation': (False, False), 'RSI': 44.77380261191853, 'price': {'opening': 12.14, 'closing': 12.61, 'highest': 12.75, 'lowest': 12.11, 'avg': 12.4025}, 'KDJ': {'RSV': 76.77419354838702, 'K': 43.81776624271941, 'D': 28.33776599781971, 'J': 74.7777667325188}}
2016/02/03 {'chg': -0.007930214115781098, 'volume': 39987706, 'rate': -0.0037551955768612656, 'vol_chg': -0.33888553646729924, 'relation': (False, False), 'RSI': 45.50869984270644, 'price': {'opening': 12.4, 'closing': 12.51, 'highest': 12.54, 'lowest': 12.21, 'avg': 12.415}, 'KDJ': {'RSV': 86.5079365079365, 'K': 58.04782299779177, 'D': 38.241118331143724, 'J': 97.66123233108786}}
