2016/01/04 {'chg': -0.054776219104876435, 'volume': 16860259, 'rate': 0.023094085448570674, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 14.96, 'closing': 14.15, 'highest': 14.97, 'lowest': 14.1, 'avg': 14.545}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': 0.012720848056537082, 'volume': 26157243, 'rate': 0.01567220070725082, 'vol_chg': 0.5514140678384597, 'relation': (True, False), 'RSI': 18.84651969561322, 'price': {'opening': 14.0, 'closing': 14.33, 'highest': 14.56, 'lowest': 13.8, 'avg': 14.1725}, 'KDJ': {'RSV': 100.0, 'K': 66.66666666666666, 'D': 55.55555555555554, 'J': 88.88888888888889}}
2016/01/06 {'chg': 0.09909281228192603, 'volume': 95547917, 'rate': 0.07355226049690329, 'vol_chg': 2.652828281635033, 'relation': (True, False), 'RSI': 67.11911954801138, 'price': {'opening': 14.36, 'closing': 15.75, 'highest': 15.76, 'lowest': 14.24, 'avg': 15.0275}, 'KDJ': {'RSV': 100.0, 'K': 77.77777777777777, 'D': 62.96296296296295, 'J': 107.40740740740742}}
2016/01/07 {'chg': -0.09587301587301586, 'volume': 21434240, 'rate': -0.01595946717676694, 'vol_chg': -0.7756702534917638, 'relation': (False, False), 'RSI': 42.601701929596686, 'price': {'opening': 15.3, 'closing': 14.24, 'highest': 15.37, 'lowest': 14.18, 'avg': 14.7725}, 'KDJ': {'RSV': 5.624999999999992, 'K': 53.72685185185185, 'D': 59.884259259259245, 'J': 41.41203703703705}}
2016/01/08 {'chg': 0.0969101123595505, 'volume': 113580261, 'rate': 0.07454794035221948, 'vol_chg': 4.299010415111523, 'relation': (True, False), 'RSI': 58.07998047706671, 'price': {'opening': 14.66, 'closing': 15.62, 'highest': 15.66, 'lowest': 14.27, 'avg': 15.0525}, 'KDJ': {'RSV': 91.87499999999994, 'K': 66.44290123456787, 'D': 62.07047325102879, 'J': 75.18775720164604}}
2016/01/11 {'chg': -0.07874519846350823, 'volume': 71188125, 'rate': -0.0182424691238766, 'vol_chg': -0.3732350641455208, 'relation': (False, False), 'RSI': 47.64097217900033, 'price': {'opening': 15.15, 'closing': 14.39, 'highest': 15.35, 'lowest': 14.23, 'avg': 14.780000000000001}, 'KDJ': {'RSV': 15.000000000000016, 'K': 49.29526748971192, 'D': 57.81207133058982, 'J': 32.26165980795609}}
2016/01/12 {'chg': -0.015288394718554596, 'volume': 27695921, 'rate': -0.017558665988334395, 'vol_chg': -0.6109474578800889, 'relation': (False, False), 'RSI': 46.03456859760123, 'price': {'opening': 14.4, 'closing': 14.17, 'highest': 14.53, 'lowest': 13.89, 'avg': 14.2475}, 'KDJ': {'RSV': 1.2499999999999736, 'K': 33.2801783264746, 'D': 49.63477366255141, 'J': 0.5709876543209731}}
2016/01/13 {'chg': -0.00776287932251231, 'volume': 26423381, 'rate': 0.019707403041823255, 'vol_chg': -0.045946838164363624, 'relation': (False, False), 'RSI': 45.25966736053923, 'price': {'opening': 14.26, 'closing': 14.06, 'highest': 14.69, 'lowest': 14.03, 'avg': 14.26}, 'KDJ': {'RSV': 0.0, 'K': 22.186785550983064, 'D': 40.485444292028625, 'J': -14.410531931108054}}
2016/01/14 {'chg': 0.012091038406827875, 'volume': 31679743, 'rate': -0.010271133600503139, 'vol_chg': 0.19892844144358363, 'relation': (True, False), 'RSI': 46.65819404584554, 'price': {'opening': 13.8, 'closing': 14.23, 'highest': 14.43, 'lowest': 13.5, 'avg': 13.990000000000002}, 'KDJ': {'RSV': 10.059171597633135, 'K': 18.144247566533085, 'D': 33.03837871686344, 'J': -11.644014734127623}}
2016/01/15 {'chg': -0.03794799718903731, 'volume': 26735691, 'rate': 0.002349317849554111, 'vol_chg': -0.15606351352029593, 'relation': (False, False), 'RSI': 43.19466602967311, 'price': {'opening': 14.04, 'closing': 13.69, 'highest': 14.12, 'lowest': 13.52, 'avg': 13.842499999999998}, 'KDJ': {'RSV': 0.0, 'K': 12.09616504435539, 'D': 26.057640826027423, 'J': -15.826786518988676}}
2016/01/18 {'chg': -0.0197224251278305, 'volume': 20979821, 'rate': -0.02471702192134606, 'vol_chg': -0.2152878711831312, 'relation': (False, False), 'RSI': 46.37459233217793, 'price': {'opening': 13.42, 'closing': 13.42, 'highest': 13.73, 'lowest': 13.3, 'avg': 13.467500000000001}, 'KDJ': {'RSV': 0.0, 'K': 8.064110029570259, 'D': 20.059797227208367, 'J': -15.927264365705959}}
2016/01/19 {'chg': 0.02384500745156485, 'volume': 20532114, 'rate': -0.012706359991889911, 'vol_chg': -0.021339886550986304, 'relation': (False, False), 'RSI': 47.59881444715668, 'price': {'opening': 13.51, 'closing': 13.74, 'highest': 13.84, 'lowest': 13.45, 'avg': 13.635}, 'KDJ': {'RSV': 13.733905579399153, 'K': 9.954041879513223, 'D': 16.691212111309987, 'J': -3.5202985840803045}}
